#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2025p000010,2025-01-01T00:05:38.9Z,-39.86,173.91,118,2,2,2.49,2.31,.9277
2025p000079,2025-01-01T00:42:24.8Z,-40.52,173.28,157,7,7,2.44,2.38,.9754
2025p000138,2025-01-01T01:13:48.0Z,-38.98,175.80,6,4,2,1.34,1.02,.7611
2025p000155,2025-01-01T01:22:39.6Z,-38.18,175.90,60,3,3,2.42,2.36,.9752
2025p000163,2025-01-01T01:26:56.0Z,-41.57,173.66,34,5,6,1.99,1.88,.9447
2025p000226,2025-01-01T02:00:38.7Z,-40.21,174.89,11,2,2,1.77,1.61,.9096
2025p000297,2025-01-01T02:38:36.9Z,-45.43,170.55,0,1,1,1.92,1.62,.8437
2025p000338,2025-01-01T03:00:32.4Z,-41.32,174.89,25,8,8,1.67,1.68,1.005
2025p000380,2025-01-01T03:22:49.3Z,-37.01,177.62,136,32,32,3.35,3.15,.9402
2025p000393,2025-01-01T03:29:37.2Z,-42.39,172.92,27,8,8,2.71,2.52,.9298
2025p000474,2025-01-01T04:13:01.0Z,-42.39,172.94,26,11,11,2.85,2.64,.9263
2025p000507,2025-01-01T04:30:24.1Z,-36.68,177.78,134,1,1,2.40,2.21,.9208
2025p000573,2025-01-01T05:05:39.6Z,-41.28,173.31,75,4,4,1.72,1.77,1.029
2025p000618,2025-01-01T05:29:44.9Z,-42.38,173.54,5,15,15,2.93,2.70,.9215
2025p000630,2025-01-01T05:36:12.3Z,-42.37,173.53,5,6,6,2.53,2.32,.9169
2025p000720,2025-01-01T06:23:54.8Z,-38.98,175.82,6,21,18,1.86,1.56,.8387
2025p000726,2025-01-01T06:27:11.0Z,-39.39,174.36,131,10,9,2.35,2.40,1.021
2025p000819,2025-01-01T07:16:51.9Z,-36.64,179.06,12,8,8,3.13,3.04,.9712
2025p000839,2025-01-01T07:27:03.8Z,-36.51,179.23,33,5,5,2.86,2.80,.9790
2025p000967,2025-01-01T08:35:23.1Z,-37.91,176.28,131,1,1,2.24,2.34,1.044
2025p001122,2025-01-01T09:58:10.8Z,-43.11,173.47,20,2,2,2.44,2.11,.8647
2025p001158,2025-01-01T10:17:04.7Z,-37.45,176.53,218,12,12,2.75,2.61,.9490
2025p001163,2025-01-01T10:20:02.0Z,-37.08,179.08,33,5,5,2.85,2.76,.9684
2025p001186,2025-01-01T10:32:15.7Z,-40.02,175.16,32,49,48,2.99,2.82,.9431
2025p001189,2025-01-01T10:33:27.7Z,-38.31,178.90,12,8,8,2.75,2.61,.9490
2025p001239,2025-01-01T11:00:19.0Z,-36.36,177.34,5,6,6,2.93,2.83,.9658
2025p001250,2025-01-01T11:06:50.5Z,-37.70,179.72,33,12,13,3.06,2.95,.9640
2025p001264,2025-01-01T11:13:39.4Z,-36.33,177.38,33,4,5,3.15,3.11,.9873
2025p001298,2025-01-01T11:32:08.0Z,-37.86,179.64,33,9,9,2.35,2.23,.9489
2025p001314,2025-01-01T11:40:20.7Z,-36.26,177.48,5,25,21,3.44,3.35,.9738
2025p001326,2025-01-01T11:46:56.1Z,-40.36,176.57,19,6,5,1.44,1.26,.8750
2025p001367,2025-01-01T12:08:24.3Z,-42.39,172.94,27,5,5,2.34,2.11,.9017
2025p001387,2025-01-01T12:19:24.7Z,-37.61,176.49,162,3,3,1.86,1.77,.9516
2025p001415,2025-01-01T12:34:06.5Z,-36.33,177.34,5,4,4,2.94,2.91,.9897
