PeriodStart UTC,PeriodEnd UTC,ACC
2009-08-03T00:00:00Z,2011-04-04T22:09:59Z,Green
2011-04-04T22:10:00Z,2011-05-02T02:59:59Z,Yellow
2011-05-02T03:00:00Z,2012-11-15T21:59:59Z,Green
2012-11-15T22:00:00Z,2013-03-11T20:59:59Z,Yellow
2013-03-11T21:00:00Z,2016-05-10T23:09:59Z,Green
2016-05-10T23:10:00Z,2016-07-04T22:39:59Z,Yellow
2016-07-04T22:40:00Z,2020-12-20T22:52:59Z,Green
2020-12-20T22:53:00Z,2021-01-11T00:59:59Z,Yellow
2021-01-11T01:00:00Z,2022-03-28T00:59:59Z,Green
2022-03-28T01:00:00Z,2022-07-04T04:29:59Z,Yellow
2022-07-04T04:30:00Z,9999-01-01T00:00:00Z,Green
