PeriodStart UTC,PeriodEnd UTC,ACC
2009-08-03T00:00:00Z,2012-08-02T03:14:59Z,Green
2012-08-02T03:15:00Z,2012-08-06T05:29:59Z,Yellow
2012-08-06T05:30:00Z,2012-08-13T01:59:59Z,Orange
2012-08-13T02:00:00Z,2012-12-12T00:29:59Z,Yellow
2012-12-12T00:30:00Z,2013-01-07T00:59:59Z,Orange
2013-01-07T01:00:00Z,2013-01-24T02:59:59Z,Yellow
2013-01-24T03:00:00Z,2013-03-04T02:59:59Z,Orange
2013-03-04T03:00:00Z,2013-04-29T01:29:59Z,Yellow
2013-04-29T01:30:00Z,2013-07-26T06:19:59Z,Green
2013-04-29T01:30:00Z,2013-07-26T06:19:59Z,Green
2013-07-26T06:20:00Z,2013-08-07T23:14:59Z,Yellow
2013-08-07T23:15:00Z,2013-08-19T23:09:59Z,Green
2013-08-19T23:10:00Z,2013-08-20T02:14:59Z,Red
2013-08-20T02:15:00Z,2013-08-20T23:49:59Z,Orange
2013-08-20T23:50:00Z,2013-09-08T23:54:59Z,Yellow
2013-09-08T23:55:00Z,2013-10-08T04:29:59Z,Green
2013-10-08T04:30:00Z,2013-10-12T22:59:59Z,Yellow
2013-10-12T23:00:00Z,2013-10-13T20:44:59Z,Orange
2013-10-13T20:45:00Z,2013-11-03T22:24:59Z,Yellow
2013-11-03T22:25:00Z,2016-04-27T23:29:59Z,Green
2016-04-27T23:30:00Z,2016-05-02T00:09:59Z,Orange
2016-05-02T00:10:00Z,2016-05-16T02:09:59Z,Yellow
2016-05-16T02:10:00Z,2016-09-13T00:49:59Z,Green
2016-09-13T00:50:00Z,2016-09-15T00:14:59Z,Orange
2016-09-15T00:15:00Z,2016-10-09T21:29:59Z,Yellow
2016-10-09T21:30:00Z,2019-06-26T05:59:59Z,Green
2019-06-26T06:00:00Z,2019-07-07T23:29:59Z,Yellow
2019-07-07T23:30:00Z,2019-11-17T22:29:59Z,Green
2019-11-17T22:30:00Z,2019-12-09T00:59:59Z,Yellow
2019-12-09T01:00:00Z,2020-01-06T23:29:59Z,Orange
2020-01-06T23:30:00Z,2020-06-21T23:29:59Z,Yellow
2020-06-21T23:30:00Z,2020-11-12T01:09:59Z,Green
2020-11-12T01:10:00Z,2020-12-06T23:59:59Z,Yellow
2020-12-07T00:00:00Z,2021-07-26T02:29:59Z,Green
2021-07-26T02:30:00Z,2022-04-04T02:59:59Z,Yellow
2022-04-04T03:00:00Z,2022-09-07T01:59:59Z,Green
2022-09-07T02:00:00Z,2022-09-19T04:19:59Z,Yellow
2022-09-19T04:20:00Z,2022-09-26T23:04:59Z,Orange
2022-09-26T23:05:00Z,2024-05-23T21:44:59Z,Yellow
2024-05-23T21:45:00Z,2024-05-24T04:07:59Z,Orange
2024-05-24T04:08:00Z,2024-05-24T23:44:59Z,Yellow
2024-05-24T23:45:00Z,2024-05-29T02:59:59Z,Orange
2024-05-29T03:00:00Z,2024-08-09T03:59:59Z,Yellow
2024-08-09T04:00:00Z,2024-10-21T21:59:59Z,Orange
2024-10-21T22:00:00Z,2024-12-15T21:09:59Z,Yellow
2024-12-15T22:10:00Z,2024-12-22T21:19:59Z,Orange
2024-12-22T21:20:00Z,2025-01-12T22:29:59Z,Yellow
2025-01-12T22:30:00Z,2025-02-10T22:59:59Z,Orange
2025-02-10T23:00:00Z,2025-02-24T01:29:59Z,Yellow
2025-02-24T01:30:00Z,9999-01-01T00:00:00Z,Orange
