Category,Station,Time triggered (UTC)
O,NZB,2021-01-08T22:01:45
O,NZK,2022-01-23T15:58:45
SP,NZA,2021-01-08T23:09:30
SP,NZA,2021-04-04T13:03:45
SP,NZA,2021-12-15T01:39:30
SP,NZA,2022-10-28T17:28:45
SP,NZG,2021-04-20T23:56:30
SN,NZA,2021-05-02T08:48:15
SN,NZA,2021-08-17T21:38:45
MS,NZA,2021-07-05T13:41:15
MS,NZA,2021-07-07T15:18:00
MS,NZA,2021-07-18T05:27:15
MS,NZA,2021-08-10T09:07:45
MS,NZA,2021-08-13T09:11:15
MS,NZA,2021-08-13T19:22:30
MS,NZA,2021-08-16T04:03:15
MS,NZA,2021-08-16T10:27:00
MS,NZA,2022-07-24T00:18:45
MS,NZA,2022-07-24T05:30:45
MS,NZA,2022-07-24T21:25:30
MS,NZC,2023-02-03T13:31:15
MS,NZF,2021-07-24T12:55:15
E,NZA,2021-03-04T13:33:30
E,NZB,2021-03-04T13:30:30
E,NZB,2021-03-04T18:05:00
E,NZB,2021-03-06T00:25:45
E,NZC,2020-06-18T12:53:30
E,NZC,2021-02-10T13:55:30
E,NZC,2021-03-04T13:29:15
E,NZC,2021-03-06T00:18:00
E,NZC,2022-01-29T03:03:30
E,NZE,2020-06-18T12:51:45
E,NZE,2021-02-10T13:32:15
E,NZE,2021-03-04T13:30:00
E,NZE,2021-03-04T17:46:00
E,NZE,2021-03-05T08:26:00
E,NZE,2021-03-06T00:21:45
E,NZE,2021-04-29T07:04:15
E,NZE,2021-07-24T13:00:45
E,NZE,2022-01-10T00:11:45
E,NZE,2022-01-29T02:57:15
E,NZF,2020-03-14T10:05:45
E,NZF,2021-07-23T23:21:15
E,NZF,2021-07-25T10:20:30
E,NZF,2021-08-31T02:55:30
E,NZF,2022-01-29T02:49:45
E,NZF,2022-03-02T12:58:30
E,NZF,2022-11-11T10:57:15
E,NZG,2021-02-10T13:31:15
E,NZG,2021-03-04T13:35:30
E,NZG,2021-03-04T17:46:00
E,NZG,2021-04-07T10:03:00
E,NZG,2021-08-14T09:53:00
E,NZG,2021-09-05T17:55:30
E,NZG,2022-01-29T02:57:45
E,NZG,2022-11-11T10:51:45
E,NZH,2020-10-01T01:16:15
E,NZH,2022-11-11T10:50:30
E,NZH,2023-01-08T12:47:45
E,NZI,2021-02-10T13:35:00
E,NZI,2021-03-04T17:50:15
E,NZI,2022-11-11T10:50:30
E,NZI,2022-12-04T19:26:15
E,NZK,2022-03-30T21:00:00
E,NZK,2022-03-31T05:47:00
E,NZK,2022-03-31T19:55:00
E,NZL,2021-08-18T10:14:15
E,NZL,2021-10-02T06:35:15
E,NZL,2022-03-30T21:04:30
E,NZL,2022-03-31T05:50:00
E,NZL,2022-09-14T11:08:15
T,NZG,2022-01-16T16:03:30
T,NZD,2022-01-15T06:03:15
T,NZG,2022-01-14T04:40:45
T,NZK,2022-01-15T05:52:15
U,NZA,2022-07-25T21:04:30
U,NZA,2022-08-25T09:27:00
U,NZA,2022-10-25T16:03:15
U,NZA,2022-10-29T18:18:15
U,NZA,2022-10-31T07:28:15
U,NZA,2022-11-01T02:19:30
U,NZA,2022-11-28T03:11:00
U,NZA,2022-11-30T20:24:45
