#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2026p000119,2026-01-01T01:03:40.4Z,-40.40,176.20,32,2,4,1.11,1.33,1.198
2026p000172,2026-01-01T01:32:06.2Z,-45.07,167.47,112,2,2,2.05,2.14,1.043
2026p000301,2026-01-01T02:40:58.1Z,-38.82,178.76,33,2,3,2.14,2.36,1.102
2026p000363,2026-01-01T03:13:51.8Z,-37.74,176.44,197,32,32,3.22,3.06,.9503
2026p000404,2026-01-01T03:35:15.1Z,-38.25,177.66,48,2,5,1.18,1.51,1.279
2026p000417,2026-01-01T03:42:08.7Z,-36.51,179.22,12,5,5,3.03,2.94,.9702
2026p000418,2026-01-01T03:42:36.2Z,-41.71,171.94,5,1,2,1.65,2.07,1.254
2026p000435,2026-01-01T03:52:10.0Z,-41.12,172.63,195,1,2,1.69,2.46,1.455
2026p000562,2026-01-01T04:59:49.3Z,-40.57,176.31,14,5,6,1.91,1.73,.9057
2026p000586,2026-01-01T05:12:10.3Z,-38.10,176.10,145,17,17,2.69,2.53,.9405
2026p000623,2026-01-01T05:32:13.0Z,-40.16,175.25,31,15,18,2.39,2.17,.9079
2026p000693,2026-01-01T06:09:28.5Z,-37.60,177.71,5,6,7,2.59,2.29,.8841
2026p000712,2026-01-01T06:19:51.2Z,-38.37,176.20,5,12,12,2.34,2.35,1.004
2026p000737,2026-01-01T06:32:40.9Z,-38.38,176.16,4,8,7,1.62,1.61,.9938
2026p000759,2026-01-01T06:44:31.4Z,-38.53,175.91,6,17,12,2.17,2.14,.9861
2026p000767,2026-01-01T06:48:40.7Z,-37.93,176.16,160,1,2,1.72,1.75,1.017
2026p000798,2026-01-01T07:05:31.5Z,-38.56,177.75,21,8,11,1.96,1.81,.9234
2026p000811,2026-01-01T07:11:19.2Z,-34.90,178.28,386,1,2,3.20,2.39,.7468
2026p000945,2026-01-01T08:23:41.2Z,-39.52,175.71,12,4,5,1.24,0.84,.6774
2026p001023,2026-01-01T09:05:21.1Z,-41.27,175.28,19,6,6,1.55,1.57,1.012
2026p001031,2026-01-01T09:09:37.9Z,-40.28,176.65,15,4,5,1.40,1.33,.9500
2026p001066,2026-01-01T09:28:17.4Z,-42.21,173.55,5,5,5,1.79,1.60,.8938
2026p001102,2026-01-01T09:47:23.1Z,-42.63,172.89,5,7,7,2.30,2.15,.9347
2026p001235,2026-01-01T10:58:24.0Z,-38.46,175.59,173,119,103,3.73,3.72,.9973
2026p001281,2026-01-01T11:22:30.7Z,-36.36,177.69,192,3,3,2.60,2.36,.9076
2026p001321,2026-01-01T11:43:51.7Z,-41.71,172.29,76,12,13,2.39,2.28,.9539
2026p001435,2026-01-01T12:44:39.8Z,-40.46,176.52,16,5,5,1.62,1.51,.9320
2026p001506,2026-01-01T13:22:39.1Z,-37.04,177.42,82,5,7,2.35,2.28,.9702
2026p001507,2026-01-01T13:22:58.1Z,-39.64,176.27,27,3,4,0.61,1.03,1.688
2026p001547,2026-01-01T13:44:36.6Z,-38.21,176.00,162,4,4,1.99,2.01,1.010
2026p001640,2026-01-01T14:34:16.4Z,-39.88,176.59,20,5,5,0.67,0.58,.8656
2026p001858,2026-01-01T16:30:00.9Z,-37.70,177.26,46,26,26,2.66,2.58,.9699
2026p001874,2026-01-01T16:39:02.1Z,-38.98,175.38,4,6,5,1.32,1.11,.8409
2026p001949,2026-01-01T17:18:49.2Z,-39.45,177.51,22,5,4,2.05,1.68,.8195
2026p001951,2026-01-01T17:19:34.3Z,-40.91,175.29,18,2,2,0.80,0.89,1.112
2026p001954,2026-01-01T17:21:25.4Z,-39.12,175.03,5,17,17,2.11,1.86,.8815
2026p001970,2026-01-01T17:29:52.6Z,-40.32,175.90,25,31,31,2.57,2.41,.9377
2026p001977,2026-01-01T17:33:38.6Z,-39.27,175.14,22,3,2,1.16,0.83,.7155
2026p001978,2026-01-01T17:34:13.8Z,-41.72,172.50,5,1,4,1.77,1.75,.9887
2026p002012,2026-01-01T17:52:07.3Z,-39.11,175.14,12,5,4,1.67,1.34,.8023
2026p002138,2026-01-01T18:59:29.0Z,-38.02,176.38,131,7,7,2.10,2.12,1.009
