Date LocalTime,Date Comment,Activity Description,Activity Scale,Additional Details,References
1830-06-15,1830’s,Eruptive activity,3,"Recollection from natives, quoted in newspapers of previous activity in articles during the 1895 activity ","Fielding Star 12.3.1895 , Star 21.3.1895 "
1861-02-13,,Lake break out event,1,Lahar Bridge destroyed Wellington Independent (5.3.1861) suggests a snow avalanche from the mountain blocked the river (? non volcanic)  ,"Gregg 1960 (pg 45), Wellington Independent, 5.3.1861, Taranaki Herald 2.3.1861, Crawford 1970, Wanganui Herald 8.4.1895, Stilwell et al 1954"
1861-05-16,,Moderate to large phreatomagmatic eruption,4,Indications of ash column and night glows Lahar possible  ,"New Zealand Spectator 8.6.1861 , Cook's Strait Guardian, 8.6.1861, Gregg 1960"
1863-06-15,1863,Lahar ? ,1,"Believed to be a wrong date, should be 1861?","Skey 1869, Wellington Independent 27.7.1869 , Taranaki Herald 2.10.1869"
1869-10-15,1869 October ,Report of glows,3,Report from Dr Hector,"Star 14.6.1870, Evening Post 9.6.1870, Daily Southern Cross 17.6.1870"
1870-01-12,,Report of discoloured snow,3,Letter reporting discoloured snow. Hector also reported to say snow melted (lahar ?),"Wellington Independent 1.2.1870, Star 14.6.1870"
1880-10-15,1880,Steam columns,1,A letter from HC Fields describes steam columns in late 1880.,Hawkes Bay Herald 24.5.1892
1881-06-15,1881,Steaming,1,Steam columns from the mountain,"Cussen 1886, Cowan 1927, Gregg 1960"
1886-04-16,,Steam rising,1,Well defined steam columns rising several hundred feet.,"Cussen 1887, Thomson 1926"
1886-05-01,,Steam columns,1,"Report from surveyor Wilson, steam column to 300’",Hawera Normanby Star 23.7.1886
1886-05-11,,Steam columns,1,,
1886-05-12,,Steam columns,1,,
1886-05-13,,Steam columns,1,,
1886-05-14,,Steam columns,1,,
1886-05-15,,Steam columns,1,,
1886-05-16,,Steam columns,1,,
1886-05-17,,Steam columns,1,,
1886-05-18,,Steam columns,1,Observations from residents at Tapuharaeru,"Wanganui Chronicle 19.5.1886, Evening Post 19.5.1886, , Taranaki Herald 19.5.1886"
1886-08-23,,Steam columns and geysering activity,2,"Steam from geysering type activity, letter from Mr J Morgan",Wanganui Chronicle 23.8.1886
1887-05-15,1887 May ,Geysering activity,2,Dr Marshall refers to geysering in 1887,Otago Witness 1.5.1907
1887-05-08,,Steam columns ,1,"A recollection date from correspondent, 1887 was less active than 1895","Wanganui Herald, 13 March 1895"
1889-04-29,"1889 April (22, 29, 30)",Geyser like eruption from lake,3,"Hill reports blue muds and boulders on the snowfields. Wanagehu in flood 3 or 4ft (Reports of rapid flooding ).  Notes dates 22, 29,30 April and 1 May are reported. The 29th or 30th are most likely correct.","Marlborough Express 2.5.1889, Evening Post 2.5.1889, Poverty Bay Herald 2.5.1889, Hill 1892, Reed 1945, Gregg 1960, Hawke's Bay Herald 1.5.1889, Feilding Star 4.5.1889, Wanganui Herald 25.5.1889, Inangahua Times 3.6.1889"
1889-04-30,,Lahars reported for 22 and 29 April,3,,
1889-05-01,,"Steam eruption, floods in Wangaehu",3,,
1889-06-01,,"Steam eruption(s), Wangaehu River flow decreases",2,Reports of active geysers at regular intervals at Ruapehu,"Wanganui Herald 1.6.1889, Bush Advocate 6.6.1889"
1889-08-15,1889 August,"Mud and boulders of blue clay on the ice and snow, Wangaehu floods",3,Similar to May eruption ,"Cowan 1927, Evening Post 12.5.1936"
