CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_RotD50,f50.0000SA_RotD50,f33.3333SA_RotD50,f25.0000SA_RotD50,f20.0000SA_RotD50,f13.3333SA_RotD50,f10.0000SA_RotD50,f6.6667SA_RotD50,f5.0000SA_RotD50,f4.0000SA_RotD50,f3.3333SA_RotD50,f2.5000SA_RotD50,f2.0000SA_RotD50,f1.3333SA_RotD50,f1.0000SA_RotD50,f0.6667SA_RotD50,f0.5000SA_RotD50,f0.3333SA_RotD50,f0.2500SA_RotD50,f0.2000SA_RotD50,f0.1333SA_RotD50,f0.1000SA_RotD50,f100.0000SA_RotD100,f50.0000SA_RotD100,f33.3333SA_RotD100,f25.0000SA_RotD100,f20.0000SA_RotD100,f13.3333SA_RotD100,f10.0000SA_RotD100,f6.6667SA_RotD100,f5.0000SA_RotD100,f4.0000SA_RotD100,f3.3333SA_RotD100,f2.5000SA_RotD100,f2.0000SA_RotD100,f1.3333SA_RotD100,f1.0000SA_RotD100,f0.6667SA_RotD100,f0.5000SA_RotD100,f0.3333SA_RotD100,f0.2500SA_RotD100,f0.2000SA_RotD100,f0.1333SA_RotD100,f0.1000SA_RotD100,PGA_RotD50,PGA_RotD100,PGV_RotD50,PGV_RotD100
1553782,1971-08-13T14:42:41.636000Z,A71053A1,5.7,0.15,Crustal,S,1,242,83,207,special,-42.13,172.1,-42.3786,172.3329,5897058.69,2435589.3,5869623,2455066,6.51,6.51,33.64,34.99,33.13,33.79,-32.97,-4.32,0,9,5.77,fw,053A,C,391,Q3,0.27,Q3,20,Q3,0,-99999,-99999,1,0.4,18,0.68,18,Anderson_etal_1993&Dowrick_Rhoades_1998,0.0562376,0.056810462,0.058035771,0.060191379,0.064297901,0.156132768,0.138932012,0.206062633,0.248357483,0.287971846,0.254969248,0.158516908,0.079410489,0.144962938,0.059845646,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.070707421,0.071146509,0.071892121,0.07291361,0.073080426,0.162446293,0.187231607,0.277573339,0.281660471,0.358366799,0.327984559,0.221061654,0.085704127,0.198761166,0.082461387,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.056127,0.07071,0.042573,0.053299
1556608,1975-06-10T10:11:17.094000Z,K75301A2,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3553,175.6152,6092087.55,2758882.27,6091232,2732094,5.9,5.9,26.73,46.53,23.88,44.21,10.02,25.47,0,38,35.54,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.4,19,0.68,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.037867715,0.038521279,0.039742287,0.041771167,0.045399699,0.092211173,0.144072411,0.162383532,0.198298844,0.094262859,0.098631174,0.093974275,0.075487006,0.03993695,0.052442561,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.043986438,0.044333424,0.044901434,0.045953223,0.050427936,0.10183513,0.182163305,0.19936905,0.218616649,0.109381511,0.115055434,0.122714312,0.097050548,0.052371601,0.07053673,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.037864,0.043987,0.023645,0.030684
1556608,1975-06-10T10:11:17.094000Z,K75340A1,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3863,175.6165,6092087.55,2758882.27,6087788,2732102,5.9,5.9,27.06,46.71,24.14,44.26,6.78,26.64,0,38,35.54,nu,340A,D,283,Q3,0.96,Q3,90,Q3,0,-99999,-99999,1,0.65,18,1.105,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.049391781,0.049803882,0.050494018,0.05164692,0.054395507,0.137814596,0.161920163,0.140432328,0.292803622,0.248104638,0.320366533,0.099496548,0.098923144,0.031391473,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.063147447,0.063716035,0.064717136,0.066206311,0.066897766,0.173034145,0.183004403,0.177595841,0.401967525,0.280089632,0.424340314,0.113633285,0.113052544,0.041007279,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.049392,0.063153,0.024416,0.028186
1557438,1976-05-04T13:56:29.201000Z,A76080B1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6729,167.9264,5600506.59,2070223.23,5602634,2107939,22.44,22.44,37.67,39.08,27.88,31.04,31.31,29.45,0,10,1.79,nu,080B,C,210,Q3,0.57,Q3,30,Q3,0,-99999,-99999,1,0.2,29,0.34,29,Anderson_etal_1993&Dowrick_Rhoades_1998,0.08829366,0.089065721,0.091584597,0.11021915,0.133645157,0.140306256,0.238799436,0.221032102,0.176647328,0.241948525,0.338289558,0.410820432,0.537508323,0.168366734,0.156560972,0.050173626,0.027838831,-99999,-99999,-99999,-99999,-99999,0.098438378,0.098917871,0.100856943,0.12704816,0.148953745,0.169325202,0.307146478,0.253192425,0.248450731,0.310598532,0.373365461,0.504709885,0.755751452,0.219403044,0.210382199,0.061959093,0.034610611,-99999,-99999,-99999,-99999,-99999,0.087882,0.098438,0.089847,0.115009
1557438,1976-05-04T13:56:29.201000Z,K76070A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-45.4167,167.7191,5600506.59,2070223.23,5519112,2096857,22.44,22.44,85.68,86.25,77.38,79.21,85.96,-34.67,0,10,1.79,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.28,11,0.476,11,Anderson_etal_1993&Dowrick_Rhoades_1998,0.02440988,0.024520939,0.024615793,0.024815229,0.025108238,0.027582842,0.0957525,0.099789539,0.086559112,0.07590852,0.110355576,0.069541334,0.071119481,0.10570103,0.057602695,0.082753432,0.038302357,-99999,-99999,-99999,-99999,-99999,0.029524619,0.029613664,0.029758741,0.029968891,0.030214132,0.032115473,0.11271604,0.118441,0.098328006,0.096759005,0.148098928,0.081885347,0.076092376,0.137781974,0.062680412,0.101181799,0.050294861,-99999,-99999,-99999,-99999,-99999,0.024409,0.029457,0.031912,0.037482
1557438,1976-05-04T13:56:29.201000Z,K76089A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6946,169.143,5600506.59,2070223.23,5605452,2204373,22.44,22.44,133.87,134.63,124.04,125.19,93.74,103,0,10,1.79,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.25,15,0.425,15,Anderson_etal_1993&Dowrick_Rhoades_1998,0.031049993,0.031169162,0.03126308,0.031445481,0.031932932,0.043895673,0.070188366,0.086932499,0.106451575,0.131087498,0.099995223,0.07728051,0.119622962,0.13760129,0.11066044,0.086505441,0.045490241,-99999,-99999,-99999,-99999,-99999,0.039762217,0.039897164,0.04014541,0.040535699,0.041051764,0.056863067,0.090212897,0.115550856,0.12960629,0.147595794,0.134782127,0.108210246,0.149081587,0.152553196,0.134015467,0.100893849,0.052848527,-99999,-99999,-99999,-99999,-99999,0.031017,0.039762,0.04426,0.048661
1558224,1977-01-18T05:41:48.207000Z,A77048C1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.5138,173.9572,5941084.19,2618142.66,5965463,2589883,9.4,9.4,37.28,50.49,35.45,48.97,38.74,-5.05,0,34,29.64,nu,048C,D,235,Q3,0.9,Q3,64,Q3,0,-99999,-99999,1,0.4,13,0.68,13,Webb_Anderson_1998&Dowrick_Rhoades1998,0.036996587,0.037131632,0.037312347,0.037659824,0.038162616,0.044784001,0.061416797,0.063491529,0.132786106,0.230751749,0.285309576,0.103915198,0.12757834,0.074454199,0.075906806,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.041507949,0.04170599,0.042095045,0.042585801,0.043280974,0.047561587,0.06977198,0.06636612,0.151573178,0.2900576,0.379754868,0.115476959,0.165693332,0.097273329,0.102423834,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.036924,0.041508,0.022251,0.027174
1558224,1977-01-18T05:41:48.207000Z,A77601A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2263,174.8719,5941084.19,2618142.66,5996147,2666912,9.4,9.4,73.53,81.03,68.88,76.33,-9.15,-72.74,0,34,29.64,nu,601A,D,161,Q3,2.3,Q3,297,Q3,0,-99999,-99999,1,0.4,20,0.68,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.043813504,0.044110545,0.04464573,0.045368247,0.04706776,0.06099003,0.101305045,0.10053341,0.135337322,0.213920604,0.124828997,0.088368602,0.156230303,0.095486967,0.050279777,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.055785721,0.05617093,0.056932047,0.058118082,0.060058519,0.070930316,0.115293253,0.109859294,0.188140329,0.267549898,0.152008611,0.103764727,0.213800326,0.127117778,0.059372942,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.043685,0.055421,0.023094,0.026097
1558224,1977-01-18T05:41:48.207000Z,A77902A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2776,174.7793,5941084.19,2618142.66,5990617,2659034,9.4,9.4,64.22,72.68,59.54,67.99,-5.56,-63.81,0,34,29.64,nu,902A,D,275,Q2,1.25,Q2,1.32E+02,Q2,0,-99999,-99999,1,0.5,20,0.85,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.081953324,0.082491377,0.083171539,0.084582239,0.098997225,0.114935856,0.264958776,0.289216937,0.37116841,0.496378087,0.284820652,0.217467426,0.232486548,0.111649207,0.057950483,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.112010312,0.112444222,0.113384852,0.115283085,0.135296368,0.126708589,0.308916011,0.316735045,0.406074293,0.591042771,0.390419055,0.303273869,0.289884425,0.15659244,0.070028237,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.081898,0.112007,0.047444,0.060139
1558224,1977-01-18T05:41:48.207000Z,A77907A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2788,174.7785,5941084.19,2618142.66,5990481,2658964,9.4,9.4,64.07,72.55,59.39,67.86,-5.57,-63.66,0,34,29.64,nu,907A,D,250,Q2,1.2,Q2,116,Q2,0,-99999,-99999,1,0.47,18,0.799,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.079748008,0.079999487,0.080364044,0.080880156,0.082074317,0.113973888,0.274581917,0.207429974,0.329864144,0.343936083,0.277062621,0.32255203,0.250375016,0.099847081,0.040834628,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.088848204,0.089086041,0.089509281,0.090110171,0.091319699,0.126767621,0.318535502,0.257426168,0.457184172,0.421675,0.32210294,0.365621758,0.314992524,0.115735359,0.050757178,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.079581,0.088573,0.052515,0.058943
