CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_Vert,f50.0000SA_Vert,f33.3333SA_Vert,f25.0000SA_Vert,f20.0000SA_Vert,f13.3333SA_Vert,f10.0000SA_Vert,f6.6667SA_Vert,f5.0000SA_Vert,f4.0000SA_Vert,f3.3333SA_Vert,f2.5000SA_Vert,f2.0000SA_Vert,f1.3333SA_Vert,f1.0000SA_Vert,f0.6667SA_Vert,f0.5000SA_Vert,f0.3333SA_Vert,f0.2500SA_Vert,f0.2000SA_Vert,f0.1333SA_Vert,f0.1000SA_Vert,PGA,PGV
1558224,1977-01-18T05:41:48.207000Z,A77601A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2263,174.8719,5941084.19,2618142.66,5996147,2666912,9.4,9.4,73.53,81.03,68.88,76.33,-9.15,-72.74,0,34,29.64,nu,601A,D,161,Q3,2.3,Q3,297,Q3,0,-99999,-99999,1,0.6,26,1.02,26,Webb_Anderson_1998&Dowrick_Rhoades1998,0.030289666,0.031083278,0.033609885,0.050462283,0.081693169,0.118785764,0.117349158,0.039809779,0.031061702,0.029674746,0.031742022,0.040073236,0.031074282,0.01821766,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.029235,0.01043
1558224,1977-01-18T05:41:48.207000Z,A77902A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2776,174.7793,5941084.19,2618142.66,5990617,2659034,9.4,9.4,64.22,72.68,59.54,67.99,-5.56,-63.81,0,34,29.64,nu,902A,D,275,Q2,1.25,Q2,1.32E+02,Q2,0,-99999,-99999,1,0.6,32,1.02,32,Webb_Anderson_1998&Dowrick_Rhoades1998,0.038937256,0.039462123,0.04448409,0.062363345,0.069272746,0.092776223,0.079505978,0.079080644,0.126262793,0.153932157,0.070358091,0.059587875,0.064192581,0.049230874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.038685,0.02444
1558224,1977-01-18T05:41:48.207000Z,A77912A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.3264,174.809,5941084.19,2618142.66,5985141,2661416,9.4,9.4,61.72,70.5,57.11,65.8,-10.54,-60.52,0,34,29.64,nu,WNAS,D,239,Q2,0.78,Q2,64,Q2,0,-99999,-99999,0,0.7,28,1.19,28,Webb_Anderson_1998&Dowrick_Rhoades1998,0.036131445,0.038464577,0.043924523,0.070582145,0.089518837,0.075401221,0.07967413,0.069294545,0.051326026,0.02891083,0.057379118,0.038557533,0.030677486,0.027395387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.034913,0.00799
62461,1989-08-08T07:59:06.546000Z,D89918B1,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-41.284,174.7682,6119840.44,2620805.44,5989908,2658140,5.1,5.1,135.31,175.65,133.03,173.12,-92.01,97.2,0,112,110.36,nu,WEL,B,1000,Q3,0.3,Q1,0,Q2,0,-99999,-99999,0,0.35,20,0.595,20,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.0129956,0.013418508,0.014168565,0.015432934,0.017661911,0.036271813,0.053173779,0.034518203,0.028857316,0.0160696,0.011121827,0.010096376,0.009531831,0.003626314,0.002975299,0.001102373,-9999,-9999,-9999,-9999,-9999,-9999,0.012977,0.002979
100789,1990-02-19T05:34:36.673000Z,D90029A2,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.6458,176.8429,6086791.59,2783346.23,6166127,2839726,13,13,97.36,100.01,90.89,93.52,-8.84,-96.72,0,23,16.82,nu,HCDS,D,182,Q2,>2,Q3,1000,Q3,0,-99999,-99999,0,0.17,16,0.289,16,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.013009874,0.013069542,0.013147941,0.013311047,0.01351849,0.018467573,0.029961225,0.027181462,0.035471624,0.042024127,0.034574352,0.030531699,0.037530387,0.022638725,0.034976389,0.019534769,0.012018903,0.004355863,-9999,-9999,-9999,-9999,0.013007,0.01516
100789,1990-02-19T05:34:36.673000Z,D90039E2,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.9483,175.6597,6086791.59,2783346.23,6025298,2733883,13,13,78.91,82.2,72.5,75.91,15.46,77.76,0,23,16.82,nu,039E,D,314,Q3,1,Q3,100,Q3,0,-99999,-99999,0,0.14,24.5,0.238,24.5,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.00772781,0.00791119,0.009412932,0.019809291,0.029259475,0.02225795,0.021847758,0.018124691,0.0191634,0.013672665,0.016715416,0.017400264,0.013654801,0.014503564,0.010490267,0.010437167,0.004122867,0.004489596,0.001409771,-9999,-9999,-9999,0.007727,0.00816
125056,1990-05-13T04:23:09.012999Z,D90029A3,6.39,0.08,Crustal,O,1,220,28,149,special,-40.35,176.23,-39.6458,176.8429,6090089.72,2784316.52,6166127,2839726,12.5,12.5,94.11,94.73,87.86,88.54,11.95,-93.86,0,11,8.07,nu,HCDS,D,182,Q2,>2,Q3,1000,Q3,0,-99999,-99999,0,0.17,15,0.289,15,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.018643236,0.018891428,0.019367706,0.02017277,0.021447116,0.028933411,0.042346529,0.049698719,0.05240791,0.048513236,0.049322007,0.038671582,0.040592402,0.026858888,0.038054079,0.020642145,0.017008748,0.006014533,-9999,-9999,-9999,-9999,0.018654,0.01904
125056,1990-05-13T04:23:09.012999Z,D90039E3,6.39,0.08,Crustal,O,1,220,28,149,special,-40.35,176.23,-40.9483,175.6597,6090089.72,2784316.52,6025298,2733883,12.5,12.5,82.1,82.84,75.85,76.63,2.51,82.05,0,11,8.07,nu,039E,D,314,Q3,1,Q3,100,Q3,0,-99999,-99999,0,0.2,20,0.34,20,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.014166233,0.014194038,0.014241562,0.015705149,0.022155702,0.023155601,0.023621705,0.031691826,0.02591118,0.021064054,0.023434816,0.023464,0.024300996,0.028976106,0.028848454,0.031502197,0.017105007,-9999,-9999,-9999,-9999,-9999,0.014128,0.02501
125056,1990-05-13T04:23:09.012999Z,D90302A2,6.39,0.08,Crustal,O,1,220,28,149,special,-40.35,176.23,-39.9338,175.053,6090089.72,2784316.52,6139282,2685450,12.5,12.5,110.24,110.98,104.69,105.78,112.87,25.87,0,11,8.07,nu,302A,D,250,Q2,0.8,Q3,80,Q3,0,-99999,-99999,0,0.2,15,0.34,15,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.015402926,0.015520769,0.016041534,0.017112958,0.018763552,0.036229264,0.069487221,0.051720465,0.038727054,0.040757443,0.051653089,0.032827355,0.042580519,0.021257453,0.024948774,0.017735147,0.01419689,-9999,-9999,-9999,-9999,-9999,0.01525,0.01571
164529,1990-10-04T23:48:26.123000Z,D90606B5,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2333,174.9199,5952370.8,2713346.37,5995282,2670919,4.5,4.5,60.3,61.9,58.15,59.96,51.33,-34.89,0,13.8,12.99,nu,606B,B,800,Q3,<0.1,Q3,0,Q3,0,-99999,-99999,0,0.5,15,0.85,15,HarvardCMT&Luo(1992),0.010637435,0.010739407,0.010915017,0.011168925,0.01155479,0.026270059,0.027482558,0.043002173,0.031226661,0.015256393,0.01872278,0.007998071,0.009655899,0.012196036,0.015344768,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.010642,0.009232
164529,1990-10-04T23:48:26.123000Z,D90642E8,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2341,174.918,5952370.8,2713346.37,5995197,2670758,4.5,4.5,60.35,61.96,58.2,60.01,51.48,-34.78,0,13.8,12.99,nu,642E,C,350,Q1,0.35,Q2,50,Q3,0,-99999,-99999,0,0.4,26,0.68,26,HarvardCMT&Luo(1992),0.019396845,0.019584764,0.019868483,0.020341423,0.028820749,0.030859381,0.035655605,0.057634963,0.050203244,0.042168685,0.053992226,0.022591834,0.016268594,0.015870407,0.019683137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.019103,0.01108
164529,1990-10-04T23:48:26.123000Z,D90900B5,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2921,174.779,5952370.8,2713346.37,5989003,2658976,4.5,4.5,65.46,67,63.34,65.08,62.01,-26.63,0,13.8,12.99,nu,941A,D,272,Q2,0.85,Q2,9.85E+01,Q2,0,-99999,-99999,0,0.4,10,0.68,10,HarvardCMT&Luo(1992),0.010488256,0.010511346,0.010547994,0.010741797,0.011144544,0.013270582,0.020894454,0.019913999,0.03666312,0.021402351,0.030058077,0.035657652,0.04863398,0.01987268,0.013773631,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.010489,0.00828
164529,1990-10-04T23:48:26.123000Z,D90935B2,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2108,174.9047,5952370.8,2713346.37,5997808,2669699,4.5,4.5,62.96,64.5,60.81,62.54,52.97,-37.17,0,13.8,12.99,nu,935A,D,240,Q3,1.2,Q3,275,Q3,0,-99999,-99999,0,0.45,15,0.765,15,HarvardCMT&Luo(1992),0.008156861,0.008368141,0.008752815,0.00933851,0.010622802,0.022146014,0.021639161,0.031994619,0.022858471,0.026309496,0.018267585,0.016298424,0.018069615,0.013989634,0.012869438,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.007839,0.00692
164529,1990-10-04T23:48:26.123000Z,D90941A5,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2921,174.779,5952370.8,2713346.37,5989003,2658976,4.5,4.5,65.46,67,63.34,65.08,62.01,-26.63,0,13.8,12.99,nu,941A,D,272,Q2,0.85,Q2,9.85E+01,Q2,0,-99999,-99999,0,0.51,21,0.867,21,HarvardCMT&Luo(1992),0.008643906,0.008701457,0.008789564,0.010224771,0.018440423,0.020646616,0.019736054,0.019819546,0.029410191,0.021183929,0.025149106,0.023225192,0.030455038,0.022294269,0.01470599,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008644,0.00887
160610,1990-10-06T02:41:12.583000Z,D90900B6,5.46,0.15,Interface,O,1,250,38,145,special,-41.61,175.43,-41.2921,174.779,5952394.08,2712513.04,5989003,2658976,4,4,64.76,66.39,63.03,64.9,54.29,37.79,0,14.2,12.97,nu,941A,D,272,Q2,0.85,Q2,9.85E+01,Q2,0,-99999,-99999,0,0.4,15,0.68,15,HarvardCMT&Luo(1992),0.010841484,0.011067476,0.011461413,0.012200483,0.013621111,0.023692916,0.019881182,0.043250777,0.028102741,0.019994448,0.021489086,0.019011737,0.018714103,0.015272227,0.009447531,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.010693,0.00597
