segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,166.96,-45.15,10976.8281,0.09,35,23,95,9.04,6000,5000
1,166.96,-45.15,10976.8281,0.09,35,23,95,7.05,6000,5000
1,166.96,-45.15,10976.8281,0.78,35,23,95,5.07,6000,5000
1,166.96,-45.15,10976.8281,1.27,35,23,95,3.11,6000,5000
1,166.96,-45.15,10976.8281,1.5,35,23,95,1.3,6000,5000
1,166.96,-45.15,10976.8281,1.5,35,23,95,1.3,6000,5000
1,166.96,-45.15,10976.8281,1.27,35,23,95,3.11,6000,5000
1,166.96,-45.15,10976.8281,0.78,35,23,95,5.07,6000,5000
1,166.96,-45.15,10976.8281,0.09,35,23,95,7.05,6000,5000
1,166.96,-45.15,10976.8281,0.09,35,23,95,9.04,6000,5000
1,166.96,-45.15,12930.4834,0.09,35,23,95,9.34,6000,5000
1,166.96,-45.15,12930.4834,0.95,35,23,95,7.43,6000,5000
1,166.96,-45.15,12930.4834,1.65,35,23,95,5.59,6000,5000
1,166.96,-45.15,12930.4834,1.92,35,23,95,3.91,6000,5000
1,166.96,-45.15,12930.4834,2.1,35,23,95,2.69,6000,5000
1,166.96,-45.15,12930.4834,2.1,35,23,95,2.69,6000,5000
1,166.96,-45.15,12930.4834,1.92,35,23,95,3.91,6000,5000
1,166.96,-45.15,12930.4834,1.65,35,23,95,5.59,6000,5000
1,166.96,-45.15,12930.4834,0.95,35,23,95,7.43,6000,5000
1,166.96,-45.15,12930.4834,0.09,35,23,95,9.34,6000,5000
1,166.96,-45.15,14884.1396,0.78,35,23,95,9.92,6000,5000
1,166.96,-45.15,14884.1396,1.65,35,23,95,8.15,6000,5000
1,166.96,-45.15,14884.1396,1.98,35,23,95,6.51,6000,5000
1,166.96,-45.15,14884.1396,2.27,35,23,95,5.13,6000,5000
1,166.96,-45.15,14884.1396,2.41,35,23,95,4.28,6000,5000
1,166.96,-45.15,14884.1396,2.41,35,23,95,4.28,6000,5000
1,166.96,-45.15,14884.1396,2.27,35,23,95,5.13,6000,5000
1,166.96,-45.15,14884.1396,2.04,35,23,95,6.51,6000,5000
1,166.96,-45.15,14884.1396,1.65,35,23,95,8.15,6000,5000
1,166.96,-45.15,14884.1396,0.78,35,23,95,9.92,6000,5000
1,166.96,-45.15,16837.7949,1.27,35,23,95,10.73,6000,5000
1,166.96,-45.15,16837.7949,1.92,35,23,95,9.11,6000,5000
1,166.96,-45.15,16837.7949,2.27,35,23,95,7.68,6000,5000
1,166.96,-45.15,16837.7949,2.49,35,23,95,6.56,6000,5000
1,166.96,-45.15,16837.7949,2.6,35,23,95,5.92,6000,5000
1,166.96,-45.15,16837.7949,2.6,35,23,95,5.92,6000,5000
1,166.96,-45.15,16837.7949,2.49,35,23,95,6.56,6000,5000
