segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,167.4,-44.8,847.457092,0.0,48,45,116.158997,16.761,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,116.158997,16.219999,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,116.158997,15.696,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,116.158997,15.192,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,113.220001,14.71,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,113.220001,14.252,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,113.220001,13.82,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,124.567001,13.418,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,118.446999,13.048,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,118.446999,12.712,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,118.446999,12.414,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,118.446999,12.156,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,118.446999,11.941,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,118.446999,11.771,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,131.272995,11.648,3000,3000
1,167.4,-44.8,847.457092,0.0,48,45,131.272995,11.573,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,116.158997,16.247999,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,116.158997,15.688,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,116.158997,15.146,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,113.220001,14.623,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,124.567001,14.121,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,118.446999,13.644,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,118.446999,13.192,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,114.317001,12.771,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,122.216003,12.381,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,129.403,12.027,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,129.403,11.711,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,129.403,11.437,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,129.403,11.208,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,129.632996,11.026,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,129.403,10.895001,3000,3000
1,167.4,-44.8,2968.77734,0.0,48,45,86.313003,10.815,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,116.158997,15.754,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,116.158997,15.176,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,124.567001,14.614,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,124.567001,14.072,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,118.446999,13.55,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,116.540001,13.051,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,123.960999,12.579,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,123.960999,12.136,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,123.960999,11.725,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,129.632996,11.35,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,129.632996,11.015,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,129.632996,10.724,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,129.632996,10.479,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,129.632996,10.285,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,129.632996,10.144,3000,3000
1,167.4,-44.8,5090.09766,0.0,48,45,129.632996,10.058,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,119.630997,15.281,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,124.567001,14.685,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,118.446999,14.104,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,123.960999,13.541,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,123.960999,12.998,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,124.150002,12.477,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,125.150002,11.982,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,130.746002,11.516,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,128.395004,11.083,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,128.395004,10.685,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,128.395004,10.329,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,128.395004,10.017,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,128.395004,9.755,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,130.746002,9.546,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,129.048996,9.393,3000,3000
1,167.4,-44.8,7211.41797,0.0,48,45,129.048996,9.301,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,124.567001,14.833,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,122.216003,14.218,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.960999,13.617,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.167999,13.033,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,120.959,12.468,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,122.378998,11.924,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,124.334,11.405,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.817001,10.914,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.817001,10.456,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.817001,10.034,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.817001,9.653,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.817001,9.319,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,123.331001,9.036,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,122.073997,8.81,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,129.048996,8.645,3000,3000
1,167.4,-44.8,9332.73828,0.0,48,45,129.048996,8.544,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,124.567001,14.411,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,125.876999,13.777,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,120.959,13.156,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,124.334,12.55,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,11.962,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,11.394,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,10.85,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,10.333,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,9.847,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,9.398,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,8.991,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,8.631,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,123.817001,8.325,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,126.672997,8.079,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,126.672997,7.898,3000,3000
1,167.4,-44.8,11454.0586,0.0,48,45,87.471001,7.788,3000,3000
1,167.4,-44.8,13575.3789,0.0,48,45,125.876999,14.017,3000,3000
1,167.4,-44.8,13575.3789,0.0,48,45,123.741997,13.364,3000,3000
1,167.4,-44.8,13575.3789,0.0,48,45,122.028999,12.723,3000,3000
1,167.4,-44.8,13575.3789,0.0,48,45,123.817001,12.096,3000,3000
1,167.4,-44.8,13575.3789,0.0,48,45,123.817001,11.485,3000,3000
1,167.4,-44.8,13575.3789,0.04,48,45,122.113998,11.149,3000,3000
1,167.4,-44.8,13575.3789,0.09,48,45,122.113998,10.578,3000,3000
1,167.4,-44.8,13575.3789,0.15,48,45,122.113998,10.033,3000,3000
1,167.4,-44.8,13575.3789,0.17,48,45,122.113998,9.519,3000,3000
1,167.4,-44.8,13575.3789,0.13,48,45,122.113998,9.039,3000,3000
1,167.4,-44.8,13575.3789,0.07,48,45,122.113998,8.602,3000,3000
1,167.4,-44.8,13575.3789,0.02,48,45,122.113998,8.213,3000,3000
1,167.4,-44.8,13575.3789,0.0,48,45,123.817001,7.623,3000,3000
