segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,178.4948,-38.8776,23493.9043,0.0,60,45,119.081,13.9,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,119.808,22.603,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,22.127,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,21.668,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,21.228,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,20.81,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,20.416,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,20.048,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,19.71,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,19.405,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,19.135,2000,2000
1,178.4948,-38.8776,23493.9043,0.01,60,45,119.808,18.903,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,119.808,18.712,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,119.808,18.565,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,119.659,9.269,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,119.281,9.215,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,115.676,9.209,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,115.676,9.251,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,131.894,9.341,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,112.1,9.477,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,112.1,9.657,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,112.1,9.879,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,98.929,10.14,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,98.929,10.437,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,98.929,10.767,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,300.0,11.127,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,300.0,11.515,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,300.0,11.928,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,300.0,12.362,2000,2000
1,178.4948,-38.8776,23493.9043,0.0,60,45,300.0,12.817,2000,2000
1,178.4948,-38.8776,24908.1172,0.01,60,45,119.808,22.663,2000,2000
1,178.4948,-38.8776,24908.1172,0.01,60,45,119.808,22.155,2000,2000
1,178.4948,-38.8776,24908.1172,0.01,60,45,119.808,21.661,2000,2000
1,178.4948,-38.8776,24908.1172,0.01,60,45,119.808,21.184,2000,2000
1,178.4948,-38.8776,24908.1172,0.02,60,45,119.808,20.726,2000,2000
1,178.4948,-38.8776,24908.1172,0.02,60,45,119.808,20.289,2000,2000
1,178.4948,-38.8776,24908.1172,0.02,60,45,119.808,19.876,2000,2000
1,178.4948,-38.8776,24908.1172,0.02,60,45,119.808,19.489,2000,2000
1,178.4948,-38.8776,24908.1172,0.02,60,45,119.808,19.132,2000,2000
1,178.4948,-38.8776,24908.1172,0.02,60,45,119.808,18.808,2000,2000
1,178.4948,-38.8776,24908.1172,0.01,60,45,119.808,18.521,2000,2000
1,178.4948,-38.8776,24908.1172,0.01,60,45,119.808,18.273,2000,2000
1,178.4948,-38.8776,24908.1172,0.01,60,45,119.808,18.069,2000,2000
