SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -46.3122, 165.5920, 6350.7757, 0.00655, 23.50, 13.37, 181.61, 5000.000, 5000.000
1, -46.3294, 165.6490, 7906.5447, 0.02003, 23.50, 18.13, 172.64, 5000.000, 5000.000
1, -46.3463, 165.7040, 9769.2467, 0.03671, 23.50, 21.87, 171.60, 5000.000, 5000.000
1, -46.3627, 165.7590, 11871.7091, 0.05283, 23.50, 24.86, 172.36, 5000.000, 5000.000
1, -46.3788, 165.8120, 14167.4869, 0.06582, 23.50, 27.33, 174.07, 5000.000, 5000.000
1, -46.3946, 165.8640, 16625.7292, 0.07393, 23.50, 29.45, 176.56, 5000.000, 5000.000
1, -46.4101, 165.9150, 19227.8781, 0.07622, 23.50, 31.36, 179.81, 5000.000, 5000.000
1, -46.4252, 165.9650, 21963.4445, 0.07269, 23.50, 33.17, 183.96, 5000.000, 5000.000
1, -46.4401, 166.0140, 24828.0856, 0.06432, 23.50, 34.95, 189.55, 5000.000, 5000.000
1, -46.4546, 166.0620, 27822.0260, 0.05315, 23.50, 36.77, 198.00, 5000.000, 5000.000
1, -46.4688, 166.1090, 30947.8406, 0.04243, 23.50, 38.67, 212.11, 5000.000, 5000.000
1, -46.4826, 166.1550, 34206.8576, 0.03657, 23.50, 40.65, 234.00, 5000.000, 5000.000
1, -46.4960, 166.1990, 37600.6372, 0.03825, 23.50, 42.72, 257.22, 5000.000, 5000.000
1, -46.5089, 166.2420, 41129.8659, 0.04385, 23.50, 44.85, 273.35, 5000.000, 5000.000
1, -46.5214, 166.2830, 44791.1578, 0.04613, 23.50, 47.03, 283.56, 5000.000, 5000.000
1, -46.5334, 166.3230, 48578.5848, 0.03783, 23.50, 49.20, 290.16, 5000.000, 5000.000
1, -46.5449, 166.3610, 52485.7186, 0.01454, 23.50, 51.34, 264.51, 5000.000, 5000.000
1, -46.2710, 165.6170, 6350.7757, 0.05542, 23.50, 13.37, 171.34, 5000.000, 5000.000
1, -46.2882, 165.6740, 7906.5447, 0.13828, 23.50, 18.13, 166.91, 5000.000, 5000.000
1, -46.3050, 165.7300, 9769.2467, 0.23123, 23.50, 21.87, 167.10, 5000.000, 5000.000
