segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,165.592,-46.3122,6350.7757,0.04194,23.5,13.37,139.21, ,5000.0,5000.0
1,165.649,-46.3294,7906.5447,0.09005,23.5,18.13,136.72, ,5000.0,5000.0
1,165.704,-46.3463,9769.2467,0.13798,23.5,21.87,137.25, ,5000.0,5000.0
1,165.759,-46.3627,11871.7091,0.17704,23.5,24.86,138.99, ,5000.0,5000.0
1,165.812,-46.3788,14167.4869,0.20026,23.5,27.33,141.31, ,5000.0,5000.0
1,165.864,-46.3946,16625.7292,0.20355,23.5,29.45,144.0, ,5000.0,5000.0
1,165.915,-46.4101,19227.8781,0.1862,23.5,31.36,147.12, ,5000.0,5000.0
1,165.965,-46.4252,21963.4445,0.15098,23.5,33.17,151.1, ,5000.0,5000.0
1,166.014,-46.4401,24828.0856,0.10378,23.5,34.95,157.62, ,5000.0,5000.0
1,166.062,-46.4546,27822.026,0.05416,23.5,36.77,175.01, ,5000.0,5000.0
1,166.109,-46.4688,30947.8406,0.03127,23.5,38.67,244.8, ,5000.0,5000.0
1,166.155,-46.4826,34206.8576,0.06038,23.5,40.65,288.91, ,5000.0,5000.0
1,166.199,-46.496,37600.6372,0.08899,23.5,42.72,296.97, ,5000.0,5000.0
1,166.242,-46.5089,41129.8659,0.10287,23.5,44.85,297.32, ,5000.0,5000.0
1,166.283,-46.5214,44791.1578,0.09705,23.5,47.03,294.33, ,5000.0,5000.0
1,166.323,-46.5334,48578.5848,0.06714,23.5,49.2,285.76, ,5000.0,5000.0
1,166.361,-46.5449,52485.7186,0.02622,23.5,51.34,214.92, ,5000.0,5000.0
1,165.617,-46.271,6350.7757,0.10959,23.5,13.37,144.64, ,5000.0,5000.0
1,165.674,-46.2882,7906.5447,0.22998,23.5,18.13,139.09, ,5000.0,5000.0
1,165.73,-46.305,9769.2467,0.34819,23.5,21.87,139.02, ,5000.0,5000.0
1,165.784,-46.3215,11871.7091,0.44357,23.5,24.86,140.49, ,5000.0,5000.0
1,165.838,-46.3376,14167.4869,0.50034,23.5,27.33,142.66, ,5000.0,5000.0
1,165.89,-46.3534,16625.7292,0.50926,23.5,29.45,145.29, ,5000.0,5000.0
1,165.941,-46.3688,19227.8781,0.46889,23.5,31.36,148.43, ,5000.0,5000.0
1,165.991,-46.384,21963.4445,0.38587,23.5,33.17,152.46, ,5000.0,5000.0
1,166.04,-46.3988,24828.0856,0.27419,23.5,34.95,158.82, ,5000.0,5000.0
1,166.088,-46.4134,27822.026,0.1556,23.5,36.77,173.64, ,5000.0,5000.0
1,166.135,-46.4276,30947.8406,0.08159,23.5,38.67,226.68, ,5000.0,5000.0
1,166.181,-46.4414,34206.8576,0.12738,23.5,40.65,281.32, ,5000.0,5000.0
1,166.225,-46.4548,37600.6372,0.19043,23.5,42.72,294.08, ,5000.0,5000.0
1,166.268,-46.4677,41129.8659,0.22138,23.5,44.85,296.08, ,5000.0,5000.0
1,166.309,-46.4802,44791.1578,0.20729,23.5,47.03,293.77, ,5000.0,5000.0
1,166.349,-46.4922,48578.5848,0.14066,23.5,49.2,285.24, ,5000.0,5000.0
1,166.387,-46.5036,52485.7186,0.05499,23.5,51.34,214.94, ,5000.0,5000.0
1,165.643,-46.2297,6350.7757,0.20409,23.5,13.37,146.67, ,5000.0,5000.0
1,165.7,-46.247,7906.5447,0.41798,23.5,18.13,140.59, ,5000.0,5000.0
1,165.756,-46.2638,9769.2467,0.62527,23.5,21.87,140.29, ,5000.0,5000.0
1,165.81,-46.2803,11871.7091,0.79159,23.5,24.86,141.62, ,5000.0,5000.0
1,165.863,-46.2964,14167.4869,0.89099,23.5,27.33,143.72, ,5000.0,5000.0
1,165.916,-46.3121,16625.7292,0.90838,23.5,29.45,146.35, ,5000.0,5000.0
1,165.967,-46.3276,19227.8781,0.84161,23.5,31.36,149.51, ,5000.0,5000.0
1,166.017,-46.3427,21963.4445,0.70199,23.5,33.17,153.54, ,5000.0,5000.0
1,166.066,-46.3576,24828.0856,0.51307,23.5,34.95,159.6, ,5000.0,5000.0
1,166.114,-46.3721,27822.026,0.31003,23.5,36.77,172.15, ,5000.0,5000.0
1,166.161,-46.3863,30947.8406,0.15933,23.5,38.67,211.5, ,5000.0,5000.0
1,166.207,-46.4001,34206.8576,0.18856,23.5,40.65,271.98, ,5000.0,5000.0
1,166.251,-46.4135,37600.6372,0.28368,23.5,42.72,290.95, ,5000.0,5000.0
1,166.294,-46.4265,41129.8659,0.33301,23.5,44.85,294.91, ,5000.0,5000.0
1,166.335,-46.439,44791.1578,0.31032,23.5,47.03,293.24, ,5000.0,5000.0
1,166.374,-46.4509,48578.5848,0.20537,23.5,49.2,284.11, ,5000.0,5000.0
1,166.412,-46.4624,52485.7186,0.08743,23.5,51.34,205.95, ,5000.0,5000.0
