segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,166.58,-45.75,8759.08,0.0,27,33,145.494,34.978,2000,2000
1,166.58,-45.75,8759.08,0.0,27,33,145.494,34.266,2000,2000
1,166.58,-45.75,8759.08,0.0,27,33,145.494,33.574,2000,2000
1,166.58,-45.75,8759.08,0.0,27,33,145.494,32.904,2000,2000
1,166.58,-45.75,8759.08,0.11,27,33,145.494,32.257,2000,2000
1,166.58,-45.75,8759.08,0.17,27,33,145.494,31.634,2000,2000
1,166.58,-45.75,8759.08,0.26,27,33,145.494,31.037,2000,2000
1,166.58,-45.75,8759.08,0.38,27,33,145.494,30.466,2000,2000
1,166.58,-45.75,8759.08,0.54,27,33,145.494,29.925,2000,2000
1,166.58,-45.75,8759.08,0.72,27,33,145.494,29.414,2000,2000
1,166.58,-45.75,8759.08,0.93,27,33,145.494,28.935,2000,2000
1,166.58,-45.75,8759.08,1.15,27,33,145.494,28.489,2000,2000
1,166.58,-45.75,8759.08,1.37,27,33,145.494,28.079,2000,2000
1,166.58,-45.75,8759.08,1.56,27,33,145.494,27.705,2000,2000
1,166.58,-45.75,8759.08,1.7,27,33,145.494,27.37,2000,2000
1,166.58,-45.75,8759.08,1.78,27,33,145.494,27.074,2000,2000
1,166.58,-45.75,8759.08,1.79,27,33,145.494,26.82,2000,2000
1,166.58,-45.75,8759.08,1.73,27,33,145.494,26.607,2000,2000
1,166.58,-45.75,8759.08,1.6,27,33,145.494,26.438,2000,2000
1,166.58,-45.75,8759.08,1.43,27,33,145.494,26.312,2000,2000
1,166.58,-45.75,8759.08,1.22,27,33,145.494,26.232,2000,2000
1,166.58,-45.75,8759.08,0.99,27,33,145.494,26.196,2000,2000
1,166.58,-45.75,8759.08,0.78,27,33,145.494,26.206,2000,2000
1,166.58,-45.75,8759.08,0.59,27,33,145.494,26.26,2000,2000
1,166.58,-45.75,8759.08,0.42,27,33,145.494,26.36,2000,2000
1,166.58,-45.75,8759.08,0.29,27,33,145.494,26.504,2000,2000
1,166.58,-45.75,8759.08,0.2,27,33,145.494,26.692,2000,2000
1,166.58,-45.75,8759.08,0.12,27,33,145.494,26.922,2000,2000
1,166.58,-45.75,8759.08,0.0,27,33,145.494,27.194,2000,2000
1,166.58,-45.75,8759.08,0.0,27,33,145.494,27.507,2000,2000
1,166.58,-45.75,9848.35,0.0,27,33,145.494,34.17,2000,2000
1,166.58,-45.75,9848.35,0.0,27,33,145.494,33.441,2000,2000
1,166.58,-45.75,9848.35,0.0,27,33,145.494,32.732,2000,2000
1,166.58,-45.75,9848.35,0.1,27,33,145.494,32.044,2000,2000
1,166.58,-45.75,9848.35,0.16,27,33,145.494,31.379,2000,2000
1,166.58,-45.75,9848.35,0.25,27,33,145.494,30.738,2000,2000
1,166.58,-45.75,9848.35,0.38,27,33,145.494,30.123,2000,2000
1,166.58,-45.75,9848.35,0.55,27,33,145.494,29.535,2000,2000
1,166.58,-45.75,9848.35,0.76,27,33,145.494,28.977,2000,2000
1,166.58,-45.75,9848.35,1.01,27,33,145.494,28.449,2000,2000
1,166.58,-45.75,9848.35,1.29,27,33,145.494,27.953,2000,2000
1,166.58,-45.75,9848.35,1.58,27,33,145.494,27.492,2000,2000
1,166.58,-45.75,9848.35,1.86,27,33,145.494,27.066,2000,2000
1,166.58,-45.75,9848.35,2.09,27,33,145.494,26.678,2000,2000
1,166.58,-45.75,9848.35,2.26,27,33,145.494,26.33,2000,2000
1,166.58,-45.75,9848.35,2.35,27,33,145.494,26.022,2000,2000
1,166.58,-45.75,9848.35,2.33,27,33,145.494,25.757,2000,2000
1,166.58,-45.75,9848.35,2.23,27,33,145.494,25.536,2000,2000
1,166.58,-45.75,9848.35,2.04,27,33,145.494,25.359,2000,2000
