SEGMENT,lat,lon,NORTHING,EASTING,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,RUPTURE TIME
1,-43.55,172.17,-2374.87,22743.76,787.09,1.09,266,82,199.922,1000,1000,19.612
1,-43.55,172.17,-2444.63,21746.2,787.09,1.25,266,82,199.922,1000,1000,19.187
1,-43.55,172.17,-2514.39,20748.63,787.09,1.41,266,82,199.922,1000,1000,18.765
1,-43.55,172.17,-2584.14,19751.07,787.09,1.59,266,82,199.922,1000,1000,18.344
1,-43.55,172.17,-2653.9,18753.51,787.09,1.79,266,82,199.922,1000,1000,17.927
1,-43.55,172.17,-2723.65,17755.94,787.09,1.99,266,82,199.922,1000,1000,17.513
1,-43.55,172.17,-2793.41,16758.38,787.09,2.2,266,82,199.922,1000,1000,17.102
1,-43.55,172.17,-2863.17,15760.81,787.09,2.41,266,82,199.922,1000,1000,16.695
1,-43.55,172.17,-2932.92,14763.25,787.09,2.63,266,82,199.922,1000,1000,16.293
1,-43.55,172.17,-3002.68,13765.68,787.09,2.85,266,82,199.922,1000,1000,15.896
1,-43.55,172.17,-3072.44,12768.12,787.09,3.07,266,82,199.922,1000,1000,15.504
1,-43.55,172.17,-3142.19,11770.56,787.09,3.28,266,82,199.922,1000,1000,15.119
1,-43.55,172.17,-3211.95,10772.99,787.09,3.48,266,82,199.922,1000,1000,14.741
1,-43.55,172.17,-3281.7,9775.43,787.09,3.68,266,82,199.922,1000,1000,14.371
1,-43.55,172.17,-3351.46,8777.86,787.09,3.85,266,82,199.922,1000,1000,14.011
1,-43.55,172.17,-3421.22,7780.3,787.09,4.01,266,82,199.922,1000,1000,13.662
1,-43.55,172.17,-3490.97,6782.74,787.09,4.15,266,82,199.922,1000,1000,13.325
1,-43.55,172.17,-3560.73,5785.17,787.09,4.26,266,82,199.922,1000,1000,13.003
1,-43.55,172.17,-3630.48,4787.61,787.09,4.35,266,82,199.922,1000,1000,12.698
1,-43.55,172.17,-3700.24,3790.04,787.09,4.41,266,82,199.922,1000,1000,12.412
1,-43.55,172.17,-3770,2792.48,787.09,4.44,266,82,199.922,1000,1000,12.148
1,-43.55,172.17,-3839.75,1794.92,787.09,4.44,266,82,199.922,1000,1000,11.91
1,-43.55,172.17,-3909.51,797.35,787.09,4.41,266,82,199.922,1000,1000,11.701
1,-43.55,172.17,-3979.26,-200.21,787.09,4.35,266,82,199.922,1000,1000,11.524
