segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,172.0763,-43.5975,984.9079,1.56259,86.1,80.0,152.45, ,1000.0,1000.0
1,172.0764,-43.599,1969.7139,1.33819,86.1,80.0,171.45, ,1000.0,1000.0
1,172.0766,-43.6006,2954.5239,1.30809,86.1,80.0,-165.82, ,1000.0,1000.0
1,172.0767,-43.6021,3939.3339,1.41643,86.1,80.0,-149.38, ,1000.0,1000.0
1,172.0769,-43.6037,4924.1439,1.42951,86.1,80.0,-140.89, ,1000.0,1000.0
1,172.077,-43.6053,5908.9439,1.25826,86.1,80.0,-138.78, ,1000.0,1000.0
1,172.0771,-43.6068,6893.7539,0.95209,86.1,80.0,-143.72, ,1000.0,1000.0
1,172.0773,-43.6084,7878.5639,0.64833,86.1,80.0,-159.42, ,1000.0,1000.0
1,172.0775,-43.6099,8863.3739,0.50018,86.1,80.0,175.94, ,1000.0,1000.0
1,172.0776,-43.6115,9848.1739,0.51934,86.1,80.0,167.22, ,1000.0,1000.0
1,172.0777,-43.6131,10833.0039,0.79334,86.1,80.0,179.52, ,1000.0,1000.0
1,172.0886,-43.5969,984.9079,1.7334,86.1,80.0,-179.08, ,1000.0,1000.0
1,172.0885,-43.5984,1969.7139,2.28454,86.1,80.0,178.68, ,1000.0,1000.0
1,172.0885,-43.6,2954.5239,2.61936,86.1,80.0,-169.3, ,1000.0,1000.0
1,172.0885,-43.6015,3939.3339,2.82465,86.1,80.0,-155.55, ,1000.0,1000.0
1,172.0884,-43.6031,4924.1439,2.77906,86.1,80.0,-146.5, ,1000.0,1000.0
1,172.0884,-43.6046,5908.9439,2.3914,86.1,80.0,-143.47, ,1000.0,1000.0
1,172.0883,-43.6062,6893.7539,1.76436,86.1,80.0,-147.93, ,1000.0,1000.0
1,172.0883,-43.6078,7878.5639,1.16215,86.1,80.0,-164.09, ,1000.0,1000.0
1,172.0883,-43.6093,8863.3739,0.85481,86.1,80.0,170.09, ,1000.0,1000.0
1,172.0882,-43.6109,9848.1739,0.75697,86.1,80.0,162.28, ,1000.0,1000.0
1,172.0882,-43.6124,10833.0039,0.85888,86.1,80.0,-170.48, ,1000.0,1000.0
1,172.1009,-43.597,984.9079,1.59616,95.95,80.0,-153.19, ,1000.0,1000.0
1,172.1009,-43.5986,1969.7139,2.90229,95.95,80.0,-177.42, ,1000.0,1000.0
1,172.1009,-43.6001,2954.5239,3.72083,95.95,80.0,-171.03, ,1000.0,1000.0
1,172.1008,-43.6017,3939.3339,3.99616,95.95,80.0,-159.4, ,1000.0,1000.0
1,172.1008,-43.6032,4924.1439,3.8123,95.95,80.0,-150.66, ,1000.0,1000.0
1,172.1008,-43.6048,5908.9439,3.16837,95.95,80.0,-147.46, ,1000.0,1000.0
