SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -43.5747, 172.6182, 1439.7923, 0.01785, 67.00, 70.00, -133.29, 1000.000, 1000.000
1, -43.5775, 172.6198, 2379.4863, 0.10122, 67.00, 70.00, 171.03, 1000.000, 1000.000
1, -43.5804, 172.6215, 3319.1763, 0.22113, 67.00, 70.00, 163.11, 1000.000, 1000.000
1, -43.5832, 172.6231, 4258.8663, 0.31092, 67.00, 70.00, 162.10, 1000.000, 1000.000
1, -43.5860, 172.6248, 5198.5663, 0.34204, 67.00, 70.00, 164.19, 1000.000, 1000.000
1, -43.5889, 172.6265, 6138.2563, 0.31095, 67.00, 70.00, 167.78, 1000.000, 1000.000
1, -43.5917, 172.6281, 7077.9463, 0.22832, 67.00, 70.00, 170.96, 1000.000, 1000.000
1, -43.5945, 172.6298, 8017.6363, 0.12393, 67.00, 70.00, 169.81, 1000.000, 1000.000
1, -43.5712, 172.6296, 1439.7923, 0.07615, 67.00, 70.00, 164.41, 1000.000, 1000.000
1, -43.5740, 172.6312, 2379.4863, 0.23660, 67.00, 70.00, 175.79, 1000.000, 1000.000
1, -43.5769, 172.6329, 3319.1763, 0.47756, 67.00, 70.00, 173.01, 1000.000, 1000.000
1, -43.5797, 172.6346, 4258.8663, 0.66657, 67.00, 70.00, 171.19, 1000.000, 1000.000
1, -43.5825, 172.6362, 5198.5663, 0.73531, 67.00, 70.00, 171.65, 1000.000, 1000.000
1, -43.5853, 172.6379, 6138.2563, 0.66924, 67.00, 70.00, 173.74, 1000.000, 1000.000
1, -43.5882, 172.6395, 7077.9463, 0.49657, 67.00, 70.00, 175.62, 1000.000, 1000.000
1, -43.5910, 172.6412, 8017.6363, 0.30057, 67.00, 70.00, 172.55, 1000.000, 1000.000
1, -43.5677, 172.6410, 1439.7923, 0.28377, 67.00, 70.00, 166.02, 1000.000, 1000.000
1, -43.5705, 172.6427, 2379.4863, 0.48822, 67.00, 70.00, -179.14, 1000.000, 1000.000
1, -43.5733, 172.6443, 3319.1763, 0.78230, 67.00, 70.00, -178.06, 1000.000, 1000.000
