SEGMENT,lat,lon,NORTHING,EASTING,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,RUPTURE TIME
1,-43.5638,172.7431,-213.581543,-9777.89551,1015.30713,0,75,65,154.777,1000,1000,2.97
1,-43.5638,172.7431,45.237396,-8811.96973,1015.30713,0,75,65,154.777,1000,1000,2.827
1,-43.5638,172.7431,304.056335,-7846.04395,1015.30713,0,75,65,154.777,1000,1000,2.707
1,-43.5638,172.7431,562.875244,-6880.11816,1015.30713,0,75,65,154.777,1000,1000,2.614
1,-43.5638,172.7431,821.694214,-5914.19238,1015.30713,0,75,65,154.777,1000,1000,2.552
1,-43.5638,172.7431,1080.51318,-4948.26611,1015.30713,0,75,65,154.777,1000,1000,2.523
1,-43.5638,172.7431,1339.33203,-3982.34033,1015.30713,0,75,65,154.777,1000,1000,2.529
1,-43.5638,172.7431,1598.151,-3016.41455,1015.30713,0,75,65,154.777,1000,1000,2.569
1,-43.5638,172.7431,1856.96997,-2050.48877,1015.30713,0,75,65,154.777,1000,1000,2.642
1,-43.5638,172.7431,2115.78882,-1084.5625,1015.30713,0,75,65,154.777,1000,1000,2.744
1,-43.5638,172.7431,2374.60791,-118.636719,1015.30713,0,75,65,154.777,1000,1000,2.872
1,-43.5638,172.7431,2633.42676,847.289062,1015.30713,0,75,65,154.777,1000,1000,3.022
1,-43.5638,172.7431,2892.24561,1813.21484,1015.30713,0,75,65,154.777,1000,1000,3.191
1,-43.5638,172.7431,3151.0647,2779.14062,1015.30713,0,75,65,154.777,1000,1000,3.375
1,-43.5638,172.7431,3409.88354,3745.06641,1015.30713,0,75,65,154.777,1000,1000,3.571
1,-43.5638,172.7431,3668.70264,4710.99219,1015.30713,0,75,65,154.777,1000,1000,3.778
1,-43.5638,172.7431,3927.52148,5676.91797,1015.30713,0,75,65,154.777,1000,1000,3.994
1,-43.5638,172.7431,4186.34033,6642.84473,1015.30713,0,75,65,154.777,1000,1000,4.217
1,-43.5638,172.7431,4445.15918,7608.77051,1015.30713,0,75,65,154.777,1000,1000,4.446
1,-43.5638,172.7431,4703.97852,8574.69629,1015.30713,0,75,65,154.777,1000,1000,4.68
1,-43.5638,172.7431,-621.799438,-9668.51367,1921.61499,0,75,65,154.777,1000,1000,2.751
1,-43.5638,172.7431,-362.980469,-8702.58789,1921.61499,0,75,65,154.777,1000,1000,2.594
1,-43.5638,172.7431,-104.16153,-7736.66211,1921.61499,0,75,65,154.777,1000,1000,2.46
1,-43.5638,172.7431,154.657379,-6770.73633,1921.61499,0,75,65,154.777,1000,1000,2.356
1,-43.5638,172.7431,413.476349,-5804.81055,1921.61499,0,75,65,154.777,1000,1000,2.285
1,-43.5638,172.7431,672.295288,-4838.88428,1921.61499,0,75,65,154.777,1000,1000,2.252
1,-43.5638,172.7431,931.114136,-3872.95874,1921.61499,0,75,65,154.777,1000,1000,2.258
1,-43.5638,172.7431,1189.93311,-2907.03296,1921.61499,0,75,65,154.777,1000,1000,2.304
1,-43.5638,172.7431,1448.75208,-1941.10718,1921.61499,0,75,65,154.777,1000,1000,2.387
1,-43.5638,172.7431,1707.57092,-975.180908,1921.61499,0.09,75,65,154.777,1000,1000,2.908
1,-43.5638,172.7431,1966.39001,-9.255112,1921.61499,0.09,75,65,154.777,1000,1000,3.05
1,-43.5638,172.7431,2225.20898,956.670654,1921.61499,0,75,65,154.777,1000,1000,2.808
1,-43.5638,172.7431,2484.02783,1922.59644,1921.61499,0,75,65,154.777,1000,1000,2.99
1,-43.5638,172.7431,2742.84692,2888.52222,1921.61499,0,75,65,154.777,1000,1000,3.188
1,-43.5638,172.7431,3001.66577,3854.448,1921.61499,0,75,65,154.777,1000,1000,3.397
1,-43.5638,172.7431,3260.48486,4820.37402,1921.61499,0,75,65,154.777,1000,1000,3.615
1,-43.5638,172.7431,3519.30371,5786.2998,1921.61499,0,75,65,154.777,1000,1000,3.841
1,-43.5638,172.7431,3778.12256,6752.22656,1921.61499,0,75,65,154.777,1000,1000,4.073
1,-43.5638,172.7431,4036.94141,7718.15234,1921.61499,0,75,65,154.777,1000,1000,4.31
1,-43.5638,172.7431,4295.76074,8684.07812,1921.61499,0,75,65,154.777,1000,1000,4.552
1,-43.5638,172.7431,-1030.01733,-9559.13184,2827.92285,0,75,65,154.777,1000,1000,2.544
1,-43.5638,172.7431,-771.198364,-8593.20605,2827.92285,0,75,65,154.777,1000,1000,2.37
1,-43.5638,172.7431,-512.379395,-7627.28076,2827.92285,0,75,65,154.777,1000,1000,2.22
1,-43.5638,172.7431,-253.560486,-6661.35498,2827.92285,0,75,65,154.777,1000,1000,2.101
1,-43.5638,172.7431,5.258484,-5695.4292,2827.92285,0,75,65,154.777,1000,1000,2.019
1,-43.5638,172.7431,264.077454,-4729.50293,2827.92285,0,75,65,154.777,1000,1000,1.98
