segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1, , ,1978.2438,0.19933,69.0, ,-46.59, ,1000.0,1000.0
1, , ,2956.3938,0.1319,69.0, ,-46.92, ,1000.0,1000.0
1, , ,3934.5438,0.02173,69.0, ,72.08, ,1000.0,1000.0
1, , ,4912.6938,0.11968,69.0, ,112.1, ,1000.0,1000.0
1, , ,5890.8338,0.15196,69.0, ,111.03, ,1000.0,1000.0
1, , ,6868.983800000001,0.12258,69.0, ,105.52, ,1000.0,1000.0
1, , ,7847.1338,0.05891,69.0, ,83.34, ,1000.0,1000.0
1, , ,8825.2838,0.06282,69.0, ,-15.07, ,1000.0,1000.0
1, , ,1978.2438,0.16572,69.0, ,-32.92, ,1000.0,1000.0
1, , ,2956.3938,0.05433,69.0, ,9.05, ,1000.0,1000.0
1, , ,3934.5438,0.20497,69.0, ,111.66, ,1000.0,1000.0
1, , ,4912.6938,0.36562,69.0, ,115.18, ,1000.0,1000.0
1, , ,5890.8338,0.40114,69.0, ,113.78, ,1000.0,1000.0
1, , ,6868.983800000001,0.32103,69.0, ,110.81, ,1000.0,1000.0
1, , ,7847.1338,0.17818,69.0, ,107.12, ,1000.0,1000.0
1, , ,8825.2838,0.05027,69.0, ,117.33, ,1000.0,1000.0
1, , ,1978.2438,0.0762,69.0, ,162.19, ,1000.0,1000.0
1, , ,2956.3938,0.26208,69.0, ,137.15, ,1000.0,1000.0
1, , ,3934.5438,0.50689,69.0, ,127.83, ,1000.0,1000.0
1, , ,4912.6938,0.66431,69.0, ,123.08, ,1000.0,1000.0
1, , ,5890.8338,0.6639,69.0, ,119.67, ,1000.0,1000.0
1, , ,6868.983800000001,0.52096,69.0, ,117.27, ,1000.0,1000.0
1, , ,7847.1338,0.31103,69.0, ,120.02, ,1000.0,1000.0
1, , ,8825.2838,0.18505,69.0, ,151.19, ,1000.0,1000.0
1, , ,1978.2438,0.35676,69.0, ,169.88, ,1000.0,1000.0
1, , ,2956.3938,0.58134,69.0, ,153.85, ,1000.0,1000.0
1, , ,3934.5438,0.80577,69.0, ,140.46, ,1000.0,1000.0
1, , ,4912.6938,0.92188,69.0, ,132.33, ,1000.0,1000.0
1, , ,5890.8338,0.86829,69.0, ,127.12, ,1000.0,1000.0
1, , ,6868.983800000001,0.66794,69.0, ,124.24, ,1000.0,1000.0
1, , ,7847.1338,0.41061,69.0, ,128.32, ,1000.0,1000.0
1, , ,8825.2838,0.28431,69.0, ,158.32, ,1000.0,1000.0
1, , ,1978.2438,0.53216,69.0, ,174.26, ,1000.0,1000.0
