SEGMENT,lat,lon,NORTHING,EASTING,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,RUPTURE TIME
1,-41.6088,174.3267,3405.56494,8650.32324,3306.66699,0,234,75,164,2000,2000,8.46
1,-41.6088,174.3267,2229.99463,7032.28906,3306.66699,0,234,75,164,2000,2000,7.79
1,-41.6088,174.3267,1054.42456,5414.25488,3306.66699,0,234,75,164,2000,2000,7.18
1,-41.6088,174.3267,-121.145508,3796.22021,3306.66699,0,234,75,164,2000,2000,6.68
1,-41.6088,174.3267,-1296.71582,2178.18604,3306.66699,0,234,75,164,2000,2000,6.31
1,-41.6088,174.3267,-2472.28613,560.151855,3306.66699,0,234,75,164,2000,2000,6.12
1,-41.6088,174.3267,-3647.85596,-1057.88281,3306.66699,0,234,75,164,2000,2000,6.12
1,-41.6088,174.3267,-4823.42627,-2675.91699,3306.66699,0,234,75,164,2000,2000,6.31
1,-41.6088,174.3267,-5998.99658,-4293.95117,3306.66699,0,234,75,164,2000,2000,6.68
1,-41.6088,174.3267,-7174.56689,-5911.98535,3306.66699,0,234,75,164,2000,2000,7.18
1,-41.6088,174.3267,3824.34277,8346.06348,5238.51855,0,234,75,164,2000,2000,7.93
1,-41.6088,174.3267,2648.77246,6728.0293,5238.51855,0,234,75,164,2000,2000,7.18
1,-41.6088,174.3267,1473.20239,5109.99512,5238.51855,0,234,75,164,2000,2000,6.5
1,-41.6088,174.3267,297.632385,3491.96045,5238.51855,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,-877.937927,1873.92627,5238.51855,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,-2053.5083,255.892029,5238.51855,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,-3229.07812,-1362.14258,5238.51855,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,-4404.64844,-2980.17676,5238.51855,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,-5580.21875,-4598.21094,5238.51855,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,-6755.78906,-6216.24512,5238.51855,0,234,75,164,2000,2000,6.5
1,-41.6088,174.3267,4243.12061,8041.80371,7170.37012,0,234,75,164,2000,2000,7.49
1,-41.6088,174.3267,3067.55029,6423.76953,7170.37012,0,234,75,164,2000,2000,6.68
1,-41.6088,174.3267,1891.98035,4805.73535,7170.37012,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,716.410278,3187.70068,7170.37012,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,-459.160034,1569.66638,7170.37012,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,-1634.73035,-48.367798,7170.37012,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,-2810.30029,-1666.40247,7170.37012,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,-3985.87061,-3284.43652,7170.37012,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,-5161.44092,-4902.4707,7170.37012,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,-6337.01123,-6520.50488,7170.37012,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,4661.89844,7737.54395,9102.22266,0,234,75,164,2000,2000,7.18
1,-41.6088,174.3267,3486.32837,6119.50977,9102.22266,0,234,75,164,2000,2000,6.31
1,-41.6088,174.3267,2310.7583,4501.47559,9102.22266,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,1135.18823,2883.44067,9102.22266,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,-40.38208,1265.40649,9102.22266,1.06,234,75,164,2000,2000,3.93
1,-41.6088,174.3267,-1215.95239,-352.627625,9102.22266,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-2391.52222,-1970.66235,9102.22266,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-3567.09253,-3588.69653,9102.22266,1.09,234,75,164,2000,2000,3.93
1,-41.6088,174.3267,-4742.66309,-5206.73047,9102.22266,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,-5918.2334,-6824.76465,9102.22266,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,5080.67676,7433.28418,11034.0742,0,234,75,164,2000,2000,7.02
1,-41.6088,174.3267,3905.1062,5815.25,11034.0742,0,234,75,164,2000,2000,6.12
1,-41.6088,174.3267,2729.53613,4197.21582,11034.0742,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,1553.96606,2579.18091,11034.0742,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,378.395752,961.146729,11034.0742,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-797.174561,-656.887451,11034.0742,1.41,234,75,164,2000,2000,2.64
1,-41.6088,174.3267,-1972.74438,-2274.92212,11034.0742,1.41,234,75,164,2000,2000,2.64
1,-41.6088,174.3267,-3148.3147,-3892.9563,11034.0742,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-4323.88477,-5510.99023,11034.0742,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,-5499.45508,-7129.02441,11034.0742,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,5499.4541,7129.02441,12965.9258,0,234,75,164,2000,2000,7.02
1,-41.6088,174.3267,4323.88379,5510.99023,12965.9258,0,234,75,164,2000,2000,6.12
1,-41.6088,174.3267,3148.31396,3892.95581,12965.9258,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,1972.7439,2274.92114,12965.9258,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,797.173584,656.886963,12965.9258,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-378.396729,-961.147217,12965.9258,1.41,234,75,164,2000,2000,2.64
1,-41.6088,174.3267,-1553.96655,-2579.18188,12965.9258,1.41,234,75,164,2000,2000,2.64
1,-41.6088,174.3267,-2729.53687,-4197.21582,12965.9258,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-3905.10718,-5815.25,12965.9258,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,-5080.67773,-7433.28418,12965.9258,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,5918.23242,6824.76416,14897.7773,0,234,75,164,2000,2000,7.18
1,-41.6088,174.3267,4742.66211,5206.72998,14897.7773,0,234,75,164,2000,2000,6.31
1,-41.6088,174.3267,3567.09204,3588.6958,14897.7773,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,2391.52197,1970.66125,14897.7773,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,1215.95166,352.627075,14897.7773,1.06,234,75,164,2000,2000,3.93
1,-41.6088,174.3267,40.381348,-1265.4071,14897.7773,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-1135.18848,-2883.44189,14897.7773,1.27,234,75,164,2000,2000,3.44
1,-41.6088,174.3267,-2310.75879,-4501.47607,14897.7773,1.09,234,75,164,2000,2000,3.93
1,-41.6088,174.3267,-3486.3291,-6119.51025,14897.7773,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,-4661.89941,-7737.54443,14897.7773,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,6337.01025,6520.50439,16829.6289,0,234,75,164,2000,2000,7.49
1,-41.6088,174.3267,5161.43994,4902.47021,16829.6289,0,234,75,164,2000,2000,6.68
1,-41.6088,174.3267,3985.86987,3284.43604,16829.6289,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,2810.2998,1666.40137,16829.6289,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,1634.72949,48.367188,16829.6289,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,459.15918,-1569.66699,16829.6289,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,-716.410645,-3187.70166,16829.6289,0.96,234,75,164,2000,2000,4.32
1,-41.6088,174.3267,-1891.98096,-4805.73584,16829.6289,0.72,234,75,164,2000,2000,4.65
1,-41.6088,174.3267,-3067.55127,-6423.77002,16829.6289,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,-4243.12158,-8041.8042,16829.6289,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,6755.78809,6216.24463,18761.4805,0,234,75,164,2000,2000,7.93
1,-41.6088,174.3267,5580.21777,4598.21045,18761.4805,0,234,75,164,2000,2000,7.18
1,-41.6088,174.3267,4404.64746,2980.17627,18761.4805,0,234,75,164,2000,2000,6.5
1,-41.6088,174.3267,3229.07764,1362.1416,18761.4805,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,2053.50732,-255.892578,18761.4805,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,877.937012,-1873.92676,18761.4805,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,-297.632812,-3491.96143,18761.4805,0.05,234,75,164,2000,2000,5.21
1,-41.6088,174.3267,-1473.20312,-5109.99561,18761.4805,0.05,234,75,164,2000,2000,5.46
1,-41.6088,174.3267,-2648.77344,-6728.02979,18761.4805,0.05,234,75,164,2000,2000,5.91
1,-41.6088,174.3267,-3824.34375,-8346.06445,18761.4805,0,234,75,164,2000,2000,6.5
1,-41.6088,174.3267,7174.56592,5911.98486,20693.332,0,234,75,164,2000,2000,8.46
1,-41.6088,174.3267,5998.99561,4293.95068,20693.332,0,234,75,164,2000,2000,7.79
1,-41.6088,174.3267,4823.42578,2675.9165,20693.332,0,234,75,164,2000,2000,7.18
1,-41.6088,174.3267,3647.85547,1057.88184,20693.332,0,234,75,164,2000,2000,6.68
1,-41.6088,174.3267,2472.28516,-560.152344,20693.332,0,234,75,164,2000,2000,6.31
1,-41.6088,174.3267,1296.71484,-2178.18652,20693.332,0,234,75,164,2000,2000,6.12
1,-41.6088,174.3267,121.14502,-3796.22119,20693.332,0,234,75,164,2000,2000,6.12
1,-41.6088,174.3267,-1054.42529,-5414.25537,20693.332,0,234,75,164,2000,2000,6.31
1,-41.6088,174.3267,-2229.99561,-7032.28955,20693.332,0,234,75,164,2000,2000,6.68
1,-41.6088,174.3267,-3405.56592,-8650.32422,20693.332,0,234,75,164,2000,2000,7.18
