segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,174.672,-41.4605,0.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6702,-41.4585,1000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6684,-41.4565,2000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6665,-41.4545,3000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6647,-41.4525,4000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6629,-41.4505,5000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6611,-41.4484,6000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6593,-41.4464,7000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6574,-41.4444,8000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6556,-41.4424,9000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6538,-41.4404,10000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.652,-41.4384,11000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6501,-41.4364,12000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6483,-41.4344,13000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6465,-41.4324,14000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6447,-41.4304,15000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6429,-41.4284,16000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.641,-41.4264,17000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6392,-41.4244,18000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6374,-41.4224,19000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6356,-41.4204,20000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6338,-41.4184,21000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6319,-41.4164,22000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6301,-41.4143,23000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6283,-41.4123,24000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6621,-41.4656,0.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6603,-41.4636,1000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6585,-41.4615,2000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6567,-41.4595,3000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6548,-41.4575,4000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.653,-41.4555,5000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6512,-41.4535,6000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6494,-41.4515,7000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6476,-41.4495,8000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6457,-41.4475,9000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6439,-41.4455,10000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6421,-41.4435,11000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6403,-41.4415,12000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6384,-41.4395,13000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6366,-41.4375,14000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6348,-41.4355,15000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.633,-41.4335,16000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6312,-41.4315,17000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6293,-41.4295,18000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6275,-41.4274,19000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6257,-41.4254,20000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6239,-41.4234,21000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6221,-41.4214,22000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6202,-41.4194,23000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6184,-41.4174,24000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6522,-41.4706,0.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6504,-41.4686,1000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6486,-41.4666,2000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6468,-41.4646,3000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.645,-41.4626,4000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6431,-41.4606,5000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6413,-41.4586,6000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6395,-41.4566,7000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6377,-41.4546,8000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6359,-41.4526,9000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.634,-41.4506,10000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6322,-41.4486,11000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6304,-41.4466,12000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6286,-41.4446,13000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6267,-41.4426,14000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6249,-41.4406,15000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6231,-41.4385,16000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6213,-41.4365,17000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.6195,-41.4345,18000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
