SEGMENT,lat,lon,NORTHING,EASTING,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,RUPTURE TIME
1,-41.734,174.1522,11234.6533,15938.5156,1296.27307,0,235,83,178.417,1000,1000,10.471
1,-41.734,174.1522,10661.0771,15119.3633,1296.27307,0,235,83,178.417,1000,1000,10.006
1,-41.734,174.1522,10087.501,14300.2109,1296.27307,0,235,83,178.417,1000,1000,9.548
1,-41.734,174.1522,9513.92383,13481.0596,1296.27307,0,235,83,178.417,1000,1000,9.098
1,-41.734,174.1522,8940.34766,12661.9072,1296.27307,0,235,83,178.417,1000,1000,8.656
1,-41.734,174.1522,8366.77148,11842.7549,1296.27307,0,235,83,178.417,1000,1000,8.226
1,-41.734,174.1522,7793.19531,11023.6035,1296.27307,0,235,83,178.417,1000,1000,7.807
1,-41.734,174.1522,7219.61914,10204.4512,1296.27307,0,235,83,178.417,1000,1000,7.403
1,-41.734,174.1522,6646.04248,9385.29883,1296.27307,0,235,83,178.417,1000,1000,7.016
1,-41.734,174.1522,6072.46631,8566.14648,1296.27307,0,235,83,178.417,1000,1000,6.649
1,-41.734,174.1522,5498.88965,7746.99463,1296.27307,0,235,83,178.417,1000,1000,6.305
1,-41.734,174.1522,4925.31348,6927.84277,1296.27307,0.03,235,83,178.417,1000,1000,5.989
1,-41.734,174.1522,4351.7373,6108.69043,1296.27307,0.07,235,83,178.417,1000,1000,5.704
1,-41.734,174.1522,3778.16064,5289.53809,1296.27307,0.12,235,83,178.417,1000,1000,5.456
1,-41.734,174.1522,3204.58447,4470.38672,1296.27307,0.18,235,83,178.417,1000,1000,5.251
1,-41.734,174.1522,2631.00781,3651.23438,1296.27307,0.23,235,83,178.417,1000,1000,5.093
1,-41.734,174.1522,2057.43164,2832.08203,1296.27307,0.25,235,83,178.417,1000,1000,4.986
1,-41.734,174.1522,1483.85547,2012.92969,1296.27307,0.24,235,83,178.417,1000,1000,4.935
1,-41.734,174.1522,910.279297,1193.77734,1296.27307,0.2,235,83,178.417,1000,1000,4.94
1,-41.734,174.1522,336.702148,374.625977,1296.27307,0.14,235,83,178.417,1000,1000,5.002
