SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -41.6509, 174.3230, 0.0000, 0.04428, 234.00, 74.90, 90.00, 1035.762, 1000.000
1, -41.6489, 174.3212, 1000.0000, 0.04593, 234.00, 74.90, 110.92, 1035.762, 1000.000
1, -41.6468, 174.3194, 2000.0000, 0.05468, 234.00, 74.90, 126.60, 1035.762, 1000.000
1, -41.6448, 174.3176, 3000.0000, 0.06641, 234.00, 74.90, 136.24, 1035.762, 1000.000
1, -41.6428, 174.3157, 4000.0000, 0.07829, 234.00, 74.90, 142.11, 1035.762, 1000.000
1, -41.6408, 174.3139, 5000.0000, 0.08869, 234.00, 74.90, 145.94, 1035.762, 1000.000
1, -41.6388, 174.3121, 6000.0000, 0.09669, 234.00, 74.90, 148.69, 1035.762, 1000.000
1, -41.6368, 174.3103, 7000.0000, 0.10174, 234.00, 74.90, 150.87, 1035.762, 1000.000
1, -41.6348, 174.3085, 8000.0000, 0.10364, 234.00, 74.90, 152.75, 1035.762, 1000.000
1, -41.6328, 174.3067, 9000.0000, 0.10244, 234.00, 74.90, 154.48, 1035.762, 1000.000
1, -41.6308, 174.3049, 10000.0000, 0.09837, 234.00, 74.90, 156.14, 1035.762, 1000.000
1, -41.6287, 174.3030, 11000.0000, 0.09183, 234.00, 74.90, 157.78, 1035.762, 1000.000
1, -41.6267, 174.3012, 12000.0000, 0.08334, 234.00, 74.90, 159.41, 1035.762, 1000.000
1, -41.6247, 174.2994, 13000.0000, 0.07345, 234.00, 74.90, 161.04, 1035.762, 1000.000
1, -41.6227, 174.2976, 14000.0000, 0.06273, 234.00, 74.90, 162.67, 1035.762, 1000.000
1, -41.6207, 174.2958, 15000.0000, 0.05175, 234.00, 74.90, 164.30, 1035.762, 1000.000
1, -41.6187, 174.2940, 16000.0000, 0.04102, 234.00, 74.90, 165.91, 1035.762, 1000.000
1, -41.6167, 174.2922, 17000.0000, 0.03097, 234.00, 74.90, 167.51, 1035.762, 1000.000
1, -41.6147, 174.2903, 18000.0000, 0.02199, 234.00, 74.90, 169.11, 1035.762, 1000.000
1, -41.6127, 174.2885, 19000.0000, 0.01436, 234.00, 74.90, 170.71, 1035.762, 1000.000
1, -41.6106, 174.2867, 20000.0000, 0.00830, 234.00, 74.90, 172.35, 1035.762, 1000.000
1, -41.6086, 174.2849, 21000.0000, 0.00390, 234.00, 74.90, 174.09, 1035.762, 1000.000
1, -41.6066, 174.2831, 22000.0000, 0.00117, 234.00, 74.90, 176.09, 1035.762, 1000.000
1, -41.6046, 174.2813, 23000.0000, 0.00000, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6026, 174.2795, 24000.0000, 0.00000, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6559, 174.3131, 0.0000, 0.08446, 234.00, 74.90, 90.00, 1035.762, 1000.000
1, -41.6539, 174.3113, 1000.0000, 0.09119, 234.00, 74.90, 114.30, 1035.762, 1000.000
1, -41.6519, 174.3094, 2000.0000, 0.11359, 234.00, 74.90, 130.77, 1035.762, 1000.000
1, -41.6499, 174.3076, 3000.0000, 0.14151, 234.00, 74.90, 140.10, 1035.762, 1000.000
1, -41.6479, 174.3058, 4000.0000, 0.16894, 234.00, 74.90, 145.55, 1035.762, 1000.000
1, -41.6459, 174.3040, 5000.0000, 0.19266, 234.00, 74.90, 149.05, 1035.762, 1000.000
1, -41.6438, 174.3022, 6000.0000, 0.21085, 234.00, 74.90, 151.54, 1035.762, 1000.000
1, -41.6418, 174.3004, 7000.0000, 0.22246, 234.00, 74.90, 153.52, 1035.762, 1000.000
1, -41.6398, 174.2986, 8000.0000, 0.22711, 234.00, 74.90, 155.24, 1035.762, 1000.000
1, -41.6378, 174.2967, 9000.0000, 0.22492, 234.00, 74.90, 156.84, 1035.762, 1000.000
1, -41.6358, 174.2949, 10000.0000, 0.21643, 234.00, 74.90, 158.38, 1035.762, 1000.000
1, -41.6338, 174.2931, 11000.0000, 0.20251, 234.00, 74.90, 159.90, 1035.762, 1000.000
1, -41.6318, 174.2913, 12000.0000, 0.18426, 234.00, 74.90, 161.43, 1035.762, 1000.000
1, -41.6298, 174.2895, 13000.0000, 0.16290, 234.00, 74.90, 162.95, 1035.762, 1000.000
1, -41.6278, 174.2877, 14000.0000, 0.13966, 234.00, 74.90, 164.47, 1035.762, 1000.000
1, -41.6257, 174.2858, 15000.0000, 0.11578, 234.00, 74.90, 165.98, 1035.762, 1000.000
1, -41.6237, 174.2840, 16000.0000, 0.09235, 234.00, 74.90, 167.49, 1035.762, 1000.000
1, -41.6217, 174.2822, 17000.0000, 0.07037, 234.00, 74.90, 169.00, 1035.762, 1000.000
1, -41.6197, 174.2804, 18000.0000, 0.05065, 234.00, 74.90, 170.50, 1035.762, 1000.000
1, -41.6177, 174.2786, 19000.0000, 0.03383, 234.00, 74.90, 172.02, 1035.762, 1000.000
1, -41.6157, 174.2768, 20000.0000, 0.02034, 234.00, 74.90, 173.61, 1035.762, 1000.000
1, -41.6137, 174.2750, 21000.0000, 0.01040, 234.00, 74.90, 175.32, 1035.762, 1000.000
1, -41.6117, 174.2731, 22000.0000, 0.00400, 234.00, 74.90, 177.36, 1035.762, 1000.000
1, -41.6097, 174.2713, 23000.0000, 0.00079, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6076, 174.2695, 24000.0000, 0.00000, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6610, 174.3031, 0.0000, 0.11731, 234.00, 74.90, 90.00, 1035.762, 1000.000
1, -41.6590, 174.3013, 1000.0000, 0.13326, 234.00, 74.90, 117.25, 1035.762, 1000.000
1, -41.6569, 174.2995, 2000.0000, 0.17315, 234.00, 74.90, 133.79, 1035.762, 1000.000
1, -41.6549, 174.2977, 3000.0000, 0.21966, 234.00, 74.90, 142.52, 1035.762, 1000.000
1, -41.6529, 174.2959, 4000.0000, 0.26407, 234.00, 74.90, 147.48, 1035.762, 1000.000
1, -41.6509, 174.2941, 5000.0000, 0.30195, 234.00, 74.90, 150.63, 1035.762, 1000.000
1, -41.6489, 174.2922, 6000.0000, 0.33075, 234.00, 74.90, 152.89, 1035.762, 1000.000
1, -41.6469, 174.2904, 7000.0000, 0.34907, 234.00, 74.90, 154.72, 1035.762, 1000.000
1, -41.6449, 174.2886, 8000.0000, 0.35641, 234.00, 74.90, 156.33, 1035.762, 1000.000
1, -41.6429, 174.2868, 9000.0000, 0.35304, 234.00, 74.90, 157.86, 1035.762, 1000.000
1, -41.6408, 174.2850, 10000.0000, 0.33985, 234.00, 74.90, 159.35, 1035.762, 1000.000
1, -41.6388, 174.2832, 11000.0000, 0.31823, 234.00, 74.90, 160.84, 1035.762, 1000.000
1, -41.6368, 174.2814, 12000.0000, 0.28991, 234.00, 74.90, 162.33, 1035.762, 1000.000
1, -41.6348, 174.2795, 13000.0000, 0.25677, 234.00, 74.90, 163.82, 1035.762, 1000.000
1, -41.6328, 174.2777, 14000.0000, 0.22075, 234.00, 74.90, 165.31, 1035.762, 1000.000
1, -41.6308, 174.2759, 15000.0000, 0.18372, 234.00, 74.90, 166.81, 1035.762, 1000.000
1, -41.6288, 174.2741, 16000.0000, 0.14740, 234.00, 74.90, 168.30, 1035.762, 1000.000
1, -41.6268, 174.2723, 17000.0000, 0.11329, 234.00, 74.90, 169.78, 1035.762, 1000.000
1, -41.6248, 174.2705, 18000.0000, 0.08263, 234.00, 74.90, 171.27, 1035.762, 1000.000
1, -41.6227, 174.2687, 19000.0000, 0.05637, 234.00, 74.90, 172.78, 1035.762, 1000.000
1, -41.6207, 174.2668, 20000.0000, 0.03515, 234.00, 74.90, 174.35, 1035.762, 1000.000
1, -41.6187, 174.2650, 21000.0000, 0.01928, 234.00, 74.90, 176.04, 1035.762, 1000.000
1, -41.6167, 174.2632, 22000.0000, 0.00866, 234.00, 74.90, 177.93, 1035.762, 1000.000
1, -41.6147, 174.2614, 23000.0000, 0.00275, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6127, 174.2596, 24000.0000, 0.00044, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6660, 174.2932, 0.0000, 0.14082, 234.00, 74.90, 90.00, 1035.762, 1000.000
1, -41.6640, 174.2914, 1000.0000, 0.17204, 234.00, 74.90, 120.87, 1035.762, 1000.000
1, -41.6620, 174.2896, 2000.0000, 0.23444, 234.00, 74.90, 136.97, 1035.762, 1000.000
1, -41.6600, 174.2878, 3000.0000, 0.30246, 234.00, 74.90, 144.85, 1035.762, 1000.000
1, -41.6580, 174.2859, 4000.0000, 0.36554, 234.00, 74.90, 149.21, 1035.762, 1000.000
1, -41.6560, 174.2841, 5000.0000, 0.41853, 234.00, 74.90, 151.98, 1035.762, 1000.000
1, -41.6539, 174.2823, 6000.0000, 0.45843, 234.00, 74.90, 154.00, 1035.762, 1000.000
1, -41.6519, 174.2805, 7000.0000, 0.48358, 234.00, 74.90, 155.68, 1035.762, 1000.000
1, -41.6499, 174.2787, 8000.0000, 0.49345, 234.00, 74.90, 157.20, 1035.762, 1000.000
1, -41.6479, 174.2769, 9000.0000, 0.48854, 234.00, 74.90, 158.66, 1035.762, 1000.000
1, -41.6459, 174.2750, 10000.0000, 0.47019, 234.00, 74.90, 160.12, 1035.762, 1000.000
1, -41.6439, 174.2732, 11000.0000, 0.44038, 234.00, 74.90, 161.59, 1035.762, 1000.000
1, -41.6419, 174.2714, 12000.0000, 0.40149, 234.00, 74.90, 163.07, 1035.762, 1000.000
1, -41.6399, 174.2696, 13000.0000, 0.35613, 234.00, 74.90, 164.55, 1035.762, 1000.000
1, -41.6378, 174.2678, 14000.0000, 0.30695, 234.00, 74.90, 166.04, 1035.762, 1000.000
1, -41.6358, 174.2660, 15000.0000, 0.25645, 234.00, 74.90, 167.53, 1035.762, 1000.000
1, -41.6338, 174.2642, 16000.0000, 0.20694, 234.00, 74.90, 169.02, 1035.762, 1000.000
