segment,lon,lat,depth,slip,strike,dip,rake,rupturetime,length,width
1,174.323,-41.6509,0.0,0.04428,234.0,74.9,90.0, ,1000.0,1035.762
1,174.3212,-41.6489,1000000.0,0.04593,234.0,74.9,110.92, ,1000.0,1035.762
1,174.3194,-41.6468,2000000.0,0.05468,234.0,74.9,126.6, ,1000.0,1035.762
1,174.3176,-41.6448,3000000.0,0.06641,234.0,74.9,136.24, ,1000.0,1035.762
1,174.3157,-41.6428,4000000.0,0.07829,234.0,74.9,142.11, ,1000.0,1035.762
1,174.3139,-41.6408,5000000.0,0.08869,234.0,74.9,145.94, ,1000.0,1035.762
1,174.3121,-41.6388,6000000.0,0.09669,234.0,74.9,148.69, ,1000.0,1035.762
1,174.3103,-41.6368,7000000.0,0.10174,234.0,74.9,150.87, ,1000.0,1035.762
1,174.3085,-41.6348,8000000.0,0.10364,234.0,74.9,152.75, ,1000.0,1035.762
1,174.3067,-41.6328,9000000.0,0.10244,234.0,74.9,154.48, ,1000.0,1035.762
1,174.3049,-41.6308,10000000.0,0.09837,234.0,74.9,156.14, ,1000.0,1035.762
1,174.303,-41.6287,11000000.0,0.09183,234.0,74.9,157.78, ,1000.0,1035.762
1,174.3012,-41.6267,12000000.0,0.08334,234.0,74.9,159.41, ,1000.0,1035.762
1,174.2994,-41.6247,13000000.0,0.07345,234.0,74.9,161.04, ,1000.0,1035.762
1,174.2976,-41.6227,14000000.0,0.06273,234.0,74.9,162.67, ,1000.0,1035.762
1,174.2958,-41.6207,15000000.0,0.05175,234.0,74.9,164.3, ,1000.0,1035.762
1,174.294,-41.6187,16000000.0,0.04102,234.0,74.9,165.91, ,1000.0,1035.762
1,174.2922,-41.6167,17000000.0,0.03097,234.0,74.9,167.51, ,1000.0,1035.762
1,174.2903,-41.6147,18000000.0,0.02199,234.0,74.9,169.11, ,1000.0,1035.762
1,174.2885,-41.6127,19000000.0,0.01436,234.0,74.9,170.71, ,1000.0,1035.762
1,174.2867,-41.6106,20000000.0,0.0083,234.0,74.9,172.35, ,1000.0,1035.762
1,174.2849,-41.6086,21000000.0,0.0039,234.0,74.9,174.09, ,1000.0,1035.762
1,174.2831,-41.6066,22000000.0,0.00117,234.0,74.9,176.09, ,1000.0,1035.762
1,174.2813,-41.6046,23000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2795,-41.6026,24000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.3131,-41.6559,0.0,0.08446,234.0,74.9,90.0, ,1000.0,1035.762
1,174.3113,-41.6539,1000000.0,0.09119,234.0,74.9,114.3, ,1000.0,1035.762
1,174.3094,-41.6519,2000000.0,0.11359,234.0,74.9,130.77, ,1000.0,1035.762
1,174.3076,-41.6499,3000000.0,0.14151,234.0,74.9,140.1, ,1000.0,1035.762
1,174.3058,-41.6479,4000000.0,0.16894,234.0,74.9,145.55, ,1000.0,1035.762
1,174.304,-41.6459,5000000.0,0.19266,234.0,74.9,149.05, ,1000.0,1035.762
1,174.3022,-41.6438,6000000.0,0.21085,234.0,74.9,151.54, ,1000.0,1035.762
1,174.3004,-41.6418,7000000.0,0.22246,234.0,74.9,153.52, ,1000.0,1035.762
1,174.2986,-41.6398,8000000.0,0.22711,234.0,74.9,155.24, ,1000.0,1035.762
1,174.2967,-41.6378,9000000.0,0.22492,234.0,74.9,156.84, ,1000.0,1035.762
1,174.2949,-41.6358,10000000.0,0.21643,234.0,74.9,158.38, ,1000.0,1035.762
1,174.2931,-41.6338,11000000.0,0.20251,234.0,74.9,159.9, ,1000.0,1035.762
1,174.2913,-41.6318,12000000.0,0.18426,234.0,74.9,161.43, ,1000.0,1035.762
1,174.2895,-41.6298,13000000.0,0.1629,234.0,74.9,162.95, ,1000.0,1035.762
1,174.2877,-41.6278,14000000.0,0.13966,234.0,74.9,164.47, ,1000.0,1035.762
1,174.2858,-41.6257,15000000.0,0.11578,234.0,74.9,165.98, ,1000.0,1035.762
1,174.284,-41.6237,16000000.0,0.09235,234.0,74.9,167.49, ,1000.0,1035.762
1,174.2822,-41.6217,17000000.0,0.07037,234.0,74.9,169.0, ,1000.0,1035.762
1,174.2804,-41.6197,18000000.0,0.05065,234.0,74.9,170.5, ,1000.0,1035.762
1,174.2786,-41.6177,19000000.0,0.03383,234.0,74.9,172.02, ,1000.0,1035.762
1,174.2768,-41.6157,20000000.0,0.02034,234.0,74.9,173.61, ,1000.0,1035.762
1,174.275,-41.6137,21000000.0,0.0104,234.0,74.9,175.32, ,1000.0,1035.762
1,174.2731,-41.6117,22000000.0,0.004,234.0,74.9,177.36, ,1000.0,1035.762
1,174.2713,-41.6097,23000000.0,0.00079,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2695,-41.6076,24000000.0,0.0,234.0,74.9,180.0, ,1000.0,1035.762
1,174.3031,-41.661,0.0,0.11731,234.0,74.9,90.0, ,1000.0,1035.762
1,174.3013,-41.659,1000000.0,0.13326,234.0,74.9,117.25, ,1000.0,1035.762
1,174.2995,-41.6569,2000000.0,0.17315,234.0,74.9,133.79, ,1000.0,1035.762
1,174.2977,-41.6549,3000000.0,0.21966,234.0,74.9,142.52, ,1000.0,1035.762
1,174.2959,-41.6529,4000000.0,0.26407,234.0,74.9,147.48, ,1000.0,1035.762
1,174.2941,-41.6509,5000000.0,0.30195,234.0,74.9,150.63, ,1000.0,1035.762
1,174.2922,-41.6489,6000000.0,0.33075,234.0,74.9,152.89, ,1000.0,1035.762
1,174.2904,-41.6469,7000000.0,0.34907,234.0,74.9,154.72, ,1000.0,1035.762
1,174.2886,-41.6449,8000000.0,0.35641,234.0,74.9,156.33, ,1000.0,1035.762
1,174.2868,-41.6429,9000000.0,0.35304,234.0,74.9,157.86, ,1000.0,1035.762
1,174.285,-41.6408,10000000.0,0.33985,234.0,74.9,159.35, ,1000.0,1035.762
1,174.2832,-41.6388,11000000.0,0.31823,234.0,74.9,160.84, ,1000.0,1035.762
1,174.2814,-41.6368,12000000.0,0.28991,234.0,74.9,162.33, ,1000.0,1035.762
1,174.2795,-41.6348,13000000.0,0.25677,234.0,74.9,163.82, ,1000.0,1035.762
1,174.2777,-41.6328,14000000.0,0.22075,234.0,74.9,165.31, ,1000.0,1035.762
1,174.2759,-41.6308,15000000.0,0.18372,234.0,74.9,166.81, ,1000.0,1035.762
1,174.2741,-41.6288,16000000.0,0.1474,234.0,74.9,168.3, ,1000.0,1035.762
1,174.2723,-41.6268,17000000.0,0.11329,234.0,74.9,169.78, ,1000.0,1035.762
1,174.2705,-41.6248,18000000.0,0.08263,234.0,74.9,171.27, ,1000.0,1035.762
1,174.2687,-41.6227,19000000.0,0.05637,234.0,74.9,172.78, ,1000.0,1035.762
1,174.2668,-41.6207,20000000.0,0.03515,234.0,74.9,174.35, ,1000.0,1035.762
1,174.265,-41.6187,21000000.0,0.01928,234.0,74.9,176.04, ,1000.0,1035.762
1,174.2632,-41.6167,22000000.0,0.00866,234.0,74.9,177.93, ,1000.0,1035.762
1,174.2614,-41.6147,23000000.0,0.00275,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2596,-41.6127,24000000.0,0.00044,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2932,-41.666,0.0,0.14082,234.0,74.9,90.0, ,1000.0,1035.762
1,174.2914,-41.664,1000000.0,0.17204,234.0,74.9,120.87, ,1000.0,1035.762
1,174.2896,-41.662,2000000.0,0.23444,234.0,74.9,136.97, ,1000.0,1035.762
1,174.2878,-41.66,3000000.0,0.30246,234.0,74.9,144.85, ,1000.0,1035.762
1,174.2859,-41.658,4000000.0,0.36554,234.0,74.9,149.21, ,1000.0,1035.762
1,174.2841,-41.656,5000000.0,0.41853,234.0,74.9,151.98, ,1000.0,1035.762
1,174.2823,-41.6539,6000000.0,0.45843,234.0,74.9,154.0, ,1000.0,1035.762
1,174.2805,-41.6519,7000000.0,0.48358,234.0,74.9,155.68, ,1000.0,1035.762
1,174.2787,-41.6499,8000000.0,0.49345,234.0,74.9,157.2, ,1000.0,1035.762
1,174.2769,-41.6479,9000000.0,0.48854,234.0,74.9,158.66, ,1000.0,1035.762
1,174.275,-41.6459,10000000.0,0.47019,234.0,74.9,160.12, ,1000.0,1035.762
1,174.2732,-41.6439,11000000.0,0.44038,234.0,74.9,161.59, ,1000.0,1035.762
1,174.2714,-41.6419,12000000.0,0.40149,234.0,74.9,163.07, ,1000.0,1035.762
1,174.2696,-41.6399,13000000.0,0.35613,234.0,74.9,164.55, ,1000.0,1035.762
1,174.2678,-41.6378,14000000.0,0.30695,234.0,74.9,166.04, ,1000.0,1035.762
1,174.266,-41.6358,15000000.0,0.25645,234.0,74.9,167.53, ,1000.0,1035.762
1,174.2642,-41.6338,16000000.0,0.20694,234.0,74.9,169.02, ,1000.0,1035.762
1,174.2623,-41.6318,17000000.0,0.16043,234.0,74.9,170.5, ,1000.0,1035.762
1,174.2605,-41.6298,18000000.0,0.11855,234.0,74.9,171.99, ,1000.0,1035.762
1,174.2587,-41.6278,19000000.0,0.08256,234.0,74.9,173.49, ,1000.0,1035.762
1,174.2569,-41.6258,20000000.0,0.05325,234.0,74.9,175.04, ,1000.0,1035.762
1,174.2551,-41.6238,21000000.0,0.03098,234.0,74.9,176.65, ,1000.0,1035.762
1,174.2533,-41.6218,22000000.0,0.01558,234.0,74.9,178.34, ,1000.0,1035.762
1,174.2515,-41.6197,23000000.0,0.00631,234.0,74.9,179.9, ,1000.0,1035.762
1,174.2496,-41.6177,24000000.0,0.0018,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2833,-41.6711,0.0,0.15451,234.0,74.9,91.16, ,1000.0,1035.762
1,174.2814,-41.669,1000000.0,0.20947,234.0,74.9,125.56, ,1000.0,1035.762
1,174.2796,-41.667,2000000.0,0.29954,234.0,74.9,140.43, ,1000.0,1035.762
1,174.2778,-41.665,3000000.0,0.39173,234.0,74.9,147.22, ,1000.0,1035.762
1,174.276,-41.663,4000000.0,0.47503,234.0,74.9,150.91, ,1000.0,1035.762
1,174.2742,-41.661,5000000.0,0.54402,234.0,74.9,153.27, ,1000.0,1035.762
1,174.2724,-41.659,6000000.0,0.59537,234.0,74.9,155.05, ,1000.0,1035.762
1,174.2706,-41.657,7000000.0,0.62728,234.0,74.9,156.57, ,1000.0,1035.762
1,174.2687,-41.655,8000000.0,0.63932,234.0,74.9,158.01, ,1000.0,1035.762
1,174.2669,-41.653,9000000.0,0.63232,234.0,74.9,159.43, ,1000.0,1035.762
1,174.2651,-41.6509,10000000.0,0.60814,234.0,74.9,160.87, ,1000.0,1035.762
1,174.2633,-41.6489,11000000.0,0.56944,234.0,74.9,162.32, ,1000.0,1035.762
1,174.2615,-41.6469,12000000.0,0.51934,234.0,74.9,163.8, ,1000.0,1035.762
1,174.2597,-41.6449,13000000.0,0.4612,234.0,74.9,165.29, ,1000.0,1035.762
1,174.2578,-41.6429,14000000.0,0.39836,234.0,74.9,166.79, ,1000.0,1035.762
1,174.256,-41.6409,15000000.0,0.33399,234.0,74.9,168.28, ,1000.0,1035.762
1,174.2542,-41.6389,16000000.0,0.27098,234.0,74.9,169.77, ,1000.0,1035.762
1,174.2524,-41.6369,17000000.0,0.21178,234.0,74.9,171.25, ,1000.0,1035.762
1,174.2506,-41.6348,18000000.0,0.1584,234.0,74.9,172.72, ,1000.0,1035.762
1,174.2488,-41.6328,19000000.0,0.11236,234.0,74.9,174.2, ,1000.0,1035.762
1,174.247,-41.6308,20000000.0,0.0746,234.0,74.9,175.69, ,1000.0,1035.762
1,174.2452,-41.6288,21000000.0,0.04548,234.0,74.9,177.2, ,1000.0,1035.762
1,174.2433,-41.6268,22000000.0,0.02477,234.0,74.9,178.67, ,1000.0,1035.762
1,174.2415,-41.6248,23000000.0,0.01152,234.0,74.9,179.87, ,1000.0,1035.762
1,174.2397,-41.6228,24000000.0,0.00409,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2733,-41.6761,0.0,0.16037,234.0,74.9,96.09, ,1000.0,1035.762
1,174.2715,-41.6741,1000000.0,0.24991,234.0,74.9,131.38, ,1000.0,1035.762
1,174.2697,-41.6721,2000000.0,0.37124,234.0,74.9,144.02, ,1000.0,1035.762
1,174.2679,-41.6701,3000000.0,0.4893,234.0,74.9,149.55, ,1000.0,1035.762
1,174.2661,-41.6681,4000000.0,0.59387,234.0,74.9,152.54, ,1000.0,1035.762
1,174.2642,-41.666,5000000.0,0.67941,234.0,74.9,154.5, ,1000.0,1035.762
1,174.2624,-41.664,6000000.0,0.74232,234.0,74.9,156.05, ,1000.0,1035.762
1,174.2606,-41.662,7000000.0,0.78069,234.0,74.9,157.45, ,1000.0,1035.762
1,174.2588,-41.66,8000000.0,0.79427,234.0,74.9,158.81, ,1000.0,1035.762
1,174.257,-41.658,9000000.0,0.78436,234.0,74.9,160.2, ,1000.0,1035.762
1,174.2552,-41.656,10000000.0,0.75346,234.0,74.9,161.63, ,1000.0,1035.762
1,174.2534,-41.654,11000000.0,0.705,234.0,74.9,163.08, ,1000.0,1035.762
1,174.2515,-41.652,12000000.0,0.64291,234.0,74.9,164.57, ,1000.0,1035.762
1,174.2497,-41.6499,13000000.0,0.57131,234.0,74.9,166.07, ,1000.0,1035.762
1,174.2479,-41.6479,14000000.0,0.49429,234.0,74.9,167.57, ,1000.0,1035.762
1,174.2461,-41.6459,15000000.0,0.41565,234.0,74.9,169.07, ,1000.0,1035.762
1,174.2443,-41.6439,16000000.0,0.33881,234.0,74.9,170.55, ,1000.0,1035.762
1,174.2425,-41.6419,17000000.0,0.26668,234.0,74.9,172.02, ,1000.0,1035.762
1,174.2407,-41.6399,18000000.0,0.20158,234.0,74.9,173.48, ,1000.0,1035.762
1,174.2388,-41.6379,19000000.0,0.14525,234.0,74.9,174.91, ,1000.0,1035.762
1,174.237,-41.6359,20000000.0,0.09873,234.0,74.9,176.33, ,1000.0,1035.762
1,174.2352,-41.6339,21000000.0,0.06241,234.0,74.9,177.71, ,1000.0,1035.762
1,174.2334,-41.6318,22000000.0,0.03593,234.0,74.9,178.97, ,1000.0,1035.762
1,174.2316,-41.6298,23000000.0,0.01816,234.0,74.9,179.89, ,1000.0,1035.762
1,174.2298,-41.6278,24000000.0,0.00714,234.0,74.9,180.0, ,1000.0,1035.762
