SEGMENT,lat,lon,NORTHING,EASTING,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,RUPTURE TIME
1,-40.62,175.85,10148.1357,19258.7344,14248.2852,0,213,56,247.363,2000,2000,7.845
1,-40.62,175.85,8470.79492,18169.457,14248.2852,0,213,56,247.363,2000,2000,7.42
1,-40.62,175.85,6793.45312,17080.1777,14248.2852,0,213,56,247.363,2000,2000,7.021
1,-40.62,175.85,5116.1123,15990.9004,14248.2852,0,213,56,247.363,2000,2000,6.655
1,-40.62,175.85,3438.771,14901.623,14248.2852,0,213,56,247.363,2000,2000,6.328
1,-40.62,175.85,1761.42969,13812.3447,14248.2852,0,213,56,247.363,2000,2000,6.046
1,-40.62,175.85,84.088867,12723.0664,14248.2852,0,213,56,247.363,2000,2000,5.815
1,-40.62,175.85,-1593.25293,11633.7891,14248.2852,0,213,56,247.363,2000,2000,5.642
1,-40.62,175.85,-3270.59375,10544.5107,14248.2852,0,213,56,247.363,2000,2000,5.533
1,-40.62,175.85,-4947.93457,9455.23242,14248.2852,0,213,56,247.363,2000,2000,5.492
1,-40.62,175.85,-6625.27637,8365.95508,14248.2852,0,213,56,247.363,2000,2000,5.519
1,-40.62,175.85,-8302.61816,7276.67676,14248.2852,0,213,56,247.363,2000,2000,5.615
1,-40.62,175.85,-9979.95801,6187.39844,14248.2852,0,213,56,247.363,2000,2000,5.776
1,-40.62,175.85,-11657.2998,5098.12109,14248.2852,0,213,56,247.363,2000,2000,5.996
1,-40.62,175.85,-13334.6416,4008.84277,14248.2852,0,213,56,247.363,2000,2000,6.269
1,-40.62,175.85,-15011.9814,2919.56543,14248.2852,0,213,56,247.363,2000,2000,6.588
1,-40.62,175.85,-16689.3242,1830.28711,14248.2852,0,213,56,247.363,2000,2000,6.947
1,-40.62,175.85,-18366.6641,741.009766,14248.2852,0,213,56,247.363,2000,2000,7.339
1,-40.62,175.85,-20044.0039,-348.269531,14248.2852,0,213,56,247.363,2000,2000,7.76
1,-40.62,175.85,-21721.3477,-1437.54688,14248.2852,0,213,56,247.363,2000,2000,8.205
1,-40.62,175.85,10757.252,18320.7773,15906.3604,0,213,56,247.363,2000,2000,7.437
1,-40.62,175.85,9079.91113,17231.5,15906.3604,0,213,56,247.363,2000,2000,6.986
1,-40.62,175.85,7402.56934,16142.2207,15906.3604,0,213,56,247.363,2000,2000,6.561
1,-40.62,175.85,5725.22852,15052.9434,15906.3604,0,213,56,247.363,2000,2000,6.167
1,-40.62,175.85,4047.88745,13963.666,15906.3604,0,213,56,247.363,2000,2000,5.811
1,-40.62,175.85,2370.54614,12874.3877,15906.3604,0,213,56,247.363,2000,2000,5.501
1,-40.62,175.85,693.205261,11785.1094,15906.3604,0,213,56,247.363,2000,2000,5.246
1,-40.62,175.85,-984.136536,10695.832,15906.3604,0,213,56,247.363,2000,2000,5.053
1,-40.62,175.85,-2661.47729,9606.55371,15906.3604,0,213,56,247.363,2000,2000,4.93
1,-40.62,175.85,-4338.81836,8517.27539,15906.3604,0,213,56,247.363,2000,2000,4.884
1,-40.62,175.85,-6016.16016,7427.99805,15906.3604,0,213,56,247.363,2000,2000,4.915
1,-40.62,175.85,-7693.50195,6338.71973,15906.3604,0,213,56,247.363,2000,2000,5.023
1,-40.62,175.85,-9370.8418,5249.44141,15906.3604,0,213,56,247.363,2000,2000,5.203
1,-40.62,175.85,-11048.1836,4160.16406,15906.3604,0,213,56,247.363,2000,2000,5.447
1,-40.62,175.85,-12725.5254,3070.88574,15906.3604,0,213,56,247.363,2000,2000,5.747
1,-40.62,175.85,-14402.8652,1981.60828,15906.3604,0,213,56,247.363,2000,2000,6.094
1,-40.62,175.85,-16080.208,892.329956,15906.3604,0,213,56,247.363,2000,2000,6.481
1,-40.62,175.85,-17757.5469,-196.947388,15906.3604,0,213,56,247.363,2000,2000,6.9
1,-40.62,175.85,-19434.8867,-1286.22668,15906.3604,0,213,56,247.363,2000,2000,7.347
1,-40.62,175.85,-21112.2305,-2375.50391,15906.3604,0,213,56,247.363,2000,2000,7.816
1,-40.62,175.85,11366.3682,17382.8203,17564.4355,0,213,56,247.363,2000,2000,7.058
1,-40.62,175.85,9689.02734,16293.543,17564.4355,0,213,56,247.363,2000,2000,6.581
1,-40.62,175.85,8011.68604,15204.2637,17564.4355,0,213,56,247.363,2000,2000,6.126
1,-40.62,175.85,6334.34521,14114.9863,17564.4355,0,213,56,247.363,2000,2000,5.702
1,-40.62,175.85,4657.00391,13025.709,17564.4355,0,213,56,247.363,2000,2000,5.314
1,-40.62,175.85,2979.6626,11936.4307,17564.4355,0,213,56,247.363,2000,2000,4.972
1,-40.62,175.85,1302.32166,10847.1523,17564.4355,0,213,56,247.363,2000,2000,4.687
1,-40.62,175.85,-375.020142,9757.875,17564.4355,0,213,56,247.363,2000,2000,4.469
1,-40.62,175.85,-2052.36084,8668.59668,17564.4355,0,213,56,247.363,2000,2000,4.329
1,-40.62,175.85,-3729.70166,7579.31836,17564.4355,0,213,56,247.363,2000,2000,4.276
1,-40.62,175.85,-5407.04346,6490.04102,17564.4355,0,213,56,247.363,2000,2000,4.312
1,-40.62,175.85,-7084.38525,5400.7627,17564.4355,0,213,56,247.363,2000,2000,4.435
1,-40.62,175.85,-8761.72559,4311.48438,17564.4355,0,213,56,247.363,2000,2000,4.639
1,-40.62,175.85,-10439.0674,3222.20679,17564.4355,0,213,56,247.363,2000,2000,4.912
1,-40.62,175.85,-12116.4092,2132.92847,17564.4355,0,213,56,247.363,2000,2000,5.243
1,-40.62,175.85,-13793.749,1043.65112,17564.4355,0,213,56,247.363,2000,2000,5.623
1,-40.62,175.85,-15471.0918,-45.627197,17564.4355,0,213,56,247.363,2000,2000,6.041
1,-40.62,175.85,-17148.4316,-1134.90454,17564.4355,0,213,56,247.363,2000,2000,6.49
1,-40.62,175.85,-18825.7715,-2224.18384,17564.4355,0,213,56,247.363,2000,2000,6.963
1,-40.62,175.85,-20503.1152,-3313.46118,17564.4355,0,213,56,247.363,2000,2000,7.457
1,-40.62,175.85,11975.4844,16444.8633,19222.5117,0,213,56,247.363,2000,2000,6.714
1,-40.62,175.85,10298.1445,15355.5859,19222.5117,0,213,56,247.363,2000,2000,6.209
1,-40.62,175.85,8620.80273,14266.3066,19222.5117,0,213,56,247.363,2000,2000,5.725
