segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,7.845,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,7.42,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,7.021,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,6.655,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,6.328,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,6.046,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.815,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.642,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.533,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.492,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.519,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.615,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.776,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,5.996,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,6.269,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,6.588,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,6.947,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,7.339,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,7.76,2000,2000
1,175.85,-40.62,14248.2852,0.0,213,56,247.363,8.205,2000,2000
1,175.85,-40.62,15906.3604,0.0,213,56,247.363,7.437,2000,2000
1,175.85,-40.62,15906.3604,0.0,213,56,247.363,6.986,2000,2000
1,175.85,-40.62,15906.3604,0.0,213,56,247.363,6.561,2000,2000
1,175.85,-40.62,15906.3604,0.0,213,56,247.363,6.167,2000,2000
1,175.85,-40.62,15906.3604,0.0,213,56,247.363,5.811,2000,2000
