SEGMENT,lat,lon,NORTHING,EASTING,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,RUPTURE TIME
1,-43.51,172.74,603.067383,-6000.45996,1390.07617,0,54,65,118.459,1000,1000,4.61
1,-43.51,172.74,1190.85254,-5191.44287,1390.07617,0,54,65,118.459,1000,1000,4.509
1,-43.51,172.74,1778.63782,-4382.42578,1390.07617,0,54,65,118.459,1000,1000,4.418
1,-43.51,172.74,2366.4231,-3573.40894,1390.07617,0,54,65,118.459,1000,1000,4.336
1,-43.51,172.74,2954.20825,-2764.39185,1390.07617,0,54,65,118.459,1000,1000,4.265
1,-43.51,172.74,3541.99341,-1955.37476,1390.07617,0,54,65,118.459,1000,1000,4.206
1,-43.51,172.74,4129.77881,-1146.35791,1390.07617,0,54,65,118.459,1000,1000,4.158
1,-43.51,172.74,4717.56396,-337.34082,1390.07617,0.02,54,65,118.459,1000,1000,4.122
1,-43.51,172.74,5305.34912,471.67627,1390.07617,0.04,54,65,118.459,1000,1000,4.098
1,-43.51,172.74,5893.13428,1280.69336,1390.07617,0.05,54,65,118.459,1000,1000,4.087
1,-43.51,172.74,6480.91943,2089.71045,1390.07617,0.04,54,65,118.459,1000,1000,4.089
1,-43.51,172.74,7068.70459,2898.72754,1390.07617,0.02,54,65,118.459,1000,1000,4.103
1,-43.51,172.74,7656.49023,3707.74414,1390.07617,0,54,65,118.459,1000,1000,4.13
1,-43.51,172.74,8244.27539,4516.76172,1390.07617,0,54,65,118.459,1000,1000,4.169
1,-43.51,172.74,8832.06055,5325.77832,1390.07617,0,54,65,118.459,1000,1000,4.22
1,-43.51,172.74,9419.8457,6134.7959,1390.07617,0,54,65,118.459,1000,1000,4.282
1,-43.51,172.74,10007.6309,6943.8125,1390.07617,0,54,65,118.459,1000,1000,4.356
1,-43.51,172.74,10595.416,7752.8291,1390.07617,0,54,65,118.459,1000,1000,4.44
1,-43.51,172.74,11183.2012,8561.84668,1390.07617,0,54,65,118.459,1000,1000,4.533
1,-43.51,172.74,11770.9863,9370.86328,1390.07617,0,54,65,118.459,1000,1000,4.637
1,-43.51,172.74,261.162048,-5752.05127,2296.38403,0,54,65,118.459,1000,1000,4.409
1,-43.51,172.74,848.947205,-4943.03418,2296.38403,0,54,65,118.459,1000,1000,4.304
1,-43.51,172.74,1436.73242,-4134.01709,2296.38403,0,54,65,118.459,1000,1000,4.208
1,-43.51,172.74,2024.51782,-3325.00024,2296.38403,0,54,65,118.459,1000,1000,4.122
1,-43.51,172.74,2612.30298,-2515.98315,2296.38403,0,54,65,118.459,1000,1000,4.048
1,-43.51,172.74,3200.08813,-1706.96606,2296.38403,0,54,65,118.459,1000,1000,3.985
1,-43.51,172.74,3787.87354,-897.949158,2296.38403,0.02,54,65,118.459,1000,1000,3.934
1,-43.51,172.74,4375.65869,-88.9320679,2296.38403,0.04,54,65,118.459,1000,1000,3.896
1,-43.51,172.74,4963.44385,720.085022,2296.38403,0.08,54,65,118.459,1000,1000,3.871
1,-43.51,172.74,5551.229,1529.10205,2296.38403,0.09,54,65,118.459,1000,1000,3.859
1,-43.51,172.74,6139.01416,2338.11914,2296.38403,0.08,54,65,118.459,1000,1000,3.861
1,-43.51,172.74,6726.79932,3147.13623,2296.38403,0.05,54,65,118.459,1000,1000,3.876
1,-43.51,172.74,7314.58496,3956.15283,2296.38403,0.02,54,65,118.459,1000,1000,3.904
1,-43.51,172.74,7902.37012,4765.17041,2296.38403,0,54,65,118.459,1000,1000,3.946
1,-43.51,172.74,8490.15527,5574.18701,2296.38403,0,54,65,118.459,1000,1000,3.999
1,-43.51,172.74,9077.94043,6383.20459,2296.38403,0,54,65,118.459,1000,1000,4.065
1,-43.51,172.74,9665.72559,7192.22119,2296.38403,0,54,65,118.459,1000,1000,4.143
1,-43.51,172.74,10253.5107,8001.23779,2296.38403,0,54,65,118.459,1000,1000,4.231
1,-43.51,172.74,10841.2959,8810.25586,2296.38403,0,54,65,118.459,1000,1000,4.329
1,-43.51,172.74,11429.0811,9619.27246,2296.38403,0,54,65,118.459,1000,1000,4.437
1,-43.51,172.74,-80.7432861,-5503.64258,3202.69189,0,54,65,118.459,1000,1000,4.212
1,-43.51,172.74,507.04187,-4694.62549,3202.69189,0,54,65,118.459,1000,1000,4.101
1,-43.51,172.74,1094.82715,-3885.6084,3202.69189,0,54,65,118.459,1000,1000,4
1,-43.51,172.74,1682.61243,-3076.59131,3202.69189,0,54,65,118.459,1000,1000,3.91
1,-43.51,172.74,2270.39746,-2267.57422,3202.69189,0,54,65,118.459,1000,1000,3.831
1,-43.51,172.74,2858.18262,-1458.55725,3202.69189,0,54,65,118.459,1000,1000,3.765
1,-43.51,172.74,3445.96826,-649.540405,3202.69189,0.03,54,65,118.459,1000,1000,3.711
1,-43.51,172.74,4033.75342,159.476685,3202.69189,0.08,54,65,118.459,1000,1000,3.671
1,-43.51,172.74,4621.53857,968.493774,3202.69189,0.14,54,65,118.459,1000,1000,3.644
1,-43.51,172.74,5209.32373,1777.51086,3202.69189,0.18,54,65,118.459,1000,1000,3.632
1,-43.51,172.74,5797.10889,2586.52783,3202.69189,0.15,54,65,118.459,1000,1000,3.634
1,-43.51,172.74,6384.89404,3395.54492,3202.69189,0.09,54,65,118.459,1000,1000,3.65
1,-43.51,172.74,6972.67969,4204.56152,3202.69189,0.03,54,65,118.459,1000,1000,3.68
1,-43.51,172.74,7560.46484,5013.5791,3202.69189,0,54,65,118.459,1000,1000,3.723
1,-43.51,172.74,8148.25,5822.5957,3202.69189,0,54,65,118.459,1000,1000,3.78
1,-43.51,172.74,8736.03516,6631.61328,3202.69189,0,54,65,118.459,1000,1000,3.85
1,-43.51,172.74,9323.82031,7440.62988,3202.69189,0,54,65,118.459,1000,1000,3.932
1,-43.51,172.74,9911.60547,8249.64648,3202.69189,0,54,65,118.459,1000,1000,4.024
1,-43.51,172.74,10499.3906,9058.66406,3202.69189,0,54,65,118.459,1000,1000,4.128
1,-43.51,172.74,11087.1758,9867.68066,3202.69189,0,54,65,118.459,1000,1000,4.241
1,-43.51,172.74,-422.648682,-5255.23389,4108.99951,0,54,65,118.459,1000,1000,4.017
1,-43.51,172.74,165.136475,-4446.2168,4108.99951,0,54,65,118.459,1000,1000,3.901
1,-43.51,172.74,752.921753,-3637.19946,4108.99951,0,54,65,118.459,1000,1000,3.795
1,-43.51,172.74,1340.70703,-2828.18262,4108.99951,0,54,65,118.459,1000,1000,3.7
1,-43.51,172.74,1928.49219,-2019.16553,4108.99951,0,54,65,118.459,1000,1000,3.616
1,-43.51,172.74,2516.27734,-1210.14844,4108.99951,0.01,54,65,118.459,1000,1000,3.546
1,-43.51,172.74,3104.06274,-401.131653,4108.99951,0.05,54,65,118.459,1000,1000,3.489
1,-43.51,172.74,3691.8479,407.885437,4108.99951,0.14,54,65,118.459,1000,1000,3.446
1,-43.51,172.74,4279.63281,1216.90259,4108.99951,0.24,54,65,118.459,1000,1000,3.417
1,-43.51,172.74,4867.41797,2025.91968,4108.99951,0.3,54,65,118.459,1000,1000,3.404
1,-43.51,172.74,5455.20312,2834.93677,4108.99951,0.25,54,65,118.459,1000,1000,3.406
1,-43.51,172.74,6042.98828,3643.95386,4108.99951,0.14,54,65,118.459,1000,1000,3.423
1,-43.51,172.74,6630.77441,4452.97021,4108.99951,0.06,54,65,118.459,1000,1000,3.455
1,-43.51,172.74,7218.55957,5261.98779,4108.99951,0.02,54,65,118.459,1000,1000,3.502
1,-43.51,172.74,7806.34473,6071.00439,4108.99951,0,54,65,118.459,1000,1000,3.562
1,-43.51,172.74,8394.12988,6880.02197,4108.99951,0,54,65,118.459,1000,1000,3.636
1,-43.51,172.74,8981.91504,7689.03857,4108.99951,0,54,65,118.459,1000,1000,3.722
1,-43.51,172.74,9569.7002,8498.05566,4108.99951,0,54,65,118.459,1000,1000,3.82
1,-43.51,172.74,10157.4854,9307.07324,4108.99951,0,54,65,118.459,1000,1000,3.929
