segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1, , ,1390.0761700000005,0.0,54, ,118.459,4.61,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.509,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.418,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.336,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.265,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.206,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.158,1000,1000
1, , ,1390.0761700000005,0.02,54, ,118.459,4.122,1000,1000
1, , ,1390.0761700000005,0.04,54, ,118.459,4.098,1000,1000
1, , ,1390.0761700000005,0.05,54, ,118.459,4.087,1000,1000
1, , ,1390.0761700000005,0.04,54, ,118.459,4.089,1000,1000
1, , ,1390.0761700000005,0.02,54, ,118.459,4.103,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.13,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.169,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.22,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.282,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.356,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.44,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.533,1000,1000
1, , ,1390.0761700000005,0.0,54, ,118.459,4.637,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.409,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.304,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.208,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.122,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.048,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,3.985,1000,1000
1, , ,2296.38403,0.02,54, ,118.459,3.934,1000,1000
1, , ,2296.38403,0.04,54, ,118.459,3.896,1000,1000
1, , ,2296.38403,0.08,54, ,118.459,3.871,1000,1000
1, , ,2296.38403,0.09,54, ,118.459,3.859,1000,1000
1, , ,2296.38403,0.08,54, ,118.459,3.861,1000,1000
1, , ,2296.38403,0.05,54, ,118.459,3.876,1000,1000
1, , ,2296.38403,0.02,54, ,118.459,3.904,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,3.946,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,3.999,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.065,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.143,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.231,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.329,1000,1000
1, , ,2296.38403,0.0,54, ,118.459,4.437,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,4.212,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,4.101,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,4.0,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,3.91,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,3.831,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,3.765,1000,1000
1, , ,3202.69189,0.03,54, ,118.459,3.711,1000,1000
1, , ,3202.69189,0.08,54, ,118.459,3.671,1000,1000
1, , ,3202.69189,0.14,54, ,118.459,3.644,1000,1000
1, , ,3202.69189,0.18,54, ,118.459,3.632,1000,1000
1, , ,3202.69189,0.15,54, ,118.459,3.634,1000,1000
1, , ,3202.69189,0.09,54, ,118.459,3.65,1000,1000
1, , ,3202.69189,0.03,54, ,118.459,3.68,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,3.723,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,3.78,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,3.85,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,3.932,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,4.024,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,4.128,1000,1000
1, , ,3202.69189,0.0,54, ,118.459,4.241,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,4.017,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.901,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.795,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.7,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.616,1000,1000
1, , ,4108.99951,0.01,54, ,118.459,3.546,1000,1000
1, , ,4108.99951,0.05,54, ,118.459,3.489,1000,1000
1, , ,4108.99951,0.14,54, ,118.459,3.446,1000,1000
1, , ,4108.99951,0.24,54, ,118.459,3.417,1000,1000
1, , ,4108.99951,0.3,54, ,118.459,3.404,1000,1000
1, , ,4108.99951,0.25,54, ,118.459,3.406,1000,1000
1, , ,4108.99951,0.14,54, ,118.459,3.423,1000,1000
1, , ,4108.99951,0.06,54, ,118.459,3.455,1000,1000
1, , ,4108.99951,0.02,54, ,118.459,3.502,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.562,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.636,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.722,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.82,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,3.929,1000,1000
1, , ,4108.99951,0.0,54, ,118.459,4.048,1000,1000
1, , ,5015.30762,0.0,54, ,118.459,3.826,1000,1000
