This corresponds to Model A of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
     segment             lat                lon            depth (km)           slip (m)         rise_time (s)    rupture time (s)        strike              dip               rake         patch length (m)       patch width (m)    
                8          -42.59508          173.00800            6.25000              0.01541           3.00000            0.00000          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.59436          173.01310            6.25000              3.13161           3.00000            0.30385          247.32550          55.00000         128.92360           2076.67700             3051.93600
                8          -42.59486          172.98390            6.25000              0.32894           3.00000            1.40794          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.58797          173.03680            6.25000              3.50339           3.00000            1.78940          247.32550          55.00000         154.99740           2076.67700             3051.93600
                9          -42.57956          173.00580            8.75000              2.90349           3.00000            2.01271          247.32550          55.00000         114.38400           2076.67700             3051.93600
                8          -42.57933          173.00820            8.75000              0.00000           3.00000            2.01981          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.57912          172.98420            8.75000              0.19642           3.00000            2.39677          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.61082          173.00770            3.75000              0.02267           3.00000            2.43438          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.60915          173.02030            3.75000              3.45869           3.00000            2.49276          247.32550          55.00000         149.86140           2076.67700             3051.93600
                9          -42.57318          173.02950            8.75000              2.72376           3.00000            2.58552          247.32550          55.00000         143.07540           2076.67700             3051.93600
                8          -42.59464          172.95990            6.25000              0.89109           3.00000            2.80515          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.61060          172.98370            3.75000              0.31175           3.00000            2.88725          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.60277          173.04410            3.75000              4.34301           3.33438            3.18009          247.32550          55.00000         167.10930           2076.67700             3051.93600
                9          -42.58159          173.06060            6.25000              4.15855           3.26280            3.27659          247.32550          55.00000         169.41340           2076.67700             3051.93600
                8          -42.57890          172.96020            8.75000              0.60385           3.00000            3.28497          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.56679          173.05330            8.75000              3.11704           3.00000            3.61705          247.32550          55.00000         163.99550           2076.67700             3051.93600
                9          -42.56476          172.99850           11.25000              2.34321           3.00000            3.89723          247.32550          55.00000         105.13990           2076.67700             3051.93600
                8          -42.56359          173.00850           11.25000              0.00000           3.00000            3.91195          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.61038          172.95960            3.75000              0.82133           3.00000            3.94497          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.56337          172.98450           11.25000              0.05953           3.00000            4.10198          267.98540          55.00000         180.00000           1975.09600             3051.93600
