SEGMENT,lat,lon,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,rise_time,RUPTURE TIME
1,-42.414316,173.77523,1437.3098,0,248,61,120,3000,3000,2,39.55
1,-42.424618,173.74157,1437.3098,0,248,61,120,3000,3000,2,37.97
1,-42.435,173.70791,1437.3098,0.65,248,61,120,3000,3000,2,36.39
1,-42.445282,173.67411,1437.3098,1.1,248,61,120,3000,3000,2,34.82
1,-42.455644,173.64042,1437.3098,1.45,248,61,120,3000,3000,2,33.25
1,-42.465906,173.60672,1437.3098,1.61,248,61,120,3000,3000,2,31.68
1,-42.476159,173.573,1437.3098,1.76,248,61,120,3000,3000,2,30.13
1,-42.486491,173.53928,1437.3098,1.91,248,61,120,3000,3000,2,28.57
1,-42.496724,173.50555,1437.3098,2.05,248,61,120,3000,3000,2,27.03
1,-42.506948,173.47168,1437.3098,2.19,248,61,120,3000,3000,2,25.49
1,-42.517251,173.43792,1437.3098,2.25,248,61,120,3000,3000,2,23.97
1,-42.527454,173.40416,1437.3098,2.37,248,61,120,3000,3000,2,22.45
1,-42.537737,173.37038,1437.3098,2.43,248,61,120,3000,3000,2,22.89
1,-42.547921,173.33659,1437.3098,2.48,248,61,120,3000,3000,2,21.41
1,-42.558094,173.30279,1437.3098,2.53,248,61,120,3000,3000,2,19.96
1,-42.568348,173.26898,1437.3098,2.53,248,61,120,3000,3000,2,18.54
1,-42.578502,173.23504,1437.3098,2.58,248,61,120,3000,3000,2,17.15
1,-42.588736,173.2012,1437.3098,2.63,248,61,120,3000,3000,2,15.81
1,-42.59887,173.16736,1437.3098,2.63,248,61,120,3000,3000,2,14.54
1,-42.608994,173.1335,1437.3098,2.63,248,61,120,3000,3000,2,13.36
1,-42.619198,173.09964,1437.3098,2.63,248,61,120,3000,3000,2,12.3
1,-42.629302,173.06576,1437.3098,2.58,248,61,120,3000,3000,2,11.4
1,-42.639396,173.03175,1437.3098,2.53,248,61,120,3000,3000,2,10.7
1,-42.64957,172.99785,1437.3098,2.53,248,61,120,3000,3000,2,10.26
1,-42.659644,172.96394,1437.3098,2.48,248,61,120,3000,3000,2,10.12
1,-42.669798,172.93002,1437.3098,2.43,248,61,120,3000,3000,2,10.3
1,-42.679853,172.89609,1437.3098,2.37,248,61,120,3000,3000,2,10.78
1,-42.689897,172.86214,1437.3098,2.25,248,61,120,3000,3000,2,11.51
1,-42.700021,172.82819,1437.3098,2.19,248,61,120,3000,3000,2,12.43
1,-42.710044,172.7941,1437.3098,2.05,248,61,120,3000,3000,2,13.52
1,-42.720058,172.76013,1437.3098,1.91,248,61,120,3000,3000,2,14.71
1,-42.730152,172.72614,1437.3098,1.76,248,61,120,3000,3000,2,15.99
1,-42.740146,172.69214,1437.3098,1.61,248,61,120,3000,3000,2,17.33
1,-42.75022,172.65813,1437.3098,1.45,248,61,120,3000,3000,2,18.72
1,-42.760193,172.62411,1437.3098,1.1,248,61,120,3000,3000,2,20.15
