segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
8,173.008,-42.59508,6250.0,0.01541,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0131,-42.59436,6250.0,3.13161,247.3255,55.0,128.9236, ,2076.677,3051.936
8,172.9839,-42.59486,6250.0,0.32894,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0368,-42.58797,6250.0,3.50339,247.3255,55.0,154.9974, ,2076.677,3051.936
9,173.0058,-42.57956,8750.0,2.90349,247.3255,55.0,114.384, ,2076.677,3051.936
8,173.0082,-42.57933,8750.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9842,-42.57912,8750.0,0.19642,267.9854,55.0,180.0, ,1975.096,3051.936
8,173.0077,-42.61082,3750.0,0.02267,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0203,-42.60915,3750.0,3.45869,247.3255,55.0,149.8614, ,2076.677,3051.936
9,173.0295,-42.57318,8750.0,2.72376,247.3255,55.0,143.0754, ,2076.677,3051.936
8,172.9599,-42.59464,6250.0,0.89109,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9837,-42.6106,3750.0,0.31175,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0441,-42.60277,3750.0,4.34301,247.3255,55.0,167.1093, ,2076.677,3051.936
9,173.0606,-42.58159,6250.0,4.15855,247.3255,55.0,169.4134, ,2076.677,3051.936
8,172.9602,-42.5789,8750.0,0.60385,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0533,-42.56679,8750.0,3.11704,247.3255,55.0,163.9955, ,2076.677,3051.936
9,172.9985,-42.56476,11250.0,2.34321,247.3255,55.0,105.1399, ,2076.677,3051.936
8,173.0085,-42.56359,11250.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9596,-42.61038,3750.0,0.82133,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9845,-42.56337,11250.0,0.05953,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0222,-42.55838,11250.0,1.87003,247.3255,55.0,132.5718, ,2076.677,3051.936
8,172.9359,-42.59441,6250.0,1.68303,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9361,-42.57867,8750.0,1.22257,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0679,-42.59638,3750.0,4.96761,247.3255,55.0,174.7826, ,2076.677,3051.936
8,172.9604,-42.56315,11250.0,0.25737,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0843,-42.57519,6250.0,4.47442,247.3255,55.0,175.9804, ,2076.677,3051.936
9,173.077,-42.5604,8750.0,3.42615,247.3255,55.0,174.0336, ,2076.677,3051.936
9,173.046,-42.552,11250.0,1.97263,247.3255,55.0,159.2505, ,2076.677,3051.936
8,172.9356,-42.61015,3750.0,1.5838,267.9854,55.0,180.0, ,1975.096,3051.936
8,173.0075,-42.62656,1250.0,0.00376,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9364,-42.56293,11250.0,0.62262,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0276,-42.62395,1250.0,4.50905,247.3255,55.0,170.1059, ,2076.677,3051.936
8,172.9121,-42.57844,8750.0,1.97377,267.9854,55.0,180.0, ,1975.096,3051.936
