segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1.0,174.0,-42.4,1440.0,0.0,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,1440.0,0.0,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,1440.0,0.65,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,1440.0,1.1,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,1440.0,1.45,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,1440.0,1.61,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,1440.0,1.76,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,1440.0,1.91,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,1440.0,2.05,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.5,1440.0,2.19,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.5,1440.0,2.25,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.5,1440.0,2.37,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.5,1440.0,2.43,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.5,1440.0,2.48,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.53,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.53,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.58,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.63,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.63,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.63,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.63,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.58,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.53,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.6,1440.0,2.53,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,2.48,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,2.43,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,2.37,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,2.25,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,2.19,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,2.05,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,1.91,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,1.76,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.7,1440.0,1.61,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.8,1440.0,1.45,248.0,61.0,120.0, ,3000.0,3000.0
1.0,173.0,-42.8,1440.0,1.1,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,4059.9999999999995,0.0,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,4059.9999999999995,0.65,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,4059.9999999999995,1.1,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,4059.9999999999995,1.45,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.4,4059.9999999999995,1.69,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,4059.9999999999995,1.84,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,4059.9999999999995,1.98,248.0,61.0,120.0, ,3000.0,3000.0
1.0,174.0,-42.5,4059.9999999999995,2.12,248.0,61.0,120.0, ,3000.0,3000.0
