This corresponds to Model B of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
    segment           lat             lon          depth(km)       slip(m)     risetime(s)    rupturetime(s)       strike           dip             rake         patchlength(m)     patchwidth(m)   
               1      -42.414316       173.77523       1.4373098               0               2               39.55             248              61             120                  3000                3000
               1      -42.424618       173.74157       1.4373098               0               2               37.97             248              61             120                  3000                3000
               1         -42.435       173.70791       1.4373098            0.65               2               36.39             248              61             120                  3000                3000
               1      -42.445282       173.67411       1.4373098             1.1               2               34.82             248              61             120                  3000                3000
               1      -42.455644       173.64042       1.4373098            1.45               2               33.25             248              61             120                  3000                3000
               1      -42.465906       173.60672       1.4373098            1.61               2               31.68             248              61             120                  3000                3000
               1      -42.476159         173.573       1.4373098            1.76               2               30.13             248              61             120                  3000                3000
               1      -42.486491       173.53928       1.4373098            1.91               2               28.57             248              61             120                  3000                3000
               1      -42.496724       173.50555       1.4373098            2.05               2               27.03             248              61             120                  3000                3000
               1      -42.506948       173.47168       1.4373098            2.19               2               25.49             248              61             120                  3000                3000
               1      -42.517251       173.43792       1.4373098            2.25               2               23.97             248              61             120                  3000                3000
               1      -42.527454       173.40416       1.4373098            2.37               2               22.45             248              61             120                  3000                3000
               1      -42.537737       173.37038       1.4373098            2.43               2               22.89             248              61             120                  3000                3000
               1      -42.547921       173.33659       1.4373098            2.48               2               21.41             248              61             120                  3000                3000
               1      -42.558094       173.30279       1.4373098            2.53               2               19.96             248              61             120                  3000                3000
               1      -42.568348       173.26898       1.4373098            2.53               2               18.54             248              61             120                  3000                3000
               1      -42.578502       173.23504       1.4373098            2.58               2               17.15             248              61             120                  3000                3000
               1      -42.588736        173.2012       1.4373098            2.63               2               15.81             248              61             120                  3000                3000
               1       -42.59887       173.16736       1.4373098            2.63               2               14.54             248              61             120                  3000                3000
               1      -42.608994        173.1335       1.4373098            2.63               2               13.36             248              61             120                  3000                3000
               1      -42.619198       173.09964       1.4373098            2.63               2                12.3             248              61             120                  3000                3000
               1      -42.629302       173.06576       1.4373098            2.58               2                11.4             248              61             120                  3000                3000
