SEGMENT,lat,lon,DEPTH,STRIKE,DIP,RAKE,flag,SLIP,WIDTH,LENGTH
1,-37.254292,179.870377,102000,235.505,49.227,10.25,0,0.2,5000,10000
1,-37.296638,179.851135,102000,230.369,48.369,6.422,0,0.365,5000,10000
1,-37.338982,179.831894,102000,229.16,50.859,3.58,0,0.501,5000,10000
1,-37.381321,179.812607,102000,229.177,56.015,2.897,0,0.577,5000,10000
1,-37.42366,179.79332,102000,228.805,62.695,-0.696,0,0.621,5000,10000
1,-37.466,179.774002,102000,229.695,70.002,-2.953,0,0.636,5000,10000
1,-37.508331,179.754654,102000,231.281,74.505,-1.981,0,0.633,5000,10000
1,-37.550659,179.735306,102000,233.53,75.243,4.538,0,0.602,5000,10000
1,-37.592991,179.715912,102000,234.155,82.188,6.397,0,0.587,5000,10000
1,-37.635311,179.696503,102000,234.801,89.773,5.607,0,0.591,5000,10000
1,-37.677631,179.677078,102000,146.513,86.092,-179.753,1,0.518,5000,10000
1,-37.71994,179.657623,102000,145.339,83.546,-179.879,1,0.375,5000,10000
1,-37.762249,179.638153,102000,140.91,85.525,-176.874,1,0.235,5000,10000
1,-37.804562,179.618668,102000,316.803,85.3,170.551,1,0.126,5000,10000
1,-37.254292,179.870377,92000,226.82,47.797,10.654,0,0.317,5000,10000
1,-37.296638,179.851135,92000,223.155,48.213,3.607,0,0.59,5000,10000
1,-37.338982,179.831894,92000,223.142,51.212,-2.983,0,0.817,5000,10000
1,-37.381321,179.812607,92000,224.501,61.476,-7.597,0,1.053,5000,10000
1,-37.42366,179.79332,92000,226.312,71.111,-11.84,0,1.209,5000,10000
1,-37.466,179.774002,92000,228.353,80.294,-15.213,0,1.272,5000,10000
1,-37.508331,179.754654,92000,320.485,72.221,179.872,1,1.277,5000,10000
1,-37.550659,179.735306,92000,319.133,70.748,169.459,1,1.262,5000,10000
1,-37.592991,179.715912,92000,318.454,70.652,162.001,1,1.232,5000,10000
1,-37.635311,179.696503,92000,318.18,72.07,154.798,1,1.153,5000,10000
1,-37.677631,179.677078,92000,319.497,72.194,151.496,1,1.022,5000,10000
1,-37.71994,179.657623,92000,319.375,72.239,148.946,1,0.754,5000,10000
1,-37.762249,179.638153,92000,318.294,72.289,147.453,1,0.475,5000,10000
1,-37.804562,179.618668,92000,319.45,75.594,149.225,1,0.208,5000,10000
1,-37.254292,179.870377,82000,231.439,46.757,15.989,0,0.312,5000,10000
1,-37.296638,179.851135,82000,229.826,46.505,13.848,0,0.585,5000,10000
1,-37.338982,179.831894,82000,227.552,48.997,8.962,0,0.847,5000,10000
1,-37.381321,179.812607,82000,225.863,60.089,0.602,0,1.13,5000,10000
1,-37.42366,179.79332,82000,226.376,71.136,-8.711,0,1.337,5000,10000
1,-37.466,179.774002,82000,229.312,84.982,-18.223,0,1.433,5000,10000
1,-37.508331,179.754654,82000,319.72,65.18,173.077,1,1.46,5000,10000
1,-37.550659,179.735306,82000,317.896,62.164,164.542,1,1.45,5000,10000
1,-37.592991,179.715912,82000,316.471,61.778,158.265,1,1.395,5000,10000
1,-37.635311,179.696503,82000,315.71,65.335,151.906,1,1.285,5000,10000
1,-37.677631,179.677078,82000,315.389,66.999,147.306,1,1.1,5000,10000
1,-37.71994,179.657623,82000,315.126,70.015,143.445,1,0.783,5000,10000
1,-37.762249,179.638153,82000,316.31,76.344,138.062,1,0.453,5000,10000
1,-37.804562,179.618668,82000,162.254,85.022,-103.056,0,0.234,5000,10000
1,-37.254292,179.870377,72000,225.908,45.308,10.116,0,0.208,5000,10000
1,-37.296638,179.851135,72000,225.958,48.548,10.394,0,0.402,5000,10000
1,-37.338982,179.831894,72000,227.224,54.759,13.601,0,0.617,5000,10000
1,-37.381321,179.812607,72000,226.943,58.285,12.426,0,0.883,5000,10000
1,-37.42366,179.79332,72000,226.041,68.611,3.881,0,1.132,5000,10000
1,-37.466,179.774002,72000,227.334,82.782,-7.953,0,1.245,5000,10000
1,-37.508331,179.754654,72000,318.419,70.349,172.336,1,1.247,5000,10000
1,-37.550659,179.735306,72000,315.299,62.539,158.572,1,1.179,5000,10000
1,-37.592991,179.715912,72000,313.231,62.759,150.451,1,1.102,5000,10000
1,-37.635311,179.696503,72000,312.098,65.913,144.248,1,0.999,5000,10000
1,-37.677631,179.677078,72000,312.492,68.315,143.468,1,0.807,5000,10000
1,-37.71994,179.657623,72000,314.33,77.693,139.456,1,0.518,5000,10000
1,-37.762249,179.638153,72000,160.278,78.23,-105.395,0,0.284,5000,10000
1,-37.804562,179.618668,72000,359.996,20.907,-62.999,0,0.146,5000,10000
1,-37.254292,179.870377,62000,304.475,46.963,158.13,1,0.207,5000,10000
1,-37.296638,179.851135,62000,220.355,61.514,16.188,0,0.361,5000,10000
1,-37.338982,179.831894,62000,220.297,66.85,15.16,0,0.485,5000,10000
1,-37.381321,179.812607,62000,221.303,80.037,2.783,0,0.618,5000,10000
1,-37.42366,179.79332,62000,227.429,77.469,13.361,0,0.777,5000,10000
1,-37.466,179.774002,62000,230.415,75.849,16.667,0,0.874,5000,10000
1,-37.508331,179.754654,62000,230.945,77.937,15.104,0,0.872,5000,10000
1,-37.550659,179.735306,62000,229.729,88.426,9.091,0,0.782,5000,10000
1,-37.592991,179.715912,62000,318.411,88.37,162.148,1,0.715,5000,10000
1,-37.635311,179.696503,62000,313.818,82.086,147.622,1,0.599,5000,10000
1,-37.677631,179.677078,62000,310.322,84.887,137.253,1,0.488,5000,10000
1,-37.71994,179.657623,62000,137.584,83.319,-126.618,1,0.373,5000,10000
1,-37.762249,179.638153,62000,151.009,74.402,-109.877,1,0.28,5000,10000
