segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,179.870377,-37.254292,102000,0.2,235.505,49.227,10.25, ,10000,5000
1,179.851135,-37.296638,102000,0.365,230.369,48.369,6.422, ,10000,5000
1,179.831894,-37.338982,102000,0.501,229.16,50.859,3.58, ,10000,5000
1,179.812607,-37.381321,102000,0.577,229.177,56.015,2.897, ,10000,5000
1,179.79332,-37.42366,102000,0.621,228.805,62.695,-0.696, ,10000,5000
1,179.774002,-37.466,102000,0.636,229.695,70.002,-2.953, ,10000,5000
1,179.754654,-37.508331,102000,0.633,231.281,74.505,-1.981, ,10000,5000
1,179.735306,-37.550659,102000,0.602,233.53,75.243,4.538, ,10000,5000
1,179.715912,-37.592991,102000,0.587,234.155,82.188,6.397, ,10000,5000
1,179.696503,-37.635311,102000,0.591,234.801,89.773,5.607, ,10000,5000
1,179.677078,-37.677631,102000,0.518,146.513,86.092,-179.753, ,10000,5000
1,179.657623,-37.71994,102000,0.375,145.339,83.546,-179.879, ,10000,5000
1,179.638153,-37.762249,102000,0.235,140.91,85.525,-176.874, ,10000,5000
1,179.618668,-37.804562,102000,0.126,316.803,85.3,170.551, ,10000,5000
1,179.870377,-37.254292,92000,0.317,226.82,47.797,10.654, ,10000,5000
1,179.851135,-37.296638,92000,0.59,223.155,48.213,3.607, ,10000,5000
1,179.831894,-37.338982,92000,0.817,223.142,51.212,-2.983, ,10000,5000
1,179.812607,-37.381321,92000,1.053,224.501,61.476,-7.597, ,10000,5000
1,179.79332,-37.42366,92000,1.209,226.312,71.111,-11.84, ,10000,5000
1,179.774002,-37.466,92000,1.272,228.353,80.294,-15.213, ,10000,5000
1,179.754654,-37.508331,92000,1.277,320.485,72.221,179.872, ,10000,5000
1,179.735306,-37.550659,92000,1.262,319.133,70.748,169.459, ,10000,5000
1,179.715912,-37.592991,92000,1.232,318.454,70.652,162.001, ,10000,5000
1,179.696503,-37.635311,92000,1.153,318.18,72.07,154.798, ,10000,5000
1,179.677078,-37.677631,92000,1.022,319.497,72.194,151.496, ,10000,5000
1,179.657623,-37.71994,92000,0.754,319.375,72.239,148.946, ,10000,5000
1,179.638153,-37.762249,92000,0.475,318.294,72.289,147.453, ,10000,5000
1,179.618668,-37.804562,92000,0.208,319.45,75.594,149.225, ,10000,5000
1,179.870377,-37.254292,82000,0.312,231.439,46.757,15.989, ,10000,5000
1,179.851135,-37.296638,82000,0.585,229.826,46.505,13.848, ,10000,5000
1,179.831894,-37.338982,82000,0.847,227.552,48.997,8.962, ,10000,5000
1,179.812607,-37.381321,82000,1.13,225.863,60.089,0.602, ,10000,5000
1,179.79332,-37.42366,82000,1.337,226.376,71.136,-8.711, ,10000,5000
1,179.774002,-37.466,82000,1.433,229.312,84.982,-18.223, ,10000,5000
1,179.754654,-37.508331,82000,1.46,319.72,65.18,173.077, ,10000,5000
1,179.735306,-37.550659,82000,1.45,317.896,62.164,164.542, ,10000,5000
1,179.715912,-37.592991,82000,1.395,316.471,61.778,158.265, ,10000,5000
1,179.696503,-37.635311,82000,1.285,315.71,65.335,151.906, ,10000,5000
1,179.677078,-37.677631,82000,1.1,315.389,66.999,147.306, ,10000,5000
1,179.657623,-37.71994,82000,0.783,315.126,70.015,143.445, ,10000,5000
1,179.638153,-37.762249,82000,0.453,316.31,76.344,138.062, ,10000,5000
1,179.618668,-37.804562,82000,0.234,162.254,85.022,-103.056, ,10000,5000
1,179.870377,-37.254292,72000,0.208,225.908,45.308,10.116, ,10000,5000
1,179.851135,-37.296638,72000,0.402,225.958,48.548,10.394, ,10000,5000
1,179.831894,-37.338982,72000,0.617,227.224,54.759,13.601, ,10000,5000
1,179.812607,-37.381321,72000,0.883,226.943,58.285,12.426, ,10000,5000
1,179.79332,-37.42366,72000,1.132,226.041,68.611,3.881, ,10000,5000
1,179.774002,-37.466,72000,1.245,227.334,82.782,-7.953, ,10000,5000
1,179.754654,-37.508331,72000,1.247,318.419,70.349,172.336, ,10000,5000
1,179.735306,-37.550659,72000,1.179,315.299,62.539,158.572, ,10000,5000
1,179.715912,-37.592991,72000,1.102,313.231,62.759,150.451, ,10000,5000
1,179.696503,-37.635311,72000,0.999,312.098,65.913,144.248, ,10000,5000
1,179.677078,-37.677631,72000,0.807,312.492,68.315,143.468, ,10000,5000
1,179.657623,-37.71994,72000,0.518,314.33,77.693,139.456, ,10000,5000
1,179.638153,-37.762249,72000,0.284,160.278,78.23,-105.395, ,10000,5000
1,179.618668,-37.804562,72000,0.146,359.996,20.907,-62.999, ,10000,5000
1,179.870377,-37.254292,62000,0.207,304.475,46.963,158.13, ,10000,5000
1,179.851135,-37.296638,62000,0.361,220.355,61.514,16.188, ,10000,5000
1,179.831894,-37.338982,62000,0.485,220.297,66.85,15.16, ,10000,5000
1,179.812607,-37.381321,62000,0.618,221.303,80.037,2.783, ,10000,5000
1,179.79332,-37.42366,62000,0.777,227.429,77.469,13.361, ,10000,5000
1,179.774002,-37.466,62000,0.874,230.415,75.849,16.667, ,10000,5000
1,179.754654,-37.508331,62000,0.872,230.945,77.937,15.104, ,10000,5000
1,179.735306,-37.550659,62000,0.782,229.729,88.426,9.091, ,10000,5000
1,179.715912,-37.592991,62000,0.715,318.411,88.37,162.148, ,10000,5000
1,179.696503,-37.635311,62000,0.599,313.818,82.086,147.622, ,10000,5000
1,179.677078,-37.677631,62000,0.488,310.322,84.887,137.253, ,10000,5000
1,179.657623,-37.71994,62000,0.373,137.584,83.319,-126.618, ,10000,5000
1,179.638153,-37.762249,62000,0.28,151.009,74.402,-109.877, ,10000,5000
1,179.618668,-37.804562,62000,0.151,172.933,71.679,-89.34, ,10000,5000
1,179.870377,-37.254292,52000,0.16,67.727,29.043,65.238, ,10000,5000
1,179.851135,-37.296638,52000,0.246,124.808,89.258,-159.287, ,10000,5000
1,179.831894,-37.338982,52000,0.377,306.476,87.237,156.297, ,10000,5000
1,179.812607,-37.381321,52000,0.503,130.187,88.468,-156.883, ,10000,5000
1,179.79332,-37.42366,52000,0.608,131.713,89.683,-154.09, ,10000,5000
1,179.774002,-37.466,52000,0.665,133.93,88.969,-155.301, ,10000,5000
1,179.754654,-37.508331,52000,0.655,136.713,84.777,-159.575, ,10000,5000
1,179.735306,-37.550659,52000,0.593,136.669,83.225,-158.023, ,10000,5000
1,179.715912,-37.592991,52000,0.512,74.505,18.206,72.141, ,10000,5000
1,179.696503,-37.635311,52000,0.461,22.023,19.833,13.081, ,10000,5000
1,179.677078,-37.677631,52000,0.411,107.311,84.392,-116.432, ,10000,5000
1,179.657623,-37.71994,52000,0.368,356.689,25.465,-26.737, ,10000,5000
1,179.638153,-37.762249,52000,0.295,339.222,21.601,-43.537, ,10000,5000
1,179.618668,-37.804562,52000,0.195,107.963,73.945,-100.707, ,10000,5000
1,179.870377,-37.254292,42000,0.135,100.447,86.772,-120.153, ,10000,5000
1,179.851135,-37.296638,42000,0.277,20.212,26.763,11.379, ,10000,5000
1,179.831894,-37.338982,42000,0.375,0.479,25.439,-5.707, ,10000,5000
1,179.812607,-37.381321,42000,0.481,343.368,16.862,-11.36, ,10000,5000
1,179.79332,-37.42366,42000,0.606,244.045,89.371,89.303, ,10000,5000
1,179.774002,-37.466,42000,0.699,147.415,5.318,-179.895, ,10000,5000
1,179.754654,-37.508331,42000,0.708,146.665,6.255,-178.093, ,10000,5000
1,179.735306,-37.550659,42000,0.635,234.741,89.031,84.827, ,10000,5000
1,179.715912,-37.592991,42000,0.604,239.91,88.507,90.848, ,10000,5000
1,179.696503,-37.635311,42000,0.614,-23.098,12.644,-3.966, ,10000,5000
1,179.677078,-37.677631,42000,0.578,337.799,18.71,-11.594, ,10000,5000
1,179.657623,-37.71994,42000,0.475,85.548,81.356,-109.173, ,10000,5000
1,179.638153,-37.762249,42000,0.374,84.959,77.444,-109.767, ,10000,5000
1,179.618668,-37.804562,42000,0.213,81.0,75.169,-112.228, ,10000,5000
1,179.870377,-37.254292,32000,0.119,16.818,38.191,16.69, ,10000,5000
1,179.851135,-37.296638,32000,0.23,15.598,37.035,16.556, ,10000,5000
1,179.831894,-37.338982,32000,0.361,-1.414,27.447,7.786, ,10000,5000
