MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
283,1769241,5929220,12.50,12.9
284,1769205,5930350,3.17,15.6
285,1769200,5930336,11.54,13.7
286,1769213,5930348,22.10,14.0
287,1769218,5930332,17.61,13.4
288,1769230,5930346,20.17,12.9
289,1769230,5930325,11.84,15.0
290,1769247,5930333,8.00,13.6
291,1769252,5930308,14.40,14.3
292,1769284,5930325,20.15,13.3
293,1769303,5930315,16.63,13.5
294,1769221,5930301,14.71,15.9
295,1769238,5930302,13.11,14.0
296,1769254,5930296,14.38,15.0
297,1769278,5930301,11.18,13.6
298,1769289,5930280,8.94,13.4
299,1769311,5930266,16.92,13.9
300,1769318,5930244,26.50,13.7
301,1769314,5930206,28.72,13.5
302,1769311,5930196,19.15,15.0
303,1769318,5930151,24.25,14.0
304,1769341,5930125,23.61,14.4
305,1769360,5930104,46.59,14.5
306,1769375,5930074,19.78,13.9
307,1769378,5930028,21.38,13.7
308,1769380,5929986,12.44,13.6
309,1769393,5929935,19.46,14.5
310,1769456,5929865,11.49,15.2
311,1769487,5929837,10.53,13.6
312,1769513,5929808,10.21,13.3
314,1769431,5930126,11.69,13.9
315,1769427,5930111,9.09,12.6
316,1769425,5930094,13.31,12.5
317,1769424,5930075,3.57,13
318,1769421,5930056,16.24,13
319,1769418,5930038,5.85,12.7
320,1769419,5930023,10.40,13
321,1769422,5930009,13.00,12.9
322,1769424,5929992,18.85,13.2
323,1769426,5929974,2.99,12.7
324,1769431,5929961,2.63,12.8
325,1769438,5929942,12.99,12.9
326,1769447,5929929,10.07,12.9
327,1769457,5929913,7.47,12.3
328,1769467,5929903,15.25,12.4
329,1769479,5929885,6.16,12.2
330,1769495,5929874,11.68,12.5
331,1769508,5929863,7.46,12.4
332,1769519,5929852,10.70,12.6
333,1769525,5929835,1.00,12.2
334,1769542,5929824,5.18,12
335,1769558,5929818,12.63,12.6
336,1769576,5929800,16.19,12.5
337,1769597,5929792,18.77,12.5
338,1769616,5929787,21.03,12.4
339,1769633,5929779,15.20,12.5
340,1769652,5929760,20.70,12.8
341,1769698,5929689,18.11,12.8
342,1769714,5929656,13.58,13.1
343,1769727,5929627,3.56,12.5
344,1769730,5929599,25.20,13.1
345,1769741,5929564,19.71,13.2
346,1769758,5929538,4.20,12.4
347,1769774,5929509,5.81,13
348,1769789,5929464,12.27,12.8
349,1769807,5929428,18.40,12.8
350,1769832,5929394,22.27,12.6
351,1769862,5929361,21.94,14
352,1769898,5929335,34.10,12.7
