MeasurementNumber,NZTM-mE,NZTM-mN,CO2,H2S,GroundTemperature
5,1949139,5802899,373.42,0.00,33.7
6,1949150,5802909,275.68,,36.6
7,1949152,5802897,332.07,,61.6
8,1949156,5802889,307.01,,58.5
9,1949166,5802894,845.84,,91
10,1949172,5802888,175.43,,29
11,1949153,5802904,346.79,,22.1
12,1949129,5802891,491.84,,28.8
13,1949126,5802906,642.21,,28.5
14,1949115,5802913,341.47,,25.2
15,1949139,5802927,2443.54,,23.1
16,1949135,5802938,1271.89,,22.1
17,1949147,5802953,399.42,,21.7
18,1949155,5802960,297.61,,19.1
19,1949151,5802977,56.39,,19.2
20,1949157,5802987,30.70,,19
21,1949162,5802995,510.01,,20.1
22,1949164,5803012,374.36,,25
23,1949174,5803023,219.29,,32.5
24,1949187,5803032,187.96,,27.7
25,1949186,5803043,532.57,,49.1
26,1949185,5803056,413.52,,33.8
27,1949200,5803063,81.45,,31.8
28,1949205,5803072,119.04,,45.1
29,1949212,5803081,852.10,,52.3
30,1949223,5803083,253.75,,36.4
31,1949216,5803055,119.04,,33
32,1949221,5803055,3186.00,,36.8
33,1949133,5802880,1813.86,,46.6
99,1949089,5802695,13.77,0.02,23.7
100,1949089,5802690,21.46,0.02,76.1
101,1949083,5802706,16.65,0.00,17.4
103,1949067,5802717,12.17,0.03,17.3
104,1949054,5802725,17.61,0.05,17.3
105,1949027,5802743,9.29,0.03,17.8
106,1949006,5802757,7.69,0.00,16
107,1949052,5802746,11.21,0.01,20
108,1949082,5802758,3.52,0.00,21.1
109,1949091,5802772,12.49,0.00,15.3
110,1949086,5802795,24.02,0.01,15.6
111,1949091,5802803,56.69,0.01,33.8
112,1949105,5802800,150.52,0.00,28.8
113,1949111,5802805,14.73,0.00,26.2
114,1949112,5802812,80.07,0.02,23.8
115,1949108,5802822,1306.67,0.84,45.2
116,1949111,5802824,35.87,0.00,39.3
117,1949107,5802819,91.27,0.01,38.3
118,1949109,5802831,541.24,1.11,98.8
119,1949101,5802829,1101.70,,36.7
120,1949094,5802843,50.28,0.01,28.9
121,1949096,5802846,1101.70,0.01,37
122,1949103,5802847,514.34,0.03,35.7
123,1949116,5802849,212.65,0.03,34.6
124,1949122,5802847,480.71,0.01,28.8
125,1949133,5802838,1450.79,0.01,23.5
126,1949133,5802838,390.72,0.03,25.7
128,1949135,5802846,1626.93,0.03,23.6
129,1949142,5802845,714.18,0.01,21.4
130,1949148,5802849,65.97,0.01,18.8
131,1949142,5802860,121.70,0.06,20.1
132,1949136,5802865,97.68,0.02,21.8
133,1949145,5802858,2119.55,0.08,2.6
134,1949152,5802855,135.29,0.00,23.7
135,1949153,5802870,499.29,0.03,25.9
136,1949159,5802869,383.32,0.00,23.8
137,1949164,5802876,557.27,0.03,24
138,1949168,5802871,10.31,0.06,16.4
139,1949147,5802880,1265.93,0.04,20.4
140,1949141,5802871,62.81,0.00,37.6
141,1949135,5802868,769.87,0.00,22.7
142,1949124,5802872,18.36,0.01,18.1
143,1949118,5802877,4922.00,13.69,64.7
144,1949128,5802879,63.14,,26.4
145,1949139,5802879,222.26,,27
146,1949138,5802878,65744.84,99.06,50.5
147,1949143,5802884,924.49,,29.1
148,1949150,5802881,190.05,,26.3
149,1949148,5802884,425.20,,29.4
150,1949140,5802887,4799.60,,33.4
151,1949134,5802907,1398.00,,22.9
152,1949137,5802909,2667.16,,40.5
153,1949141,5802916,131.10,,31.2
154,1949149,5802914,704.16,,23.5
155,1949144,5802919,943.81,,16.8
156,1949149,5802932,663.57,,16.8
157,1949148,5802943,74.09,,15.2
158,1949148,5802946,3018.27,,18.4
159,1949160,5802946,186.83,,16.1
160,1949168,5802958,1513.97,,14.1
161,1949170,5802964,618.47,,14.9
162,1949178,5802974,811.74,,14.1
163,1949177,5802990,18.68,,13.9
164,1949170,5802996,77.31,,14.2
165,1949167,5802997,244.81,,16.8
166,1949163,5802998,943.81,,18.6
167,1949143,5802999,215.82,,20.1
168,1949147,5803014,2470.67,,31.1
169,1949148,5803025,1868.30,,24.5
170,1949155,5803028,644.24,,20.6
171,1949160,5803027,1623.49,,28.1
172,1949178,5803025,4825.37,,20.5
173,1949195,5803029,1678.25,0.04,21.3
174,1949210,5803024,901.94,0.04,21.4
175,1949225,5803028,364.00,0.04,22.1
176,1949223,5803040,6345.78,0.04,32.1
177,1949232,5803040,103.08,0.04,17.2
178,1949234,5803050,251.25,0.04,16.3
179,1949222,5803050,2287.06,0.04,27.9
180,1949213,5803034,3801.02,0.19,36.1
181,1949222,5803029,1143.53,0.00,30.3
182,1949202,5803037,277.02,0.12,23.3
183,1949190,5803037,106.30,0.00,55.5
184,1949160,5803033,2512.54,0.03,26.8
185,1949165,5803042,164.28,0.02,18.2
186,1949171,5803050,2834.66,0.00,29.5
187,1949175,5803058,1214.40,0.05,28.6
188,1949179,5803069,1762.00,0.01,25
189,1949199,5803074,9821.46,64.72,34.1
190,1949197,5803080,148.18,,22.9
191,1949207,5803082,2512.54,,34.2
192,1949213,5803089,1462.43,,34.9
193,1949217,5803084,3382.27,,25.6
194,1949226,5803088,277.02,,23.6
195,1949227,5803083,1282.04,,31.6
196,1949229,5803076,322.12,,32.1
197,1949223,5803067,64.42,,40
198,1949218,5803059,283.47,,26.3
199,1949234,5803057,8590.96,1.79,34.5
200,1949208,5803043,109.52,,26.4
201,1949200,5803024,2931.30,,26.7
