MeasurementNumber,NZTM-mE,NZTM-mN,CO2,CH4,H2S,GroundTemperature
1,1949107,5802678,44.2,0.1,,21.2
2,1949112,5802691,66.1,,,33.2
3,1949083,5802705,6.0,,0.0341,21.4
4,1949090,5802718,11.7,,0.0387,35.2
5,1949072,5802715,13.6,,0.0244,21.5
6,1949071,5802734,4.9,,0.0325,21.5
7,1949052,5802735,11.2,,0.0307,22.3
8,1949042,5802758,9.4,,0.0304,32.5
9,1949024,5802752,5.7,,0.0246,22.1
10,1949078,5802760,19.7,,0.0420,34.2
11,1949090,5802786,20.5,,0.0356,33.3
12,1949096,5802802,83.1,,0.1581,39.4
13,1949096,5802803,160.4,,0.0296,47.7
14,1949110,5802816,176.3,,0.1752,34.9
15,1949108,5802830,191.5,,0.5949,50
16,1949111,5802831,137.5,0.3,1.3185,65.2
17,1949116,5802838,285.1,0.6,0.2484,41.3
18,1949104,5802845,819.8,7.4,5.0158,75.1
19,1949124,5802868,407.9,0.3,,33.2
20,1949138,5802857,747.2,0.1,0.1479,37.6
21,1949135,5802873,794.5,0.1,1.0358,40.5
22,1949152,5802868,1587.7,15.0,1.8637,45.2
23,1949145,5802891,3053.0,3.1,9.4407,41.9
23b,1949145,5802890,555.7,0.1,1.2831,57.4
24,1949161,5802882,508.5,,,38.3
25,1949168,5802896,570.8,,0.9663,58.7
26,1949164,5802894,29.8,,,34.5
27,1949151,5802896,569.6,,2.1123,61.6
28,1949148,5802907,240.7,,,58.6
29,1949148,5802917,128.6,,0.5325,38.2
30,1949149,5802921,765.0,,0.4247,36.9
31,1949111,5802884,1089.0,,0.8525,33.5
32,1949123,5802897,585.5,,2.0534,51.6
33,1949130,5802911,963.5,,,34.5
34,1949150,5802948,159.4,,0.0510,28.9
35,1949147,5802972,291.6,,0.9462,27.1
36,1949168,5802995,167.5,,,30.8
37,1949161,5803008,106.8,,0.2982,55.1
38,1949178,5803006,323.3,,0.1714,37.6
39,1949185,5803017,1257.0,,0.2471,51.1
40,1949179,5803026,747.8,,0.0463,55.1
41,1949187,5803045,1055.6,,2.2511,57.4
42,1949209,5803033,104.4,,,54.7
43,1949219,5803019,337.7,,0.2428,43.3
44,1949223,5803032,750.1,,0.2815,41.3
45,1949224,5803046,441.6,,0.6679,48.1
46,1949226,5803064,340.2,,0.1227,52.7
47,1949210,5803066,1823.6,,,42.2
48,1949218,5803078,510.3,,0.1677,49.8
49,1949196,5803063,753.1,,0.2163,56.5
50,1949196,5803048,141.9,,1.3534,68.7
51,1949189,5803028,466.3,,0.0825,39.3
52,1949175,5803019,835.7,,0.4737,64.9
53,1949164,5802996,328.1,,0.0923,37.5
54,1949154,5802981,256.4,,0.0779,32.7
55,1949134,5802908,207.8,,0.4891,39.1
56,1949128,5802884,316.6,,0.7229,43.2
