MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
21,1827625,5662555,0.8,7.4
22,1827641,5662569,26.2,10.3
23,1827646,5662586,79.4,22.2
24,1827639,5662599,1.0,17.2
25,1827656,5662591,3078.5,66.0
26,1827670,5662583,37.7,23.5
27,1827680,5662576,209.9,22.3
28,1827672,5662591,1454.1,34.6
29,1827683,5662587,121.5,19.2
30,1827687,5662576,142.9,22.3
31,1827689,5662574,155.4,35.3
32,1827678,5662573,7.0,26.7
33,1827664,5662578,52.5,35.0
34,1827658,5662569,345.0,34.2
35,1827657,5662561,166.4,22.2
36,1827650,5662553,37.4,21.4
37,1827635,5662541,0.0,10.8
38,1827646,5662541,10.5,13.0
39,1827654,5662540,52.3,21.3
40,1827666,5662547,567.5,23.3
41,1827669,5662544,100.2,31.4
42,1827669,5662549,2805.9,55.3
43,1827666,5662561,2029.0,68.4
44,1827672,5662563,171.2,36.3
45,1827684,5662557,39.7,41.4
46,1827693,5662552,109.0,39.3
47,1827704,5662541,42.1,26.9
48,1827711,5662535,99.0,24.0
49,1827718,5662543,0.0,18.7
50,1827695,5662532,884.5,39.3
51,1827683,5662530,1113.4,51.3
52,1827667,5662541,614.3,66.3
53,1827675,5662542,986.0,47.8
54,1827669,5662531,14.8,27.9
55,1827658,5662517,443.1,21.4
56,1827647,5662518,199.2,18.8
57,1827631,5662510,0.0,15.9
58,1827669,5662513,966.2,41.0
59,1827685,5662524,2483.8,89.2
60,1827687,5662522,420.7,65.0
61,1827700,5662522,526.6,37.5
62,1827701,5662516,268.3,30.5
63,1827706,5662515,23.6,25.3
64,1827713,5662503,0.0,27.2
65,1827712,5662499,0.0,28.8
66,1827707,5662500,59.1,33.2
67,1827701,5662508,1345.8,40.3
68,1827695,5662519,1267.3,72.6
69,1827689,5662513,463.7,44.0
70,1827687,5662503,643.1,63.8
71,1827697,5662499,322.5,42.3
72,1827698,5662492,533.2,48.4
73,1827706,5662469,2182.7,64.9
74,1827699,5662456,382.8,43.9
75,1827700,5662432,0.0,26.7
76,1827688,5662418,556.0,43.2
77,1827687,5662404,3045.4,55.6
78,1827691,5662382,971.7,29.7
79,1827682,5662357,0.0,22.4
80,1827657,5662340,0.0,20.6
81,1827677,5662373,0.0,17.6
82,1827677,5662388,59.4,20.4
83,1827667,5662389,14.9,14.8
84,1827675,5662404,359.1,21.8
85,1827671,5662407,0.0,22.2
86,1827669,5662423,755.9,23.2
87,1827676,5662415,471.0,20.3
88,1827678,5662430,200.9,23.6
89,1827678,5662445,119.1,40.1
90,1827682,5662454,1578.0,66.9
91,1827678,5662470,0.0,23.8
92,1827687,5662481,275.5,33.7
93,1827686,5662491,126.1,46.4
94,1827673,5662501,675.1,41.5
