MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
79,1928584,5780186,16.46,14.0
80,1928567,5780207,9.36,16.3
81,1928551,5780226,12.91,15.2
82,1928534,5780247,20.33,15.4
83,1928510,5780273,11.94,15.4
84,1928500,5780289,2.58,16.2
87,1928473,5780311,3.23,16.0
86,1928466,5780328,18.40,15.7
88,1928444,5780346,24.85,15.3
90,1928429,5780365,18.72,16.5
91,1928435,5780359,31.31,15.6
92,1928422,5780372,9.36,15.9
93,1928414,5780378,8.71,15.2
94,1928411,5780383,23.88,15.2
95,1928396,5780403,20.33,15.4
96,1928387,5780408,12.91,16.0
97,1928384,5780408,15.49,16.1
98,1928381,5780413,30.02,15.5
99,1928378,5780418,17.43,14.6
100,1928371,5780430,10.33,15.2
101,1928365,5780441,21.30,15.4
102,1928358,5780447,14.52,15.3
103,1928352,5780456,26.14,15.6
104,1928347,5780460,14.52,15.7
105,1928341,5780469,18.08,16.5
106,1928335,5780476,18.72,16.9
107,1928325,5780484,11.62,16.2
108,1928322,5780492,8.71,16.6
109,1928314,5780498,31.26,15.5
110,1928305,5780505,9.60,16.4
111,1928300,5780511,16.96,15.3
112,1928294,5780519,9.60,16.0
113,1928287,5780525,8.00,14.7
114,1928282,5780534,14.72,16.3
115,1928276,5780539,22.08,16.3
116,1928266,5780542,17.60,16.2
117,1928259,5780557,21.12,16.7
118,1928256,5780565,16.32,16.5
119,1928254,5780571,11.52,16.4
120,1928249,5780573,36.91,16.5
121,1928245,5780576,16.64,16.0
122,1928242,5780579,17.60,15.9
123,1928238,5780584,15.68,15.8
124,1928236,5780588,28.81,17.3
125,1928233,5780594,16.32,16.8
126,1928227,5780598,5.76,16.8
127,1928224,5780602,31.58,17.5
129,1928221,5780602,27.21,16.5
130,1928218,5780608,26.24,17.1
132,1928216,5780612,24.32,17.8
133,1928215,5780613,30.41,17.3
134,1928213,5780616,25.92,17.1
135,1928210,5780618,25.60,17.0
137,1928204,5780624,24.96,17.8
138,1928201,5780627,8.00,16.7
150,1928197,5780634,15.36,16.1
151,1928192,5780639,31.21,19.5
