MeasurementNumber,NZTM-mE,NZTM-mN,CO2
7,1899204,5759330,116
7,1899204,5759330,258
8,1899204,5759306,140
9,1899200,5759316,140
10,1899198,5759310,130
11,1899227,5759132,169
11,1899227,5759132,263
12,1899229,5759129,1206
12,1899229,5759129,859
12,1899229,5759129,3329
13,1899235,5759135,555
13,1899235,5759135,989
14,1899233,5759129,410
14,1899233,5759129,941
14,1899233,5759129,724
15,1899147,5759134,4173
16,1899149,5759136,4897
16,1899149,5759136,7067
17,1899190,5758781,292
20,1899161,5758703,239
20,1899161,5758703,4101
20,1899161,5758703,6633
21,1899161,5758709,2340
22,1899162,5758708,350
22,1899162,5758708,2340
23,1900051,5758943,92
24,1901655,5759827,123693
24,1901655,5759827,55840
24,1901655,5759827,167762
26,1901644,5759839,5427
26,1901644,5759839,1206
27,1901646,5759834,11771
