MeasurementNumber,NZTM-mE,NZTM-mN,CO2
438,1900583,5760085,6.5
439,1900547,5759796,19.4
440,1900644,5759535,3.1
441,1900760,5759341,7.5
442,1900728,5759021,6.3
443,1900748,5758863,13.3
444,1900819,5758627,21.5
445,1900944,5758466,4.8
446,1901128,5758351,5.8
447,1901298,5758201,2.9
448,1901397,5758097,4.8
449,1901209,5757940,6.5
450,1901092,5758068,14.5
451,1900943,5758187,19.8
452,1900797,5758357,14.5
453,1900678,5758606,22.9
454/455,1900491,5758834,24.1
456,1900355,5759092,36.0
457,1900325,5759362,30.5
458,1900296,5759610,31.6
459,1900271,5759861,23.9
460,1900199,5760077,39.5
461,1899973,5760011,26.2
462,1899981,5759817,45.5
463,1900050,5759624,25.5
464,1900125,5759411,23.1
465,1900180,5759224,26.6
466,1900255,5759043,24.6
467,1900348,5758833,22.4
468,1900442,5758645,5.6
469,1900527,5758461,19.8
470,1900641,5758279,18.9
471,1900742,5758091,18.5
472,1900824,5757912,19.0
473,1900892,5757790,16.2
474,1900669,5757728,11.2
475,1900580,5757914,14.3
476,1900491,5758110,16.0
477,1900383,5758309,23.9
478,1900301,5758497,18.6
479,1900212,5758690,17.4
480,1900117,5758876,21.5
481,1900023,5759057,23.7
482,1899952,5759274,68.0
483,1899873,5759459,27.5
484,1899828,5759665,73.2
485,1899773,5759818,47.9
486,1899658,5759774,42.1
487,1899679,5759590,12.0
488,1899725,5759415,52.8
489,1899762,5759239,49.0
490,1899819,5759054,24.8
491,1899886,5758881,15.6
492,1899961,5758698,15.6
493,1900034,5758514,26.8
494,1900116,5758329,12.4
495,1900174,5758146,26.7
496,1900244,5757960,13.6
497,1900266,5757847,18.5
498,1900112,5757967,34.5
499,1899991,5758105,30.9
500,1899902,5758303,50.8
501,1899812,5758524,29.1
502,1899728,5758709,30.1
503,1899647,5758919,29.6
504,1899554,5759135,68.8
505,1899513,5759363,39.4
506,1899442,5759558,59.3
507,1899247,5759457,25.4
508,1899324,5759150,36.4
509,1899377,5758935,30.2
510/511,1899490,5758731,46.1
512,1899583,5758493,26.4
513,1899728,5758266,43.6
514,1899512,5758235,28.7
515,1899420,5758433,34.2
516,1899367,5758652,44.0
517,1899279,5758870,83.3
518,1899224,5759081,92.7
519,1899183,5759245,12.0
520,1899167,5759411,47.1
521,1899148,5759382,12.9
522,1899135,5759353,49.9
523,1899128,5759330,27.5
524,1899128,5759300,0.2
525,1899134,5759269,0.1
526,1899162,5759261,23.9
527,1899167,5759233,98.1
528,1899184,5759217,32.5
529,1899197,5759195,126.9
530,1899173,5759190,565.2
531,1899152,5759179,702.0
532,1899137,5759160,256.5
533,1899138,5759132,1568.5
534,1899134,5759099,184.3
535,1899136,5759073,89.1
536,1899152,5759050,125.3
537,1899160,5759027,206.2
538,1899168,5759006,62.1
539,1899175,5758986,87.4
540,1899176,5758961,532.0
541,1899176,5758938,65.6
542,1899158,5758925,64.6
543,1899146,5758897,58.6
544,1899151,5758871,7.1
545,1899165,5758848,3603.6
546,1899170,5758830,150.5
547,1899151,5758814,160.0
548,1899137,5758782,463.6
549,1899141,5758753,14.0
550,1899124,5758775,21.9
551,1899101,5758791,480.4
552,1899064,5758799,12.4
553,1899053,5758773,39.0
554,1899031,5758765,294.7
555,1899007,5758743,308.6
556,1898996,5758726,9.0
557,1898990,5758686,35.8
558,1898984,5758658,10.2
559,1898969,5758635,33.9
560,1898991,5758596,4.0
561,1899014,5758569,173.7
562,1899013,5758557,1561.8
563,1899257,5758680,27.2
564,1899580,5758887,17.9
565,1899746,5759048,21.9
566,1900052,5759371,28.5
567,1899966,5759549,24.2
568,1899352,5759387,5.2
569,1899246,5759363,16.7
570,1899279,5759274,11.5
571,1899190,5759316,23.0
572,1899270,5759246,25.4
573,1899247,5759120,87.3
574,1899330,5759021,52.7
575,1899269,5758990,64.4
576,1899295,5758807,36.7
577,1899215,5758775,16.9
578,1899176,5758685,10.3
579,1899096,5758726,48.3
580,1899074,5758642,22.7
581,1899114,5758547,30.0
582,1899247,5758594,38.2
583,1899291,5758475,36.3
584,1899357,5758336,17.1
585,1899373,5758216,16.1
586,1899390,5758140,5.8
587,1899287,5758097,7.5
588,1899226,5758096,35.6
589,1899265,5758262,7.0
590,1899240,5758371,57.6
591,1899183,5758469,54.0
592,1899041,5758487,40.3
593,1899122,5758382,29.4
594,1899183,5758271,24.9
595,1899130,5758096,39.9
596,1899092,5758204,27.7
597,1899045,5758309,25.6
598,1898998,5758405,43.5
599,1898975,5758495,8.4
600,1898882,5758452,5.8
601,1898902,5758347,29.7
602,1898957,5758242,84.7
603,1898999,5758147,46.1
604,1898898,5758178,40.4
605,1898802,5758239,35.0
606,1898882,5758096,42.2
607,1899576,5758212,107.5
608,1901133,5757707,85.5
609,1901208,5757634,42.4
610,1901163,5757528,17.4
611,1901283,5757567,54.1
612,1901403,5757580,10.8
613,1901493,5757657,0.2
614,1901592,5757684,0.0
615,1901763,5757788,0.0
616,1901941,5757914,0.0
617,1902151,5757911,0.0
618,1902106,5757705,0.0
619,1901901,5757611,0.0
620,1901700,5757539,0.0
621,1901531,5757419,0.1
622,1901315,5757347,0.1
623,1901249,5757581,58.9
624,1900748,5759843,13.4
625,1900862,5759616,21.9
626,1900929,5759455,20.9
627/628,1900956,5759308,24.3
629,1900980,5759156,28.8
630,1900989,5759011,17.5
631,1901038,5758870,21.6
632,1901062,5758731,27.2
633,1901133,5758605,9.4
634,1901250,5758504,13.7
635,1901328,5758391,25.3
636,1901439,5758295,23.9
637,1901289,5757940,30.0
638,1901322,5757794,4.8
639,1901628,5757649,-2.9
640,1901425,5758571,15.3
641,1901603,5758691,26.9
642,1901674,5758870,16.0
643,1901848,5758980,27.6
644,1902004,5758841,20.3
645,1901988,5758720,25.4
646,1901924,5758617,30.5
647,1901833,5758533,23.5
648,1901684,5758468,23.9
649,1901557,5758442,25.6
650,1901236,5758855,14.8
651,1901258,5759033,16.7
652,1901191,5759214,13.3
653,1901127,5759383,11.9
654,1901092,5759557,19.2
655,1901027,5759700,18.4
656,1900993,5759889,27.6
657,1901184,5760007,13.6
658,1901239,5759840,24.5
659,1901271,5759615,24.5
660,1901327,5759412,18.4
661,1901351,5759274,29.1
662,1901420,5759133,38.0
663,1901612,5759087,35.1
664,1901617,5759288,29.1
665,1901550,5759468,28.1
666,1901520,5759651,25.9
667,1901481,5759849,19.6
668,1901402,5760081,13.5
669/670,1901644,5759822,6.3
671,1901653,5759821,2857.8
672,1901653,5759822,10744.8
673,1901635,5759833,20.6
674,1901629,5759843,358.9
