MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
CO1,1907139,5763072,0.37,10.0
CO2,1907105,5763086,0.76,14.9
CO3,1907115,5763076,0.34,12.9
CO4,1907109,5763063,0.62,15.1
CO5,1907114,5763026,0.07,13.9
CO6,1907098,5763011,0,14.7
CO7,1907083,5763004,0,17.4
CO8,1907052,5762993,0.34,15.8
CO9,1907000,5762973,0,20.6
CO10,1906946,5762998,0,16.3
CO11,1906904,5763022,0.71,20.4
CO12,1906911,5763075,0,19.4
CO13,1906952,5763094,0.76,14.5
CO14,1906973,5763060,0.4,16.4
CO15,1906987,5763037,0,19.7
CO16,1907011,5763047,0,15.3
CO17,1907049,5763073,0,16.8
CO18,1907039,5763116,0,16.5
CO19,1907033,5763155,0.06,20.6
CO20,1907067,5763103,0,15.4
CO21,1907077,5763077,0.11,19.8
CO22,1907120,5763091,0.31,11.2
CO23,1907127,5763091,1.55,15.2
CO24,1907135,5763091,1.55,15.8
CO25,1907133,5763089,2.03,16.4
CO26,1907093,5763069,0.15,20.8
CO27,1907047,5763042,0,15.1
CO28,1907012,5763019,0,17.7
CO29,1906971,5762982,0,16.9
CO30,1906959,5762956,1.78,25.5
CO30,1906959,5762956,3.96,24.5
CO31,1907049,5762997,0.48,23.6
CO32,1906921,5762954,0,18.8
CO33,1906903,5762944,1.05,24.0
CO34,1906897,5762946,0,20.9
CO35,1906898,5762926,1.02,26.2
CO36,1906931,5762919,0.42,23.8
CO37,1906958,5762909,5.09,26.4
737,1906795,5762914,0.83,15.2
738,1906822,5762890,0,17.2
739,1906795,5762914,0,16.2
746,1906795,5762914,0.04,16.7
748,1906795,5762914,0,16.8
749,1906753,5762876,0,18.5
750,1906561,5762810,0.67,16.8
751,1906561,5762810,0,27.7
752,1906560,5762752,0.22,26.8
753,1906560,5762752,0,22.4
754,1906560,5762752,0,16.8
755,1906560,5762752,0,20.3
756,1906560,5762752,0,25.4
758,1906700,5762743,0,23.1
759,1906730,5762751,0,21.0
760,1906700,5762743,0,21.7
761,1906652,5762770,0.72,26.5
762,1906700,5762743,0,27.4
763,1906650,5762786,0.03,22.4
a,1906650,5762786,0,28.4
b,1906721,5762814,1,23.4
