MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
1,1898741,5758247,9.32,21.8
2,1898628,5758149,12.43,18.9
3,1898628,5758156,13.67,19.1
4,1898584,5758104,13.98,21.2
5,1898585,5758059,22.99,19.8
6,1898501,5758060,18.64,18.3
7,1898446,5758074,19.57,19.2
8,1898399,5758041,28.89,18.2
9,1898349,5757983,52.81,19.0
10,1898310,5757916,16.47,19.5
11,1898302,5757880,14.29,21.5
12,1898288,5757840,16.78,28.8
13,1898281,5757801,19.26,31.6
15,1898285,5757783,8.70,40.3
14,1898271,5757762,6.52,62.5
14,1898271,5757762,466.01,89.9
16,1898249,5757726,26.41,24.7
17,1898231,5757696,37.28,32.8
18,1898220,5757696,10.25,85.0
19,1898103,5757645,2764.97,98.2
20,1898061,5757615,124.27,31.3
21,1898017,5757590,434.94,50.0
22,1898004,5757562,23.30,23.2
23,1897969,5757474,40.39,25.1
25,1897906,5757446,15.53,29.3
24,1897937,5757477,139.80,34.6
26,1897859,5757374,49.71,23.9
27,1897829,5757342,31.07,23.7
28,1897787,5757338,40.39,28.6
29,1897747,5757343,74.56,28.7
30,1897737,5757322,23.30,24.8
31,1897721,5757315,10.56,26.8
32,1897687,5757312,26.41,24.4
33,1897668,5757273,46.60,22.3
34,1897640,5757245,7.46,20.4
35,1897604,5757227,23.61,19.3
36,1897568,5757234,13.05,19.6
37,1897534,5757255,13.98,18.3
38,1897495,5757251,9.32,19.0
39,1897459,5757229,43.49,21.3
40,1897416,5757224,24.23,21.1
41,1897350,5757194,52.81,18.4
42,1897317,5757182,34.17,21.3
43,1897253,5757152,17.71,22.5
