MeasurementNumber,NZTM-mE,NZTM-mN,CO2
70,1900543,5772236,1266.8
71,1900541,5772237,776.1
72,1900543,5772239,256.8
73,1900545,5772241,109.5
74,1900545,5772233,637.1
75,1900546,5772233,146.1
93,1900575,5772113,166.5
94,1900568,5772116,344.0
95,1900565,5772122,243.4
96,1900559,5772132,106.1
97,1900557,5772140,155.6
98,1900556,5772153,173.8
99,1900551,5772171,196.2
61,1900549,5772238,206.3
62,1900549,5772249,24.2
63,1900547,5772255,18.9
64,1900550,5772267,9.0
65,1900555,5772276,1.7
66,1900560,5772281,1.0
67,1900553,5772287,2.0
68,1900557,5772295,5.6
69,1900550,5772240,25.4
76,1900557,5772226,19.8
77,1900554,5772214,37.2
78,1900565,5772209,11.1
79,1900567,5772184,17.0
80,1900575,5772152,52.7
81,1900638,5772107,28.5
82,1900678,5772074,32.5
83,1900661,5772082,5.3
84,1900640,5772081,0.0
85,1900620,5772092,157.3
86,1900598,5772101,201.3
87,1900588,5772112,46.5
88,1900575,5772122,40.3
89,1900566,5772128,306.6
90,1900568,5772133,359.3
91,1900579,5772121,319.0
