MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
51,2483858,6728305,41.62,30.0
52,2483840,6728290,50.44,28.2
53,2483831,6728266,15.13,31.3
54,2483823,6728249,69.36,74.3
55,2483803,6728235,19.23,31.6
56,2483819,6728274,130.52,42.5
57,2483852,6728255,542.26,45.1
58,2483846,6728243,37.83,26.3
59,2483838,6728234,129.26,41.1
60,2483813,6728242,1194.87,50.3
60a,2483813,6728242,1153.89,98.4
61,2483825,6728230,0.29,27.7
62,2483820,6728222,5.99,27.9
63,2483816,6728225,1.26,42.6
64,2483859,6728276,353.10,34.4
64a,2483859,6728276,10246.27,100.0
65,2483877,6728308,885.91,52.3
66,2483869,6728288,198.62,49.1
67,2483872,6728280,1749.75,100.2
68,2483862,6728247,66.21,38.1
68a,2483862,6728247,18222.59,100.8
69,2483870,6728264,19.55,33.2
70,2483875,6728282,134.30,48.1
71,2483883,6728304,274.23,NA
72,2483889,6728328,417.28,32.2
73,2483898,6728344,683.11,52.8
74,2483908,6728363,500.74,51.7
75,2483921,6728361,633.65,71.5
76,2483927,6728372,2009.13,56.8
77,2483932,6728379,834.56,100.2
78,2483929,6728387,958.20,84.1
79,2483943,6728390,4.02,17.6
80,2483948,6728388,812.93,61.3
81,2483945,6728392,20.09,55.7
82,2483958,6728407,4080.08,101.1
83,2483962,6728408,2194.59,82.0
84,2483960,6728425,3245.52,58.3
85,2483958,6728433,4049.18,59.9
86,2483974,6728409,346.19,37.2
87,2483960,6728399,519.28,72.0
88,2483962,6728378,395.64,42.4
89,2483957,6728363,71.09,35.0
90,2483954,6728366,129.82,100.8
91,2483942,6728351,32.76,35.3
92,2483931,6728327,7.11,29.0
93,2483954,6728330,13.45,29.0
94,2483955,6728348,306.01,29.8
95,2483967,6728364,438.92,37.3
96,2483958,6728342,204.00,36.7
97,2483963,6728326,18.85,37.7
98,2483970,6728310,30.60,37.4
99,2483969,6728298,8.65,51.0
100,2483966,6728282,0.06,29.9
101,2483959,6728258,12.60,27.1
102,2483951,6728236,2.65,26.5
103,2483941,6728214,16.08,26.2
104,2483935,6728199,6.52,30.0
105,2483924,6728175,182.49,39.8
106,2483919,6728165,15.21,40.6
107,2483887,6728182,11.73,33.2
108,2483889,6728183,5.65,23.7
109,2483912,6728201,108.63,33.2
110,2483918,6728223,143.39,27.9
111,2483928,6728247,108.63,34.5
112,2483935,6728263,73.87,34.0
113,2483884,6728189,6.08,32.6
114,2483892,6728205,126.01,43.9
115,2483895,6728224,191.18,75.5
116,2483900,6728244,191.18,65.2
117,2483905,6728260,252.01,45.6
118,2483911,6728266,621.34,25.6
119,2483905,6728273,20.42,48.1
120,2483901,6728268,52.14,36.1
121,2483895,6728278,608.30,101.1
122,2483886,6728262,703.89,74.5
123,2483876,6728246,56.49,36.1
124,2483877,6728232,121.66,35.1
125,2483870,6728203,28.24,29.1
127,2483870,6728204,0.30,33.2
128,2483969,6728214,19.12,26.7
129,2483968,6728231,35.19,26.5
130,2483979,6728245,40.84,26.8
131,2483965,6728194,49.10,28.4
132,2483970,6728185,5.21,29.3
133,2483967,6728168,6.52,29.0
134,2483984,6728172,45.62,27.4
135,2484006,6728177,78.21,25.8
136,2484001,6728166,20.42,25.1
137,2484015,6728167,52.14,25.4
138,2484008,6728149,8.26,24.7
139,2484027,6728150,11.30,24.8
140,2483841,6728344,23.03,34.3
141,2483794,6728380,5.65,21.7
143,2484083,6728549,78.21,23.2
144,2484087,6728518,408.43,22.5
145,2484081,6728497,8559.69,37.0
146,2484085,6728490,369.33,34.5
147,2484080,6728491,2693.91,35.8
148,2484108,6728536,91.25,23.2
149,2484070,6728559,47.80,24.5
150,2484049,6728570,108.63,23.5
151,2484025,6728565,11.30,23.5
152,2484002,6728564,13.47,24.5
153,2483986,6728559,73.87,24.3
154,2483972,6728552,91.25,29.1
155,2483998,6728539,69.52,32.3
156,2484013,6728540,112.97,33.5
157,2484023,6728539,6.95,30.1
158,2484051,6728543,1351.30,25.2
159,2484095,6728577,28.24,23.9
160,2484113,6728567,52.14,23.8
161,2484069,6728586,34.33,21.0
162,2484043,6728590,19.99,24.6
163,2484023,6728586,9.12,23.7
164,2483994,6728581,15.64,26.3
165,2483969,6728576,551.82,27.6
166,2483943,6728578,247.67,50.7
167,2483943,6728607,0.25,24.1
168,2483933,6728615,52.14,28.8
169,2483908,6728609,12.17,37.0
170,2483898,6728636,11.73,26.9
171,2483912,6728624,1212.26,24.7
172,2483907,6728639,165.11,25.1
173,2483924,6728638,48.23,23.4
174,2483939,6728636,6.08,23.7
175,2483945,6728632,1711.94,23.8
176,2483963,6728610,14.34,25.9
177,2483990,6728607,0.43,25.1
178,2484014,6728606,42.58,25.5
179,2484034,6728607,0.14,24.1
180,2484061,6728602,4.35,24.8
181,2484077,6728597,2.61,25.5
182,2484102,6728595,11.30,24.5
183,2484119,6728598,13.90,23.8
184,2484103,6728621,34.33,23.9
185,2484079,6728624,32.15,24.1
187,2484030,6728625,11.28,25.3
188,2484053,6728626,5.02,22.9
189,2484001,6728625,10.66,24.2
190,2483980,6728627,34.48,25.7
191,2483956,6728633,3.76,23.9
192,2483954,6728654,0.24,25.5
193,2483979,6728648,11.28,24.8
194,2484000,6728641,7.84,25.0
195,2484027,6728637,4.70,24.2
196,2484050,6728637,0.06,23.9
197,2484076,6728638,3.76,23.5
198,2484104,6728636,14.73,23.9
199,2484127,6728629,11.60,24.4
200,2484153,6728621,42.32,23.6
201,2484133,6728596,18.81,23.9
203,2484218,6728603,3.13,24.3
204,2484180,6728612,4.39,21.8
205,2484188,6728608,16.93,24.3
206,2484304,6728574,9.72,24.2
207,2484312,6728522,8.15,23.9
208,2484311,6728470,1912.15,24.2
209,2484299,6728478,11.28,24.0
210,2484288,6728492,1260.14,30.3
211,2484284,6728503,332.28,24.0
212,2484278,6728513,4.39,22.8
213,2484299,6728506,7.21,23.9
214,2484281,6728530,5.33,24.9
215,2484259,6728537,0.22,24.1
216,2484224,6728539,34.48,24.8
217,2484223,6728565,6.27,23.1
218,2484197,6728560,9.09,24.1
220,2484178,6728513,4.08,22.7
221,2484176,6728512,5.64,22.9
222,2484198,6728477,3.13,23.1
223,2484182,6728540,137.93,22.6
224,2484302,6728616,8.78,23.7
225,2484255,6728635,16.93,23.7
226,2484209,6728657,4.08,23.5
227,2484162,6728671,96.23,23.7
228,2484131,6728700,177.11,24.0
229,2484122,6728689,16.61,23.7
230,2484141,6728681,61.75,23.8
231,2484095,6728699,20.38,23.8
233,2483945,6728670,3.13,24.4
234,2483942,6728667,4.48,20.1
235,2483990,6728665,92.90,19.4
236,2484011,6728662,3.52,20.2
237,2484048,6728727,3.20,23.7
238,2484064,6728745,10.57,20.5
239,2484084,6728737,15.38,19.4
240,2484108,6728722,21.46,19.7
241,2484138,6728711,928.95,20.5
242,2484121,6728718,44.85,19.3
243,2484152,6728706,272.28,19.1
244,2484167,6728700,240.25,19.5
245,2484182,6728696,259.47,20.1
246,2484194,6728693,22.10,19.4
247,2484209,6728688,16.02,19.8
248,2484223,6728680,147.35,19.7
249,2484244,6728673,60.86,19.4
250,2484266,6728668,35.24,19.3
251,2484288,6728664,25.63,19.2
252,2484293,6728674,51.25,20.6
253,2484269,6728682,99.30,21.2
254,2484257,6728685,23.70,21.3
254a,2484257,6728685,60.86,19.8
255,2484243,6728693,10.25,20.5
256,2484228,6728700,6.41,21.0
257,2484212,6728705,24.34,20.9
258,2484214,6728715,474.09,21.6
259,2484232,6728710,12.17,20.6
260,2484246,6728707,8.65,20.8
261,2484256,6728712,5.77,20.1
262,2484203,6728710,5.13,21.0
263,2484179,6728713,864.89,21.4
264,2484167,6728721,169.77,20.9
265,2484175,6728723,3.84,19.8
266,2484176,6728718,233.84,20.5
267,2484154,6728712,30.11,21.5
268,2484134,6728719,19.54,22.4
269,2484123,6728733,67.27,21.7
270,2484094,6728747,24.34,20.7
271,2484083,6728764,1.76,20.4
272,2484100,6728780,38.44,20.7
273,2484120,6728780,41.64,22.0
274,2484112,6728793,10.25,20.0
275,2484117,6728801,20.18,22.3
276,2484074,6728806,14.41,21.8
277,2484144,6728785,64.07,21.4
278,2484158,6728773,35.24,21.7
279,2484180,6728772,19.86,22.1
280,2484199,6728768,32.03,22.9
281,2484217,6728767,23.70,22.9
282,2484243,6728756,20.50,21.3
283,2484273,6728735,8.01,21.3
284,2484284,6728704,6.73,21.8
285,2484259,6728770,8.01,22.2
286,2484216,6728816,35.24,21.9
