MeasurementNumber,NZTM-mE,NZTM-mN,CO2,H2S,GroundTemperature
785,2483956,6728404,53.46,0.03,41.0
786,2483972,6728415,3.16,0.01,29.6
787,2483948,6728411,5.69,0.01,22.3
788,2483936,6728398,10.76,0.01,30.4
789,2483920,6728400,616.88,0.01,64.0
790,2483928,6728388,94.90,0.02,26.0
791,2483938,6728383,4080.89,0.07,99.0
792,2483924,6728377,182.85,0.01,32.2
793,2483917,6728384,357.16,0.01,26.0
794,2483907,6728387,234.10,0.02,60.1
795,2483901,6728378,111.99,0.05,51.1
796,2483909,6728373,759.24,0.04,31.7
797,2483916,6728370,287.88,0.01,65.8
798,2483906,6728367,209.42,0.03,31.5
799,2483927,6728355,3.80,0.02,24.8
800,2483941,6728350,44.29,0.01,30.1
801,2483944,6728364,319.51,0.06,99.3
802,2483951,6728376,31.00,0.06,95.0
803,2483955,6728379,136.98,0.07,79.1
804,2483952,6728378,1980.34,0.04,54.3
805,2483961,6728379,151.85,0.03,25.1
806,2483956,6728390,82.25,0.02,29.4
807,2483967,6728411,3.48,0.20,34.4
808,2483966,6728399,506.16,0.06,41.5
809,2483964,6728386,6.64,0.05,39.7
810,2483966,6728378,2.06,0.04,36.2
811,2483960,6728362,8.54,0.04,28.0
812,2483957,6728341,24.68,0.05,27.6
813,2483963,6728325,10.76,0.05,30.9
814,2483965,6728310,4.11,0.05,26.4
815,2483949,6728327,1.83,0.04,25.0
816,2483942,6728340,55.04,0.06,27.9
817,2483924,6728333,10.12,0.04,25.1
818,2483926,6728347,57.89,0.02,36.5
819,2483930,6728364,10.12,0.13,22.2
820,2483937,6728371,121.79,0.12,22.1
821,2483943,6728392,4.75,0.02,24.3
822,2483901,6728344,4681.95,0.05,71.8
823,2483903,6728362,107.24,0.01,33.7
824,2483912,6728342,71.81,0.01,25.3
825,2483912,6728332,551.39,0.00,55.6
826,2483908,6728319,21.51,0.02,95.0
827,2483899,6728325,77.51,0.01,28.4
828,2483895,6728322,672.87,0.03,43.6
829,2483886,6728321,3309.00,0.10,60.2
830,2483884,6728330,291.04,0.07,26.5
834,2483881,6728315,13713.70,0.13,98.6
835,2483874,6728317,54.73,0.01,32.5
836,2483861,6728324,365.07,0.01,37.8
837,2483860,6728324,446.05,0.76,99.5
838,2483850,6728324,127.17,0.03,99.6
839,2483851,6728317,642.19,0.02,33.5
840,2483843,6728302,87.63,0.03,25.8
841,2483836,6728296,47.14,0.05,27.5
842,2483848,6728285,54.10,0.07,29.1
843,2483859,6728274,143.62,0.00,39.6
845,2483858,6728271,18158.39,1.00,99.3
846,2483859,6728271,51.56,0.02,30.3
847,2483857,6728269,80.67,0.04,29.0
848,2483855,6728270,17199.85,1.00,96.3
849,2483853,6728269,50.93,0.00,31.9
850,2483853,6728263,2574.44,0.10,100.0
851,2483853,6728260,3995.48,0.27,100.0
852,2483854,6728251,9269.00,0.59,95.1
853,2483857,6728247,8402.21,0.49,100.6
854,2483858,6728245,13226.52,1.00,99.0
855,2483860,6728245,32.27,0.00,35.4
856,2483855,6728245,199.30,0.04,47.1
857,2483854,6728248,127.80,0.11,32.1
858,2483852,6728254,75.92,0.01,32.2
859,2483858,6728256,83.83,0.04,34.1
860,2483859,6728263,45.87,0.04,30.6
861,2483859,6728265,592.84,0.03,32.8
862,2483852,6728265,20.88,0.06,31.7
863,2483848,6728269,110.41,0.05,32.7
864,2483848,6728261,211.95,0.06,44.5
865,2483849,6728248,99.97,0.03,47.5
866,2483841,6728247,122.11,0.05,34.9
867,2483831,6728259,69.91,0.06,32.4
868,2483834,6728274,34.17,0.07,26.6
869,2483829,6728281,45.87,0.05,26.4
870,2483840,6728281,104.39,0.08,26.1
871,2483913,6728355,599.37,0.02,58.1
872,2483915,6728363,25.34,0.01,31.1
873,2483936,6728324,6.65,0.02,22.3
874,2483944,6728322,76.66,0.00,24.0
875,2483954,6728319,66.84,0.01,24.5
876,2483955,6728316,491.03,0.03,72.3
877,2483948,6728318,8509.07,0.21,100.1
878,2483914,6728319,934.54,0.02,87.6
879,2483904,6728314,54.49,0.01,46.6
880,2483907,6728313,639.92,0.01,67.9
881,2483908,6728310,101.37,0.02,60.1
882,2483909,6728308,931.37,0.04,90.7
883,2483905,6728306,76.98,0.03,63.5
884,2483896,6728317,58.61,0.03,47.1
885,2483898,6728308,14.89,0.07,27.4
886,2483886,6728312,74.13,0.08,25.1
887,2483886,6728317,8667.46,0.05,86.3
888,2483873,6728306,1789.88,0.11,99.1
889,2483882,6728301,8.24,0.04,26.3
890,2483890,6728299,32.95,0.06,29.1
891,2483900,6728297,9.50,0.00,40.2
892,2483905,6728293,969.39,0.01,72.5
893,2483912,6728285,9.50,0.07,52.9
894,2483895,6728287,34.85,0.08,40.0
895,2483882,6728293,50.69,0.04,42.5
896,2483869,6728295,136.85,0.05,37.2
897,2483871,6728303,1181.64,0.04,46.6
899,2483863,6728311,25.34,0.05,27.0
900,2483859,6728313,7387.62,0.10,94.0
901,2483854,6728300,43.72,0.05,26.0
902,2483845,6728294,363.68,0.05,26.6
903,2483828,6728305,934.54,0.08,71.7
904,2483817,6728315,13.62,0.08,29.5
905,2483804,6728329,29.78,0.03,19.2
906,2483871,6728256,27.88,0.06,31.1
907,2483878,6728266,3.80,0.05,31.4
908,2483885,6728277,12.35,0.06,39.8
909,2483873,6728288,247.10,0.09,60.3
910,2483863,6728282,22422.63,0.07,52.6
911,2483866,6728274,75.71,0.02,48.4
912,2483873,6728276,129.89,0.05,45.6
913,2483891,6728260,48.47,0.05,37.3
914,2483900,6728273,1551.65,0.05,83.9
915,2483869,6728251,4.75,0.07,32.8
916,2483970,6728283,68.43,0.04,67.9
918,2483972,6728284,12.00,0.05,37.3
919,2483962,6728280,0.98,0.00,25.7
920,2483950,6728272,15.47,0.00,25.0
921,2483929,6728265,53.36,0.01,27.4
922,2483919,6728247,10.42,0.07,25.3
923,2483903,6728232,25.89,0.04,27.8
924,2483898,6728221,196.71,0.06,28.1
925,2483837,6728238,15.79,0.04,30.2
926,2483850,6728220,12.00,0.04,28.5
927,2483866,6728217,506.46,0.02,25.9
928,2483882,6728217,113.04,0.09,39.9
929,2483880,6728201,42.63,0.10,53.6
931,2483884,6728196,164.19,0.07,100.2
932,2483887,6728223,26.21,0.01,43.0
933,2483891,6728249,4.42,0.02,3.1
934,2483907,6728253,191.66,0.03,74.4
935,2483919,6728270,4913.03,0.09,97.8
936,2483905,6728271,119.67,0.08,32.1
937,2483895,6728253,18.31,0.11,32.2
938,2483879,6728231,105.46,0.12,31.4
939,2483897,6728167,14.52,0.07,34.3
940,2483919,6728201,9.79,0.01,27.1
941,2483943,6728225,5.05,0.02,27.3
942,2483978,6728244,1.61,0.01,26.3
943,2484006,6728200,4.74,0.07,28.2
944,2483982,6728170,10.74,0.02,24.7
945,2483959,6728146,5.05,0.01,34.2
947,2483993,6728121,3.47,0.05,35.6
948,2483995,6728172,299.01,0.05,39.4
949,2483988,6728173,6.00,0.01,36.3
950,2483995,6728180,116.83,0.01,23.5
951,2483981,6728189,14.84,0.00,26.0
952,2483994,6728173,48931.36,0.05,62.0
953,2483999,6728174,5.05,0.00,24.1
954,2484007,6728162,9.16,0.02,23.3
955,2484008,6728151,19.89,0.07,20.7
956,2484025,6728147,5.05,0.04,24.8
377,2484081,6728499,7.49,0.04,27.4
378,2484064,6728504,7.18,0.02,26.3
379,2484062,6728504,95.79,0.00,24.2
380,2484072,6728510,7.80,0.00,26.9
381,2484086,6728502,2.78,0.01,26.0
382,2484104,6728500,2.75,0.03,21.5
383,2484108,6728514,2.34,0.02,21.5
384,2484087,6728525,6.86,0.04,21.4
385,2484068,6728534,3.43,0.00,22.3
386,2484060,6728541,7.49,0.02,21.1
387,2484041,6728542,0.84,0.03,21.5
388,2484026,6728545,0.94,0.00,35.2
389,2484019,6728538,2.87,0.00,24.4
390,2484010,6728521,14.67,0.01,41.7
391,2484002,6728503,830.91,0.00,41.6
392,2484005,6728494,201.88,0.00,66.4
393,2484014,6728480,180.97,0.03,40.4
394,2484010,6728477,26.52,0.02,41.6
395,2484038,6728490,914.22,0.00,29.0
396,2484035,6728466,1.81,0.00,27.7
397,2484044,6728459,26.52,0.00,31.3
398,2484056,6728459,7.18,0.01,33.4
399,2484060,6728476,136.35,0.01,29.6
400,2483973,6728537,16.54,0.00,32.0
401,2483954,6728550,16.54,0.17,48.1
402,2483952,6728566,22.78,0.00,32.0
403,2483943,6728581,56.48,0.01,29.8
404,2483938,6728623,56.16,0.01,21.7
405,2483926,6728616,11.54,0.01,24.4
406,2483906,6728613,7.18,0.00,21.7
407,2483896,6728639,6.55,0.00,20.5
408,2483890,6728654,20.28,0.00,20.7
409,2483917,6728647,19.03,0.00,18.6
410,2483924,6728661,31.83,0.00,18.7
411,2483939,6728651,11.86,0.03,20.2
412,2483932,6728638,1.22,0.01,19.4
413,2483943,6728635,77.07,0.00,20.0
438,2483997,6728613,1.15,0.01,22.9
439,2484034,6728610,1.81,0.01,23.1
440,2484070,6728604,3.43,0.02,22.3
441,2484107,6728600,0.00,0.00,22.3
442,2484146,6728605,4.37,0.01,28.0
443,2484025,6728736,5.30,0.01,23.8
444,2484020,6728749,2.12,0.00,20.3
445,2484169,6728656,0.56,0.01,22.1
446,2484207,6728613,0.94,0.02,22.6
447,2484214,6728579,10.61,0.00,23.4
448,2484193,6728553,4.99,0.00,23.5
449,2484192,6728476,9.98,0.00,21.8
450,2484249,6728533,0.78,0.00,21.9
