MeasurementNumber,NZTM-mE,NZTM-mN,CO2
1,1886552,5772980,15.04
2,1886392,5773183,3.61
3,1886407,5773217,171.45
4,1886401,5773234,141.37
5,1886435,5773242,3880.09
6,1886447,5773236,18.05
7,1886477,5773264,631.64
8,1886447,5773281,138.36
9,1886447,5773281,75.20
10,1886416,5773296,51.13
11,1886413,5773335,105.27
12,1886414,5773363,132.34
13,1886429,5773349,1925.00
14,1886451,5773335,3218.37
15,1886473,5773322,571.49
16,1886505,5773288,22.56
17,1886501,5773265,14.44
18,1884436,5774109,26.03
19,1884450,5774116,2094.38
20,1884483,5774089,47.87
21,1884564,5774051,35.90
22,1884275,5774044,104.72
23,1884354,5774151,673.19
24,1884362,5774209,26.93
25,1884328,5774210,191.49
26,1884272,5774235,71.81
27,1884193,5774271,59.84
28,1884217,5774340,56.85
29,1884262,5774328,53.86
30,1884310,5774326,38.90
31,1884296,5774396,59.84
32,1884308,5774485,16.76
33,1884272,5774516,53.86
34,1884289,5774621,38.90
35,1884280,5774681,26.93
36,1884211,5774678,32.91
37,1884185,5774620,29.92
38,1884155,5774634,305.18
39,1884170,5774662,14.96
40,1884258,5774776,1.50
41,1884291,5774770,4.79
42,1884341,5774777,18.25
43,1884395,5774739,18.25
44,1884437,5774783,23.94
45,1884476,5774809,14.96
46,1884455,5774656,203.45
47,1884426,5774588,314.16
48,1884427,5774589,20.94
49,1884476,5774573,62.83
50,1884441,5774433,44.88
51,1884492,5774160,43.06
52,1884379,5774069,25.53
53,1884272,5774100,36.91
54,1884147,5774138,28.60
55,1884151,5774046,25.83
56,1884571,5774087,1.23
57,1884545,5774186,24.60
58,1884576,5774248,18.76
59,1884580,5774316,22.45
60,1884539,5774418,19.99
61,1884498,5774475,70.74
62,1884585,5774501,12.61
63,1884675,5774522,12.30
64,1884750,5774595,258.34
65,1884721,5774653,1.23
66,1884722,5774701,12.61
67,1884608,5774829,22.76
68,1884547,5774773,6.15
69,1884569,5774694,8.61
70,1884631,5774543,22.14
71,1884756,5774302,12.30
72,1884748,5774357,61.51
73,1884664,5774276,1.23
74,1884708,5774141,1.23
75,1884521,5774258,39.98
76,1884523,5774323,2.77
77,1884487,5774366,16.30
78,1884437,5774429,19.99
79,1884395,5774379,1.85
80,1884442,5774312,33.83
81,1884453,5774255,153.78
82,1884282,5774945,1.23
83,1884278,5774968,21.53
84,1884205,5774165,38.06
85,1884425,5774193,1.21
86,1884472,5774678,1.21
87,1884305,5774871,34.73
88,1884148,5774540,1.21
89,1884235,5774415,57.99
90,1884367,5774365,23.86
91,1884337,5774630,13.89
92,1886240,5773225,91.82
93,1886268,5773209,1395.64
94,1886278,5773232,1.22
95,1886251,5773264,5.20
96,1886267,5773296,1.22
97,1886291,5773275,13.47
98,1886325,5773264,269.95
99,1886377,5773288,8.88
100,1886338,5773300,55.09
101,1886317,5773308,783.52
102,1886275,5773319,104.06
103,1886265,5773371,5.51
104,1886301,5773365,250.97
105,1886332,5773349,1.22
106,1886376,5773355,19.59
107,1886380,5773401,216.08
108,1886335,5773411,125.49
109,1886303,5773397,177.52
110,1886256,5773392,1.53
111,1886215,5773434,244.85
112,1886249,5773436,1.22
113,1886284,5773432,36.73
114,1886328,5773419,3183.05
115,1886380,5773420,1.22
