MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
142,1884458,5774618,1187.11,0.016,21.6
143,1884389,5774726,109.07,0.015,26.2
144,1884372,5774752,154.99,0.235,26.2
145,1884347,5774743,18.24,0.010,27.0
146,1884328,5774758,87.64,0.010,25.2
147,1884324,5774821,400.94,0.010,26.5
148,1884326,5774851,93.48,0.007,25.2
149,1884300,5774852,80.20,0.006,22.0
150,1884261,5774832,95.79,0.008,23.5
151,1884320,5774703,94.43,0.056,28.4
152,1884352,5774646,191.28,0.011,36.7
153,1884365,5774572,138.93,0.026,28.8
154,1884463,5774415,13.91,0.017,19.6
155,1884475,5774156,37.70,0.044,22.8
156,1884499,5774221,69.62,0.030,21.4
157,1884551,5774243,25.35,0.033,19.1
158,1884526,5774268,187.08,0.012,29.0
159,1884508,5774311,76.85,0.012,23.8
160,1884498,5774354,38.01,0.033,25.2
161,1884482,5774381,53.28,0.009,28.3
162,1885632,5774527,79.72,0.040,17.9
163,1885664,5774545,38.50,0.019,18.7
164,1885653,5774577,52.85,0.015,19.4
165,1885644,5774593,47.63,0.030,18.8
166,1885667,5774614,112.33,0.013,29.0
167,1885703,5774596,22.72,0.015,18.4
168,1885763,5774567,49.07,0.012,20.1
169,1885831,5774577,33.41,0.005,21.4
170,1885656,5774517,113.73,0.015,21.4
171,1885993,5774592,10.04,0.010,21.4
172,1886049,5774732,62.07,0.007,18.4
173,1886103,5774721,0.00,0.014,14.8
174,1886192,5774632,47.68,0.014,21.1
175,1886129,5774471,15.81,0.007,23.6
176,1886029,5774164,0.13,0.037,22.9
177,1886037,5774160,6.72,0.076,32.8
178,1886039,5774166,15.77,0.084,32.2
179,1885946,5774133,52.01,0.012,27.4
180,1885919,5774130,8.86,0.004,25.0
181,1885934,5774100,81.08,0.013,25.3
182,1885936,5774066,7.12,0.004,34.2
183,1885934,5774043,12.44,0.040,33.0
184,1885934,5774031,42.25,0.020,27.1
185,1885901,5774012,11.38,0.085,24.2
186,1885819,5774029,6.77,0.005,23.8
187,1885783,5774009,168.12,0.872,26.0
188,1885765,5773985,0.41,0.000,25.0
