MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
1,1821092,5648598,0.00,6.80
2,1821099,5648586,0.00,4.40
3,1821092,5648598,11.39,9.4
4,1821093,5648607,0.00,9.2
5,1821090,5648620,0.00,7.6
6,1821102,5648628,0.00,4.5
7,1821074,5648597,0.00,6.2
8,1821074,5648603,0.00,10.7
9,1821072,5648629,0.00,8
10,1821056,5648633,0.00,8.2
11,1821042,5648639,0.00,7.7
12,1821006,5650277,4.35,5.9
13,1821006,5650277,5.79,8.8
14,1821001,5650284,9.66,9.7
15,1821001,5650285,0.00,8.8
16,1821003,5650288,0.00,11
17,1821003,5650287,0.00,9.5
