MeasurementNumber,NZTM-mE,NZTM-mN,CO2
109,1821075,5648629,65.32
110,1821064,5648646,39.39
111,1821050,5648652,38.53
112,1821027,5648668,62.46
113,1821004,5648676,33.85
114,1820996,5648691,3.50
115,1821083,5648616,46.48
116,1821107,5648628,49.87
117,1821129,5648625,48.09
118,1821166,5648624,57.33
119,1821200,5648630,54.56
120,1821241,5648611,31.81
121,1821268,5648624,30.14
122,1821087,5648623,168.74
7,1821110,5648665,300.59
8,1821133,5648744,428.24
9,1821173,5648789,851.99
10,1821188,5648852,793.61
11,1821215,5648892,681.49
12,1821264,5648974,586.26
13,1821294,5649060,678.42
14,1821343,5648960,940.80
15,1821243,5648795,1054.69
16,1821112,5649011,175.63
17,1821206,5649033,197.63
18,1821247,5649028,639.43
19,1821272,5648894,472.01
20,1821259,5648850,257.90
21,1821247,5648865,241.11
24,1821253,5648815,520.41
25,1821140,5648846,984.78
26,1821088,5648842,860.92
27,1821120,5648898,1315.01
28,1821149,5648895,252.87
29,1821140,5648933,1262.54
30,1821114,5648982,1167.26
31,1821116,5649056,1044.48
32,1821123,5649046,863.07
33,1821152,5649027,949.20
