MeasurementNumber,NZTM-mE,NZTM-mN,CO2
3,1821108,5648621,0.00
4,1821108,5648606,0.00
5,1821119,5648591,0.00
6,1821126,5648579,1.22
7,1821150,5648582,4.88
8,1821153,5648562,1.95
9,1821174,5648550,3.90
10,1821205,5648548,0.00
11,1821194,5648564,7.32
12,1821199,5648592,0.49
13,1821198,5648623,8.29
14,1821178,5648599,1.71
15,1821151,5648595,4.88
16,1821142,5648618,12.19
17,1821127,5648624,0.00
18,1821120,5648626,0.00
19,1821112,5648628,0.00
505,1821096,5648672,18.96
506,1821095,5648708,289.22
507,1821123,5648749,441.17
508,1821132,5648784,475.14
509,1821142,5648816,404.30
510,1821145,5648856,394.77
511,1821148,5648903,327.74
512,1821150,5648951,532.89
513,1821199,5649139,147.24
514,1821293,5649157,151.47
515,1821297,5649069,335.59
516,1821285,5649012,466.04
517,1821277,5648955,270.46
518,1821257,5648909,230.21
519,1821252,5648873,412.51
520,1821247,5648822,566.07
521,1821239,5648771,552.71
522,1821239,5648724,562.38
523,1821239,5648686,558.61
524,1821236,5648629,71.04
525,1821388,5648796,58.18
526,1821361,5648800,122.90
527,1821296,5648812,447.51
528,1821244,5648821,614.68
529,1821170,5648826,299.70
530,1821098,5648814,634.06
531,1821049,5648818,347.82
532,1820976,5648787,113.39
533,1820979,5648714,69.20
534,1821019,5648712,209.54
535,1821050,5648705,136.51
536,1821127,5648699,205.75
537,1821184,5648699,434.52
538,1821264,5648696,349.88
539,1821304,5648698,253.73
540,1821338,5648691,509.32
541,1821368,5648681,69.18
542,1821402,5648901,57.65
543,1821319,5648896,140.25
544,1821266,5648899,421.83
545,1821232,5648909,934.70
546,1821180,5648912,1036.55
547,1821114,5648914,928.86
548,1821053,5648927,598.47
549,1820967,5648925,136.14
550,1820950,5649026,65.36
551,1820986,5649025,755.34
552,1821041,5649055,1135.27
553,1821132,5649024,907.07
554,1821190,5649041,1077.61
555,1821248,5649056,690.93
556,1821304,5649062,478.04
557,1821352,5649094,78.27
