MeasurementNumber,NZTM-mE,NZTM-mN,CO2,H2S,GroundTemperature
Site 12,1867273,5718185,19.59,0.00,18.5
Vegetation Plot,1866810,5717937,4.22,0.00,68.8
Site 16,1866852,5717668,35.30,0.00,97.8
Site 15,1866927,5717666,7.23,0.00,70.8
Site 13,1866920,5717699,27.70,0.00,98.2
Site 10,1867007,5717854,276.45,0.00,97.9
Site 69?,1867061,5717850,5.11,0.00,86.3
Site 70,1867165,5717901,5.41,0.00,81.8
Site 58,1867127,5718142,15.87,0.00,72.4
Site 8,1867090,5718159,5.96,0.00,64.0
Site 6,1867282,5718147,20.74,0.00,62.5
Site 12,1867273,5718185,29.97,0.00,22.1
