MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
CM1,1867140.6,5718128.5,9.42,77.5
CM2,1867047.5,5718206.5,5.30,69.8
CM3,1867034.4,5718259.5,15.02,44.4
CM4,1866909.7,5717853.1,161.45,54.9
CM5,1866916.8,5717844.1,20.33,47.7
CM6,1866930.8,5717846.1,17.69,64.0
CM7,1866932.8,5717848.1,176.63,98.2
CM8,1866992.9,5717796.1,3.24,37.9
CM9,1867197.9,5717858.4,1.42,43.9
CM10,1867128.6,5718136.5,3.25,48.1
CM11,1867108.6,5718148.5,105.68,73.4
CM12,1867099.6,5718142.5,81.50,82.8
CM13,1867070.6,5718137.4,11.81,79.7
CM14,1867029.5,5718130.4,0.38,90.9
CM15,1867029.5,5718130.4,150.71,93.0
CM16,1867023.5,5718155.4,62.07,82.8
CM17,1867030.5,5718188.4,47.60,79.7
