MeasurementNumber,NZTM-mE,NZTM-mN,CO2
1,1858667,5698960,0.56
2,1858795,5698860,-0.13
3,1858686,5699191,-0.12
4,1858578,5699389,0.00
5,1858408,5699621,0.00
6,1858534,5700032,0.00
7,1858665,5700316,-0.16
8,1858948,5700136,-0.13
9,1859321,5700076,-0.26
10,1859824,5699905,0.00
11,1859771,5699687,-0.19
12,1859347,5699606,-0.12
13,1858886,5699779,-0.19
14,1858825,5699531,-2.21
15,1859221,5699287,-0.30
16,1859561,5699217,-0.19
17,1859757,5699401,-0.22
19,1856945,5698296,-0.35
20,1856980,5698212,0.38
21,1856950,5698243,0.16
22,1856984,5698272,0.00
23,1857038,5698225,0.14
24,1856925,5698347,-0.07
25,1856893,5698305,-0.35
26,1856867,5698262,-0.33
27,1856907,5698232,-0.08
28,1856945,5698196,-0.21
29,1856979,5698170,-0.16
30,1857016,5698198,0.18
