MeasurementNumber,NZTM-mE,NZTM-mN,CO2,H2S,GroundTemperature
946,1831974,5689406,6.30,0.003,4.60
947,1831964,5689386,2.91,0.002,4.3
948,1831949,5689331,3.60,0.005,5.4
949,1831925,5689286,1.56,0.010,5.1
951,1831898,5689242,1.14,0.006,4.4
952,1831884,5689218,1.77,0.003,5.2
953,1831870,5689195,4.50,0.000,5.9
954,1831858,5689171,1.95,0.001,5.6
955,1831845,5689144,3.30,0.001,6.3
956,1831839,5689120,4.80,0.002,6.3
957,1831827,5689091,0.36,0.002,6
958,1831816,5689066,2.43,0.001,5.7
959,1831808,5689040,2.37,0.003,5.7
960,1831801,5689014,5.70,0.017,6.4
961,1831790,5688987,3.90,0.006,6.1
962,1831780,5688963,4.50,0.003,4.4
963,1831767,5688939,5.10,0.001,4.8
964,1831755,5688918,3.30,0.013,4.5
965,1831747,5688893,1.86,0.005,4.3
966,1831739,5688867,0.78,0.008,5.5
967,1831730,5688842,9.90,0.021,5.6
968,1831726,5688816,6.90,0.008,6.1
969,1831723,5688787,8.40,0.002,6.0
970,1831725,5688760,13.80,0.002,6.7
971,1831727,5688734,9.60,0.022,5.6
972,1831728,5688708,7.80,0.010,7.2
973,1831731,5688652,7.50,0.013,8.3
974,1831736,5688602,9.90,0.004,6.8
975,1831739,5688551,3.00,0.005,5.9
976,1831740,5688499,12.30,0.006,7.1
977,1831762,5688455,5.70,0.004,6.3
978,1831809,5688427,3.30,0.001,4.0
979,1831879,5688419,11.70,0.021,6.8
980,1831946,5688409,8.40,0.010,7.5
981,1831970,5688391,9.06,0.054,6.9
982,1831979,5688362,22.04,0.018,8.1
983,1832006,5688344,6.34,0.013,5.1
984,1832020,5688317,4.53,0.006,4.9
985,1832024,5688291,21.74,0.007,5.8
986,1832035,5688255,3.62,0.012,6.2
987,1832058,5688235,10.57,0.009,6.9
988,1832053,5688204,16.30,0.017,6.7
989,1832052,5688173,4.53,0.017,6.2
990,1832043,5688140,2.69,0.009,4.3
991,1832054,5688116,9.06,0.022,7.0
992,1832060,5688059,10.27,0.013,7.1
993,1832056,5687997,10.87,0.022,6.2
994,1832066,5687945,19.02,0.003,6.4
995,1832081,5687913,18.72,0.033,7.3
996,1832093,5687883,5.74,0.022,7.3
997,1832108,5687856,20.83,0.040,7.3
998,1832128,5687828,4.83,0.054,5.6
999,1832168,5687793,12.98,0.026,6.7
1,1832197,5687747,9.36,0.022,6.1
2,1832205,5687723,4.53,0.011,7.0
3,1832215,5687686,3.62,0.026,4.6
4,1832227,5687670,3.32,0.010,5.0
5,1832261,5687644,3.62,0.037,5.0
6,1832291,5687636,3.32,0.014,4.0
7,1832316,5687639,3.02,0.026,5.2
8,1832349,5687621,6.34,0.016,3.9
9,1832369,5687568,9.66,0.021,7.0
10,1832376,5687510,4.83,0.037,7.7
