MeasurementNumber,NZTM-mE,NZTM-mN,CO2
130,1849374,5687368,18881.6
131,1849371,5687366,8.8
132,1849370,5687358,8.5
133,1849376,5687382,10.2
134,1849376,5687373,7379.0
135,1849377,5687367,6128.0
136,1849379,5687358,4833.2
137,1849380,5687350,6706.0
138,1849381,5687337,32.7
139,1849381,5687329,17.7
140,1849389,5687341,38.0
141,1849385,5687349,33.4
142,1849386,5687358,117.0
143,1849385,5687366,26.1
144,1849386,5687378,14.6
145,1849387,5687390,3.2
146,1849385,5687381,5.4
147,1849391,5687371,13.7
148,1849391,5687362,9.0
149,1849396,5687349,17.8
155,1849400,5687362,12.4
156,1849397,5687371,8.0
157,1849400,5687387,3750.5
158,1849394,5687389,2.0
