MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
932011001,1877118,5719832,21.3,17.3
932011002,1877160,5719881,18.2,14.5
932011003,1877137,5719712,3.0,23.6
932011004,1877131,5719695,5284.8,21.0
932011005,1877135,5719680,486.0,16.7
932011006,1877171,5719666,1002.3,17.0
932011007,1877324,5719614,668.2,42.0
932011008,1877331,5719614,2551.3,53.0
932011009,1877356,5719707,6.1,17.0
932011010,1877322,5719982,30.4,18.0
932011011,1877511,5720325,1822.4,60.0
932011012,1877534,5720353,1154.2,100.0
932011013,1877507,5720354,2612.0,100.0
932011014,1877497,5720352,2126.1,100.0
932011015,1877483,5720367,501.2,100.0
932011016,1877582,5720089,3.0,20.0
932011017,1877586,5720078,212.6,16.0
932011018,1877569,5720064,91.1,41.0
932011019,1877766,5720063,1852.7,75.0
932011020,1877766,5720039,72.9,67.0
932011021,1877738,5720169,12.2,20.0
1132011001,1877046,5719674,43.3,15.5
1132011002,1877140,5719719,3.1,14.0
1132011003,1877137,5719709,3.1,15.0
1132011004,1877127,5719712,6.2,15.0
1132011005,1877143,5719701,4.6,15.0
1132011006,1877125,5719706,49.5,15.0
1132011007,1877140,5719701,9.3,14.1
1132011008,1877139,5719691,228.8,14.5
1132011009,1877145,5719688,30.9,15.0
1132011010,1877142,5719679,1360.6,15.2
1132011011,1877151,5719680,77.3,15.5
1132011012,1877152,5719694,6.2,15.0
1132011013,1877159,5719681,3.1,16.0
1132011014,1877168,5719666,3.1,14.5
1132011015,1877158,5719659,27.8,12.5
1132011016,1877148,5719666,30.9,14.0
1132011017,1877138,5719659,18.6,14.0
1132011018,1877125,5719650,6.2,15.5
1132011019,1877113,5719651,6.2,15.5
1132011020,1877128,5719663,6.2,13.5
1132011021,1877115,5719663,6.2,14.5
1132011022,1877109,5719681,3.1,14.0
1132011023,1877123,5719672,3.1,14.5
1132011024,1877136,5719671,216.5,14.0
1132011025,1877137,5719678,12616.5,15.0
