MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
630,1829214,5665247,46.98,20
631,1829229,5665246,5.87,18.2
632,1829218,5665261,217.05,22.2
633,1829237,5665260,5.62,20.5
634,1829223,5665273,11.24,25.6
635,1829213,5665270,3.57,28.2
636,1829207,5665254,20.17,23.2
637,1829198,5665247,9.19,25.5
638,1829197,5665237,132.78,20.4
639,1829203,5665226,22.73,20.2
640,1829193,5665231,2.55,20.2
641,1829209,5665215,56.18,25.6
642,1829196,5665216,21.96,26
643,1829207,5665202,3.06,23.5
644,1829213,5665226,5.62,24.8
645,1829208,5665233,725.20,24.7
646,1829202,5665241,8763.65,38.2
647,1829226,5665223,0.31,25.5
648,1829221,5665208,21.96,25.1
