MeasurementNumber,NZTM-mE,NZTM-mN,CO2
1,1827900,5666045,3.74
2,1827884,5666055,0.00
3,1827868,5666065,0.00
4,1827848,5666072,0.00
5,1827831,5666079,0.00
6,1827814,5666083,3.92
7,1827795,5666084,0.00
8,1827776,5666088,0.00
9,1827758,5666088,5.25
10,1827739,5666091,0.00
11,1827719,5666092,0.00
12,1827702,5666091,0.00
13,1827682,5666094,3.64
14,1827662,5666096,3.44
15,1827644,5666095,0.00
16,1827626,5666096,0.00
17,1827607,5666101,0.00
18,1827590,5666106,0.00
19,1827571,5666109,0.00
21,1827550,5666111,0.00
22,1827530,5666105,0.00
23,1827510,5666106,0.00
24,1827492,5666105,0.00
25,1827474,5666103,8.04
26,1827452,5666101,0.00
27,1827431,5666099,0.00
28,1827412,5666100,0.00
29,1827392,5666101,4.29
30,1827369,5666100,0.00
31,1827351,5666103,0.00
32,1827331,5666103,0.00
33,1827310,5666106,8.68
34,1827292,5666108,0.00
35,1827272,5666112,0.00
36,1827253,5666114,0.00
37,1827233,5666115,4.88
38,1827211,5666116,0.00
39,1827193,5666118,0.00
40,1827175,5666121,5.66
41,1827152,5666121,5.82
42,1827134,5666120,0.00
43,1827114,5666120,9.36
44,1827093,5666118,0.00
45,1827076,5666126,9.19
46,1827057,5666129,7.71
47,1827037,5666129,8.83
48,1827018,5666131,5.09
49,1826999,5666134,0.00
50,1826979,5666134,0.00
51,1826958,5666136,0.00
52,1826937,5666137,0.00
53,1826920,5666139,0.00
54,1826902,5666142,0.00
55,1826882,5666141,0.00
56,1826864,5666141,5.13
57,1826845,5666141,9.46
58,1826826,5666140,12.09
59,1826808,5666141,4.36
60,1826787,5666142,0.00
61,1826768,5666143,12.26
62,1826749,5666145,8.62
63,1826732,5666147,0.00
64,1826712,5666149,7.83
65,1826693,5666149,0.00
66,1826674,5666152,11.60
67,1826654,5666154,0.00
68,1826635,5666155,0.00
69,1826614,5666156,0.00
70,1826594,5666155,10.25
71,1826574,5666154,10.34
116,1827923,5666033,3.72
117,1827939,5666031,0.00
118,1827961,5666026,0.00
119,1827980,5666022,4.82
120,1827999,5666015,12.47
121,1828018,5666011,0.00
122,1828036,5666007,0.00
123,1828055,5666001,0.00
124,1828074,5665996,0.00
125,1828094,5665991,0.00
126,1828112,5665983,0.00
127,1828131,5665976,8.71
128,1828150,5665972,0.00
129,1828169,5665966,0.00
130,1828188,5665960,0.00
131,1828207,5665954,0.00
132,1828227,5665947,0.00
133,1828246,5665941,0.00
134,1828265,5665937,0.00
135,1828284,5665930,0.00
136,1828302,5665923,0.00
137,1828322,5665916,0.00
138,1828339,5665907,0.00
139,1828359,5665902,0.00
140,1828378,5665896,0.00
141,1828396,5665887,0.00
142,1828416,5665888,0.00
143,1828436,5665885,0.00
144,1828454,5665882,0.00
145,1828471,5665872,0.00
146,1828492,5665871,0.00
147,1828511,5665870,0.00
148,1828528,5665867,0.00
149,1828546,5665866,19.01
150,1828565,5665869,13.40
151,1828584,5665865,14.34
155,1828590,5665844,10.36
164,1828609,5665840,15.63
174,1828625,5665846,14.73
204,1828642,5665843,16.75
219,1828662,5665839,29.60
276,1828680,5665834,0.00
279,1828699,5665826,6.95
436,1828719,5665830,0.00
437,1828736,5665822,0.00
463,1828756,5665816,0.00
464,1828777,5665813,0.00
465,1828798,5665810,0.00
466,1828815,5665805,0.00
467,1828834,5665809,0.00
468,1828855,5665810,0.00
469,1828876,5665809,17.32
470,1828895,5665810,0.00
471,1828915,5665812,8.96
472,1828934,5665810,15.24
473,1828955,5665808,0.00
474,1828975,5665805,0.00
475,1828997,5665805,0.00
476,1829015,5665805,5.48
477,1829034,5665806,0.00
478,1829054,5665810,0.00
479,1829074,5665809,0.00
480,1829093,5665810,0.00
481,1829113,5665811,0.00
482,1829133,5665812,0.00
483,1829154,5665813,0.00
484,1829173,5665813,0.00
485,1829193,5665812,0.00
486,1829212,5665811,0.00
487,1829233,5665812,0.00
488,1829254,5665813,0.00
489,1829275,5665814,0.00
490,1829294,5665814,0.00
491,1829314,5665814,0.00
492,1829333,5665813,0.00
493,1829353,5665813,0.00
494,1829373,5665814,0.00
495,1829393,5665815,0.00
496,1829413,5665817,0.00
497,1829432,5665818,0.00
498,1829453,5665819,0.00
499,1829473,5665819,0.00
500,1829493,5665819,0.00
501,1829513,5665823,0.00
502,1829532,5665822,0.00
503,1829553,5665824,0.00
504,1829573,5665823,0.00
505,1829592,5665825,4.08
506,1829613,5665826,0.00
507,1829633,5665827,0.00
508,1829654,5665827,0.00
509,1829673,5665830,5.27
510,1829692,5665830,0.00
511,1829711,5665828,0.00
512,1829730,5665828,0.00
513,1829748,5665834,4.20
514,1829761,5665846,0.00
515,1829779,5665854,0.00
516,1829799,5665846,0.00
517,1829819,5665842,18.82
518,1829836,5665832,9.65
519,1829853,5665825,25.43
520,1829875,5665823,29.51
521,1829891,5665817,17.98
522,1829911,5665809,13.84
523,1829931,5665802,10.74
524,1829949,5665798,0.00
525,1829967,5665799,0.00
526,1829988,5665802,0.00
527,1830006,5665803,12.47
528,1830026,5665812,0.00
529,1830045,5665821,3.62
530,1830065,5665828,0.00
531,1830083,5665835,0.00
532,1830101,5665839,0.00
533,1830119,5665847,0.00
534,1830139,5665855,0.00
535,1830157,5665863,0.00
536,1830173,5665874,0.00
537,1830191,5665882,0.00
538,1830206,5665895,0.00
539,1830219,5665910,0.00
540,1830235,5665922,0.00
541,1830249,5665937,0.00
542,1830262,5665950,0.00
543,1830278,5665961,0.00
544,1830293,5665974,3.22
545,1830310,5665988,0.00
546,1830324,5666002,0.00
547,1830337,5666016,0.00
548,1830355,5666027,0.00
549,1830370,5666042,0.00
550,1830384,5666054,0.00
551,1830401,5666066,0.00
552,1830419,5666072,0.00
553,1830439,5666072,0.00
554,1830459,5666066,0.00
555,1830475,5666057,0.00
556,1830491,5666048,0.00
557,1830507,5666041,0.00
558,1830523,5666034,0.00
559,1830543,5666032,0.00
560,1830560,5666028,0.00
561,1830579,5666027,0.00
562,1830598,5666029,0.00
563,1830616,5666027,0.00
564,1830638,5666026,3.53
565,1830656,5666032,0.00
566,1830676,5666032,0.00
567,1830694,5666032,14.83
568,1830715,5666035,6.89
569,1830734,5666036,46.77
570,1830753,5666042,17.41
571,1830773,5666049,6.52
572,1830791,5666050,6.50
573,1830810,5666046,39.25
574,1830829,5666039,12.14
575,1830846,5666028,7.97
576,1830860,5666017,0.00
577,1830875,5666007,0.00
578,1830892,5666004,0.00
579,1830909,5666001,0.00
580,1830927,5665994,0.00
581,1830948,5665997,3.41
582,1830968,5666000,5.04
583,1830985,5666008,7.42
