MeasurementNumber,NZTM-mE,NZTM-mN,CO2
1,1831022,5666017,0
2,1831040,5666009,0
3,1831056,5665997,10.11
4,1831073,5665986,7
5,1831089,5665975,0
6,1831105,5665965,0
7,1831125,5665958,0
8,1831143,5665950,6.02
9,1831163,5665946,0
10,1831182,5665937,0
11,1831199,5665928,4.36
12,1831198,5665909,0
13,1831197,5665888,0
14,1831202,5665871,8.33
15,1831218,5665869,0
16,1831239,5665855,0
17,1831255,5665843,0
18,1831252,5665826,8.84
19,1831253,5665811,0
20,1831266,5665795,0
21,1831285,5665787,0
22,1831306,5665790,12.9
23,1831325,5665784,17.53
24,1831341,5665786,0
25,1831360,5665788,0
26,1831376,5665783,0
27,1831397,5665780,0
28,1831416,5665780,0
29,1831437,5665780,0
30,1831456,5665789,11.36
31,1831473,5665797,8.07
32,1831493,5665796,13.19
33,1831496,5665765,0
34,1831504,5665750,21.6
35,1831518,5665737,9.8
36,1831532,5665721,11.01
37,1831549,5665715,11.16
38,1831570,5665713,16.13
39,1831590,5665704,7.31
40,1831606,5665695,0
41,1831626,5665696,0
42,1831646,5665690,10.54
43,1831664,5665681,0
44,1831681,5665672,0
45,1831697,5665664,13.87
46,1831714,5665651,19.74
47,1831722,5665634,18.57
48,1831733,5665617,9
49,1831739,5665599,14.73
50,1831735,5665578,16.33
51,1831760,5665577,0
52,1831777,5665587,11.02
53,1831798,5665585,11.93
54,1831814,5665580,23.4
55,1831836,5665572,28.87
56,1831853,5665560,25.49
57,1831873,5665555,0
58,1831893,5665556,15.48
59,1831906,5665551,12.68
60,1831931,5665539,12.37
61,1831950,5665527,7.49
62,1831961,5665516,0
63,1831980,5665504,7.99
64,1831988,5665492,7.24
65,1832010,5665484,0
66,1832023,5665469,0
67,1832044,5665466,14.97
68,1832062,5665456,0
69,1832077,5665449,0
70,1832083,5665431,15.64
71,1832090,5665412,6.43
72,1832104,5665397,0
73,1832116,5665379,3.95
74,1832119,5665361,7.85
75,1832127,5665344,0
76,1832141,5665331,13.1
77,1832156,5665314,0
78,1832171,5665301,0
79,1832185,5665287,0
80,1832200,5665274,0
81,1832216,5665264,0
82,1832236,5665256,0
83,1832250,5665242,0
84,1832267,5665235,0
85,1832288,5665231,0
86,1832306,5665224,0
87,1832323,5665218,5.07
88,1832345,5665217,11.06
89,1832361,5665209,0
90,1832380,5665203,0
91,1832400,5665201,6.72
92,1832420,5665204,0
93,1832441,5665194,7.23
94,1832453,5665182,0
95,1832473,5665173,0
96,1832490,5665165,0
108,1826575,5666154,4.53
109,1826560,5666141,4.87
110,1826541,5666133,0
111,1826520,5666128,0
112,1826501,5666125,0
113,1826483,5666126,0
114,1826465,5666130,6.05
115,1826442,5666133,0
116,1826423,5666132,0
117,1826403,5666130,0
118,1826384,5666126,0
119,1826366,5666127,0
120,1826346,5666128,0
121,1826329,5666122,0
122,1826310,5666118,0
123,1826293,5666122,6.07
124,1826274,5666127,0
125,1826255,5666128,6.3
126,1826236,5666135,0
127,1826219,5666142,0
128,1826196,5666143,2.31
129,1826179,5666143,0
130,1826157,5666140,0
131,1826139,5666138,0
132,1826122,5666134,4.75
133,1826100,5666130,1.56
134,1826080,5666127,0
135,1826060,5666124,5.8
136,1826042,5666131,0
137,1826023,5666130,0
138,1826002,5666128,0
139,1825981,5666128,0
140,1825961,5666123,0
141,1825943,5666121,7.03
142,1825922,5666122,9.23
143,1825902,5666126,0
144,1825883,5666132,0
145,1825866,5666123,0
146,1825847,5666133,0
147,1825829,5666138,9.71
148,1825810,5666145,0
149,1825791,5666149,0
150,1825768,5666148,8.53
151,1825752,5666145,0
152,1825733,5666142,0
153,1825712,5666139,0
154,1825693,5666135,0
155,1825673,5666128,0
156,1825655,5666122,0
157,1825634,5666118,0
158,1825615,5666117,0
159,1825595,5666110,0
160,1825579,5666103,5.79
161,1825555,5666101,0
162,1825539,5666093,8.5
163,1825514,5666092,4.83
164,1825495,5666088,15.75
165,1825475,5666087,30.49
166,1825455,5666088,0
167,1825437,5666090,16.7
168,1825417,5666091,0
169,1825397,5666092,0
170,1825378,5666094,0
171,1825360,5666101,0
172,1825340,5666101,0
173,1825317,5666100,0
174,1825296,5666097,0
175,1825276,5666099,0
176,1825259,5666093,0
177,1825238,5666088,10.41
178,1825219,5666087,0
179,1825198,5666085,10.54
180,1825180,5666084,0
181,1825160,5666080,0
182,1825142,5666075,0
183,1825122,5666067,0
184,1825103,5666063,0
185,1825082,5666061,0
186,1825062,5666061,9.62
187,1825041,5666060,7.93
188,1825024,5666060,8.25
189,1825004,5666059,14.31
190,1824983,5666060,9.92
191,1824962,5666068,17.13
192,1824946,5666068,0
193,1824924,5666065,17.58
194,1824904,5666072,14.42
195,1824891,5666063,12.06
196,1824879,5666050,14.28
197,1824862,5666042,7.6
198,1824842,5666040,11.76
199,1824823,5666040,0
200,1824803,5666036,10.19
201,1824783,5666037,17.89
202,1824764,5666039,11.3
203,1824745,5666042,0
204,1824726,5666036,0
205,1824706,5666034,0
206,1824687,5666031,14.52
207,1824667,5666033,14.77
208,1824643,5666032,0
209,1824625,5666028,11.89
210,1824603,5666027,10.96
211,1824585,5666031,21.56
212,1824565,5666025,20.93
213,1824545,5666030,28.12
214,1824528,5666033,8.27
215,1824525,5666025,18.45
216,1824485,5666036,13.93
217,1824467,5666036,7.67
218,1824448,5666042,10.8
