MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
OT82,1829487,5664920,10,0
OT83,1829506,5664919,1,0.2
OT84,1829522,5664915,2,0
OT85,1829543,5664907,123,4.3
OT86,1829525,5664901,96,0
OT87,1829510,5664887,104,4
OT88,1829496,5664875,46,0
OT89,1829482,5664864,0,3.5
OT90,1829470,5664853,253,0.6
OT91,1829483,5664851,5,0.2
OT92,1829497,5664866,27,0.5
OT93,1829513,5664878,93,1.6
OT94,1829532,5664889,165,6.2
OT95,1829544,5664895,6765,48.2
OT96,1829545,5664879,5,4.5
OT97,1829532,5664867,17,2
OT98,1829519,5664854,0,1.7
OT99,1829521,5664835,8,1
OT101,1829547,5664870,93,0.7
OT102,1829536,5664853,1,1.5
OT104,1829565,5664869,43,1.8
OT105,1829555,5664877,932,10
OT106,1829556,5664858,0,1.5
OT107,1829578,5664857,59,5.5
OT108,1829596,5664853,144,34.3
OT109,1829578,5664838,0,0
OT110,1829593,5664827,7,2.4
OT111,1829618,5664834,1,0
OT112,1829626,5664850,18,1.9
OT113,1829639,5664869,7,0
OT114,1829603,5664854,9,2.9
OT115,1829603,5664854,37,19.5
OT116,1829598,5664870,2663,40.1
OT117,1829606,5664873,165,9.3
OT118,1829593,5664875,280,7.5
OT119,1829576,5664884,1438,23.9
OT120,1829575,5664887,0,18.1
OT121,1829564,5664897,2157,59.5
OT122,1829567,5664904,56,0
OT123,1829563,5664922,0,2.3
OT124,1829585,5664923,2,1.9
OT125,1829595,5664903,0,3.6
OT126,1829600,5664896,61,3.1
OT127,1829592,5664924,0,12.1
OT128,1829600,5664919,429,29.3
OT129,1829607,5664927,1225,14
OT130,1829613,5664944,17,0.8
OT131,1829620,5664932,141,36.6
OT132,1829622,5664942,495,23.5
OT133,1829625,5664929,213,56
OT134,1829625,5664911,932,19.3
OT135,1829630,5664894,1012,8.5
OT136,1829632,5664919,131,23.8
OT137,1829639,5664913,59,12.3
OT138,1829655,5664911,14116,6.8
OT139,1829651,5664925,0,10.8
OT140,1829645,5664938,7,11.6
OT141,1829653,5664947,168,13
OT142,1829666,5664949,178,5
OT143,1829652,5664961,117,12.6
OT144,1829644,5664971,4,11.8
OT145,1829635,5664983,0,6
OT146,1829604,5664953,6,9.1
OT147,1829619,5664963,7,10.3
OT148,1829636,5664978,3,10.8
OT149,1829646,5664969,6,19.3
OT150,1829661,5664967,4,5
OT151,1829662,5664955,4,9
OT152,1829665,5664948,133,5.7
OT153,1829675,5664949,15,5.6
OT154,1829678,5664938,4,2.3
OT155,1829673,5664925,11,3.6
OT156,1829685,5664912,0,2.8
OT157,1829691,5664899,1,7.4
OT158,1829684,5664895,1,2
OT159,1829677,5664903,5686,6.9
OT160,1829674,5664888,526,5
OT161,1829677,5664875,4,5.3
OT162,1829691,5664882,0,5.4
OT163,1829687,5664869,605,5.3
OT164,1829697,5664859,45,4.7
OT165,1829704,5664849,24,4.5
OT166,1829684,5664860,0,7.6
OT167,1829679,5664861,708,6.2
OT168,1829665,5664860,132,5.5
OT169,1829665,5664864,0,6.8
OT170,1829657,5664862,0,2.3
OT171,1829644,5664860,474,1.5
OT172,1829641,5664849,76,6.5
OT173,1829639,5664844,39,6.5
OT174,1829641,5664835,3,7.6
OT175,1829625,5664839,0,11.1
OT176,1829562,5664892,8476,77.3
OT177,1829552,5664899,74,13
OT178,1829556,5664900,0,5.2
OT179,1829498,5664947,0,5.8
OT180,1829488,5664967,3,7.1
OT181,1829490,5664985,2,6
