MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
530,1829574,5664955,6.84,8.9
531,1829597,5664962,3.41,12.3
532,1829619,5664975,1.57,15.5
533,1829645,5664993,0.73,16.1
534,1829664,5665000,0.76,13.2
535,1829674,5664984,3.92,11.5
536,1829666,5664971,0.10,10.8
537,1829660,5664949,114.76,15.4
538,1829668,5664956,0.31,12.2
539,1829671,5664939,0.78,14.3
540,1829671,5664922,0.44,11.7
541,1829682,5664906,1.40,11
542,1829682,5664885,0.34,12.5
543,1829689,5664870,8.29,9.3
544,1829695,5664848,0.93,16.2
545,1829679,5664859,0.65,21.8
546,1829680,5664870,141.96,13.3
547,1829673,5664885,1.78,12.7
548,1829669,5664897,69.53,13
549,1829652,5664915,0.59,18.6
550,1829643,5664937,0.04,23.8
551,1829635,5664911,323.34,31.7
552,1829639,5664898,0.49,34.4
553,1829619,5664895,891.00,67.4
554,1829620,5664919,3618.76,61.3
555,1829619,5664949,6054.18,70.4
556,1829636,5664968,265.37,31.6
557,1829599,5664941,38.23,17.1
558,1829605,5664912,1321.27,45
559,1829598,5664895,249.20,25
560,1829570,5664906,35.56,26.1
561,1829542,5664914,11.95,25.4
562,1829523,5664919,8.66,24.1
563,1829536,5664892,1394.95,43.8
564,1829518,5664893,2.81,24
565,1829540,5664877,86.94,30.2
566,1829526,5664867,0.16,21.2
567,1829564,5664859,0.18,20
568,1829593,5664855,3132.12,67.2
569,1829620,5664842,3.34,24.9
570,1829631,5664866,0.62,12.6
571,1829605,5664877,1752.84,61
572,1829581,5664882,518.82,53.1
573,1829559,5664889,467.05,44.7
574,1829553,5664947,0.57,24.3
575,1829578,5664927,5.44,24.3
576,1829502,5664922,0.36,21.5
577,1829484,5664922,3.12,30.1
578,1829490,5664950,5.73,21.4
579,1829473,5664944,1.77,19.6
580,1829468,5664969,1.54,26.2
581,1829454,5664980,0.42,24.7
582,1829469,5665002,1.28,23.4
583,1829445,5665019,14.41,25.7
584,1829414,5665008,1.13,25.6
585,1829406,5664985,4.47,30.1
586,1829432,5664978,12.89,27.4
587,1829405,5664965,3.95,20.8
588,1829388,5664937,2.37,18
589,1829394,5664909,874.47,24.6
590,1829412,5664886,182.54,22.8
591,1829433,5664870,16.16,21.8
592,1829459,5664875,514.67,39.1
593,1829475,5664901,49.15,28
596,1829679,5665009,3.19,12.2
597,1829705,5665014,1.44,10.7
598,1829731,5665033,1.49,11.5
600,1829719,5665071,52.07,11.3
601,1829695,5665089,0.53,10.7
602,1829668,5665083,1.25,12.4
603,1829708,5665096,0.95,10.3
604,1829655,5665107,0.63,13.1
605,1829642,5665075,1.64,11.7
606,1829614,5665080,2.53,12.4
607,1829587,5665067,0.34,14.3
608,1829570,5665042,2.89,12.7
609,1829545,5665042,1.00,16.3
610,1829550,5665024,2.88,13.9
611,1829597,5665057,48.15,13.8
612,1829631,5665065,198.59,12.6
613,1829648,5665057,3.39,14
614,1829675,5665067,22.15,15.2
615,1829626,5665035,243.32,15.4
616,1829626,5665010,719.88,13.3
617,1829594,5665004,6.23,25.2
618,1829563,5664997,23.07,20.9
619,1829555,5665015,1193.19,19.7
620,1829538,5664995,2706.23,64.4
621,1829559,5664973,296.84,24.6
622,1829521,5664947,3.09,17.6
623,1829459,5664952,1.65,14.6
624,1829470,5664927,5938.50,93.5
625,1829445,5664853,0.41,23
626,1829468,5664853,7.18,20.5
627,1829486,5664862,1.00,21.5
628,1829478,5664879,37.08,25.4
629,1829465,5664867,165.98,21
