MeasurementNumber,NZTM-mE,NZTM-mN,CO2
1,1829487,5664925,0
2,1829481,5664902,12
3,1829469,5664890,8745
4,1829465,5664880,1453
5,1829454,5664858,70
6,1829467,5664855,1257
7,1829464,5664843,0
8,1829474,5664832,391
9,1829489,5664828,587
10,1829500,5664837,103
11,1829499,5664826,883
12,1829483,5664824,1900
13,1829465,5664875,5979
14,1829472,5664870,698
15,1829443,5664861,0
16,1829421,5664846,0
17,1829397,5664851,2012
18,1829402,5664849,726
19,1829400,5664863,9499
20,1829397,5664852,8382
21,1829376,5664848,1509
22,1829384,5664843,922
23,1829384,5664847,4191
24,1829370,5664860,3017
25,1829367,5664847,0
26,1829347,5664834,2710
27,1829338,5664828,1006
28,1829331,5664838,372
29,1829302,5664849,13
30,1829314,5664827,1
31,1829342,5664832,2293
32,1829361,5664852,2192
33,1829352,5664851,8053
34,1829359,5664868,6586
35,1829366,5664884,1520
36,1829376,5664913,1280
37,1829372,5664924,21
38,1829359,5664941,133
39,1829353,5664953,2027
40,1829368,5664953,4773
41,1829382,5664951,4453
42,1829400,5664959,560
43,1829491,5665000,35
44,1829481,5665025,0
45,1829527,5665071,0
46,1829439,5665104,0
47,1829387,5665134,3
48,1829349,5665152,0
49,1829306,5665184,1
50,1829276,5665201,0
51,1829236,5665224,0
52,1829217,5665210,430
53,1829215,5665217,1706
54,1829206,5665218,99
55,1829203,5665228,38
56,1829214,5665233,2929
57,1829203,5665238,48
58,1829192,5665247,35
59,1829204,5665251,373
60,1829207,5665238,879
61,1829214,5665258,83
62,1829220,5665246,5
63,1829243,5665324,0
64,1829283,5665406,0
65,1829304,5665479,0
66,1829335,5665548,0
67,1829428,5665641,0
68,1829617,5665752,0
69,1829689,5665792,0
70,1829737,5665813,2
71,1829775,5665838,2
72,1829801,5665859,4
